fit_slot,risk_bucket,rows,median_risk,p75_risk,high_risk_rows,watch_or_high_rows
asian_quota,contract_cost_access_risk,978,82.95,82.95,926,926
asian_quota,data_gap_risk,978,65.0,65.0,154,978
asian_quota,role_fit_risk,978,39.3625,41.1875,52,52
asian_quota,adaptation_willingness_risk,978,52.0,52.0,0,0
asian_quota,kbo_translation_risk,978,17.5,17.5,0,0
asian_quota,medical_availability_risk,978,25.0,25.0,0,3
foreign_hitter,data_gap_risk,736,90.0,90.0,640,655
foreign_hitter,contract_cost_access_risk,736,88.0,97.0,623,706
foreign_hitter,role_fit_risk,736,45.119,89.0855,262,263
foreign_hitter,medical_availability_risk,736,25.0,80.0,219,223
foreign_hitter,kbo_translation_risk,736,35.107,61.9945,100,254
foreign_hitter,adaptation_willingness_risk,736,64.0,64.0,0,652
foreign_pitcher,data_gap_risk,1009,100.0,100.0,896,1008
foreign_pitcher,contract_cost_access_risk,1009,84.4,97.0,829,957
foreign_pitcher,role_fit_risk,1009,89.598,92.348,722,743
foreign_pitcher,medical_availability_risk,1009,25.0,80.0,359,368
foreign_pitcher,kbo_translation_risk,1009,48.356,51.503,2,50
foreign_pitcher,adaptation_willingness_risk,1009,64.0,64.0,0,893
