provider,status,candidate_key,candidate_name,message,query,returned_rows,error_rows
naver_news,skipped_missing_env,c58df457ee2acd50,"Sun, Yi-Lei",NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss_ko,attempted,c58df457ee2acd50,"Sun, Yi-Lei",,Yi-Lei Sun 야구,0.0,1.0
google_news_rss_ko,attempted,c58df457ee2acd50,"Sun, Yi-Lei",,Yi-Lei Sun 부상 계약 이적료 바이아웃 KBO,0.0,1.0
naver_news,skipped_missing_env,77fcb317bda63213,"Yang, Po-Hsiang",NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss_ko,attempted,77fcb317bda63213,"Yang, Po-Hsiang",,Po-Hsiang Yang 야구,0.0,1.0
google_news_rss_ko,attempted,77fcb317bda63213,"Yang, Po-Hsiang",,Po-Hsiang Yang 부상 계약 이적료 바이아웃 KBO,0.0,1.0
naver_news,skipped_missing_env,dc923c066641a262,"Gu Lin, Ruei-Yang",NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss_ko,attempted,dc923c066641a262,"Gu Lin, Ruei-Yang",,Ruei-Yang Gu Lin 야구,0.0,1.0
google_news_rss_ko,attempted,dc923c066641a262,"Gu Lin, Ruei-Yang",,Ruei-Yang Gu Lin 부상 계약 이적료 바이아웃 KBO,0.0,1.0
naver_news,skipped_missing_env,036e9341b9b2a5eb,CHEN Jiu Teng,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss_ko,attempted,036e9341b9b2a5eb,CHEN Jiu Teng,,CHEN Jiu Teng 야구,0.0,1.0
google_news_rss_ko,attempted,036e9341b9b2a5eb,CHEN Jiu Teng,,CHEN Jiu Teng 부상 계약 이적료 바이아웃 KBO,0.0,1.0
naver_news,skipped_missing_env,07d6481baede5769,CHEN Tong En,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss_ko,attempted,07d6481baede5769,CHEN Tong En,,CHEN Tong En 야구,0.0,1.0
google_news_rss_ko,attempted,07d6481baede5769,CHEN Tong En,,CHEN Tong En 부상 계약 이적료 바이아웃 KBO,0.0,1.0
naver_news,skipped_missing_env,84a38920dcef97cb,KAO Yu Chieh,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss_ko,attempted,84a38920dcef97cb,KAO Yu Chieh,,KAO Yu Chieh 야구,0.0,1.0
google_news_rss_ko,attempted,84a38920dcef97cb,KAO Yu Chieh,,KAO Yu Chieh 부상 계약 이적료 바이아웃 KBO,0.0,1.0
naver_news,skipped_missing_env,a4d1a63e8d72d579,CHANG Chih Hao,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss_ko,attempted,a4d1a63e8d72d579,CHANG Chih Hao,,CHANG Chih Hao 야구,0.0,1.0
google_news_rss_ko,attempted,a4d1a63e8d72d579,CHANG Chih Hao,,CHANG Chih Hao 부상 계약 이적료 바이아웃 KBO,0.0,1.0
naver_news,skipped_missing_env,d92f63deb3d66696,HSU Ting Lun,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss_ko,attempted,d92f63deb3d66696,HSU Ting Lun,,HSU Ting Lun 야구,0.0,1.0
google_news_rss_ko,attempted,d92f63deb3d66696,HSU Ting Lun,,HSU Ting Lun 부상 계약 이적료 바이아웃 KBO,0.0,1.0
naver_news,skipped_missing_env,d4d4084b3ae27c88,YUEH Cheng Hua,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss_ko,attempted,d4d4084b3ae27c88,YUEH Cheng Hua,,YUEH Cheng Hua 야구,0.0,1.0
google_news_rss_ko,attempted,d4d4084b3ae27c88,YUEH Cheng Hua,,YUEH Cheng Hua 부상 계약 이적료 바이아웃 KBO,0.0,1.0
naver_news,skipped_missing_env,d43930fce77b50b9,HSU Chi Hung,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss_ko,attempted,d43930fce77b50b9,HSU Chi Hung,,HSU Chi Hung 야구,0.0,1.0
google_news_rss_ko,attempted,d43930fce77b50b9,HSU Chi Hung,,HSU Chi Hung 부상 계약 이적료 바이아웃 KBO,0.0,1.0
naver_news,skipped_missing_env,69cf675fde869cf2,HUANG Wei Sheng,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss_ko,attempted,69cf675fde869cf2,HUANG Wei Sheng,,HUANG Wei Sheng 야구,0.0,1.0
google_news_rss_ko,attempted,69cf675fde869cf2,HUANG Wei Sheng,,HUANG Wei Sheng 부상 계약 이적료 바이아웃 KBO,0.0,1.0
naver_news,skipped_missing_env,c718bca5c65c4f94,CHAN Tzu Hsien,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss_ko,attempted,c718bca5c65c4f94,CHAN Tzu Hsien,,CHAN Tzu Hsien 야구,0.0,1.0
google_news_rss_ko,attempted,c718bca5c65c4f94,CHAN Tzu Hsien,,CHAN Tzu Hsien 부상 계약 이적료 바이아웃 KBO,0.0,1.0
naver_news,skipped_missing_env,d3e640f66642324f,CHEN Hu,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss_ko,attempted,d3e640f66642324f,CHEN Hu,,CHEN Hu 야구,0.0,1.0
google_news_rss_ko,attempted,d3e640f66642324f,CHEN Hu,,CHEN Hu 부상 계약 이적료 바이아웃 KBO,0.0,1.0
naver_news,skipped_missing_env,f9145705b9896156,CHIANG Chung Chen,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
