provider,status,candidate_key,candidate_name,message,query,returned_rows,error_rows
naver_news,skipped_missing_env,c58df457ee2acd50,"Sun, Yi-Lei",NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,c58df457ee2acd50,"Sun, Yi-Lei",,"""Yi-Lei Sun"" ""Hokkaido Nippon-Ham Fighters"" baseball",6.0,0.0
google_news_rss,attempted,c58df457ee2acd50,"Sun, Yi-Lei",,"""Yi-Lei Sun"" NPB OR CPBL OR injury OR contract OR KBO",6.0,0.0
naver_news,skipped_missing_env,77fcb317bda63213,"Yang, Po-Hsiang",NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,77fcb317bda63213,"Yang, Po-Hsiang",,"""Po-Hsiang Yang"" ""Tohoku Rakuten Golden Eagles"" baseball",6.0,0.0
google_news_rss,attempted,77fcb317bda63213,"Yang, Po-Hsiang",,"""Po-Hsiang Yang"" NPB OR CPBL OR injury OR contract OR KBO",4.0,0.0
naver_news,skipped_missing_env,dc923c066641a262,"Gu Lin, Ruei-Yang",NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,dc923c066641a262,"Gu Lin, Ruei-Yang",,"""Ruei-Yang Gu Lin"" ""Hokkaido Nippon-Ham Fighters"" baseball",6.0,0.0
google_news_rss,attempted,dc923c066641a262,"Gu Lin, Ruei-Yang",,"""Ruei-Yang Gu Lin"" NPB OR CPBL OR injury OR contract OR KBO",6.0,0.0
naver_news,skipped_missing_env,036e9341b9b2a5eb,CHEN Jiu Teng,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,036e9341b9b2a5eb,CHEN Jiu Teng,,"""CHEN Jiu Teng"" ""Brothers"" baseball",0.0,0.0
google_news_rss,attempted,036e9341b9b2a5eb,CHEN Jiu Teng,,"""CHEN Jiu Teng"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,07d6481baede5769,CHEN Tong En,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,07d6481baede5769,CHEN Tong En,,"""CHEN Tong En"" ""Brothers"" baseball",0.0,0.0
google_news_rss,attempted,07d6481baede5769,CHEN Tong En,,"""CHEN Tong En"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,84a38920dcef97cb,KAO Yu Chieh,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,84a38920dcef97cb,KAO Yu Chieh,,"""KAO Yu Chieh"" ""Brothers"" baseball",3.0,0.0
google_news_rss,attempted,84a38920dcef97cb,KAO Yu Chieh,,"""KAO Yu Chieh"" NPB OR CPBL OR injury OR contract OR KBO",4.0,0.0
naver_news,skipped_missing_env,a4d1a63e8d72d579,CHANG Chih Hao,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,a4d1a63e8d72d579,CHANG Chih Hao,,"""CHANG Chih Hao"" ""Brothers"" baseball",4.0,0.0
google_news_rss,attempted,a4d1a63e8d72d579,CHANG Chih Hao,,"""CHANG Chih Hao"" NPB OR CPBL OR injury OR contract OR KBO",5.0,0.0
naver_news,skipped_missing_env,d92f63deb3d66696,HSU Ting Lun,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,d92f63deb3d66696,HSU Ting Lun,,"""HSU Ting Lun"" ""Brothers"" baseball",0.0,0.0
google_news_rss,attempted,d92f63deb3d66696,HSU Ting Lun,,"""HSU Ting Lun"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,d4d4084b3ae27c88,YUEH Cheng Hua,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,d4d4084b3ae27c88,YUEH Cheng Hua,,"""YUEH Cheng Hua"" ""Brothers"" baseball",6.0,0.0
google_news_rss,attempted,d4d4084b3ae27c88,YUEH Cheng Hua,,"""YUEH Cheng Hua"" NPB OR CPBL OR injury OR contract OR KBO",6.0,0.0
naver_news,skipped_missing_env,d43930fce77b50b9,HSU Chi Hung,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,d43930fce77b50b9,HSU Chi Hung,,"""HSU Chi Hung"" ""Brothers"" baseball",3.0,0.0
google_news_rss,attempted,d43930fce77b50b9,HSU Chi Hung,,"""HSU Chi Hung"" NPB OR CPBL OR injury OR contract OR KBO",3.0,0.0
naver_news,skipped_missing_env,69cf675fde869cf2,HUANG Wei Sheng,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,69cf675fde869cf2,HUANG Wei Sheng,,"""HUANG Wei Sheng"" ""Brothers"" baseball",1.0,0.0
google_news_rss,attempted,69cf675fde869cf2,HUANG Wei Sheng,,"""HUANG Wei Sheng"" NPB OR CPBL OR injury OR contract OR KBO",1.0,0.0
naver_news,skipped_missing_env,c718bca5c65c4f94,CHAN Tzu Hsien,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,c718bca5c65c4f94,CHAN Tzu Hsien,,"""CHAN Tzu Hsien"" ""Brothers"" baseball",4.0,0.0
google_news_rss,attempted,c718bca5c65c4f94,CHAN Tzu Hsien,,"""CHAN Tzu Hsien"" NPB OR CPBL OR injury OR contract OR KBO",4.0,0.0
naver_news,skipped_missing_env,d3e640f66642324f,CHEN Hu,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,d3e640f66642324f,CHEN Hu,,"""CHEN Hu"" ""Brothers"" baseball",0.0,0.0
google_news_rss,attempted,d3e640f66642324f,CHEN Hu,,"""CHEN Hu"" NPB OR CPBL OR injury OR contract OR KBO",6.0,0.0
naver_news,skipped_missing_env,f9145705b9896156,CHIANG Chung Chen,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,f9145705b9896156,CHIANG Chung Chen,,"""CHIANG Chung Chen"" ""Brothers"" baseball",0.0,0.0
google_news_rss,attempted,f9145705b9896156,CHIANG Chung Chen,,"""CHIANG Chung Chen"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,31172afbd9993351,HSIEH Jung Hao,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,31172afbd9993351,HSIEH Jung Hao,,"""HSIEH Jung Hao"" ""Brothers"" baseball",0.0,0.0
google_news_rss,attempted,31172afbd9993351,HSIEH Jung Hao,,"""HSIEH Jung Hao"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,8f637cde64ba5f17,LEE Chen Chang,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,8f637cde64ba5f17,LEE Chen Chang,,"""LEE Chen Chang"" ""Brothers"" baseball",0.0,0.0
google_news_rss,attempted,8f637cde64ba5f17,LEE Chen Chang,,"""LEE Chen Chang"" NPB OR CPBL OR injury OR contract OR KBO",2.0,0.0
naver_news,skipped_missing_env,ef34a68bf858688f,LU Yen Ching,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,ef34a68bf858688f,LU Yen Ching,,"""LU Yen Ching"" ""Brothers"" baseball",2.0,0.0
google_news_rss,attempted,ef34a68bf858688f,LU Yen Ching,,"""LU Yen Ching"" NPB OR CPBL OR injury OR contract OR KBO",2.0,0.0
naver_news,skipped_missing_env,61a8ea85674daa56,TSAI Chi Che,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,61a8ea85674daa56,TSAI Chi Che,,"""TSAI Chi Che"" ""Brothers"" baseball",0.0,0.0
google_news_rss,attempted,61a8ea85674daa56,TSAI Chi Che,,"""TSAI Chi Che"" NPB OR CPBL OR injury OR contract OR KBO",1.0,0.0
naver_news,skipped_missing_env,63d8a573a2b6111e,WEI Shuo Cheng,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,63d8a573a2b6111e,WEI Shuo Cheng,,"""WEI Shuo Cheng"" ""Brothers"" baseball",0.0,0.0
google_news_rss,attempted,63d8a573a2b6111e,WEI Shuo Cheng,,"""WEI Shuo Cheng"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,32b9a113fe643865,WU Chun Wei,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,32b9a113fe643865,WU Chun Wei,,"""WU Chun Wei"" ""Brothers"" baseball",0.0,0.0
google_news_rss,attempted,32b9a113fe643865,WU Chun Wei,,"""WU Chun Wei"" NPB OR CPBL OR injury OR contract OR KBO",2.0,0.0
naver_news,skipped_missing_env,c1a28e2afc520384,WU Li Chen,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,c1a28e2afc520384,WU Li Chen,,"""WU Li Chen"" ""Brothers"" baseball",0.0,0.0
google_news_rss,attempted,c1a28e2afc520384,WU Li Chen,,"""WU Li Chen"" NPB OR CPBL OR injury OR contract OR KBO",1.0,0.0
naver_news,skipped_missing_env,a96040b69b8259ba,YOU Jun You,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,a96040b69b8259ba,YOU Jun You,,"""YOU Jun You"" ""Brothers"" baseball",2.0,0.0
google_news_rss,attempted,a96040b69b8259ba,YOU Jun You,,"""YOU Jun You"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,88cbcc9e11201bf9,CHANG Jen Wei,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,88cbcc9e11201bf9,CHANG Jen Wei,,"""CHANG Jen Wei"" ""Brothers"" baseball",0.0,0.0
google_news_rss,attempted,88cbcc9e11201bf9,CHANG Jen Wei,,"""CHANG Jen Wei"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,10c588172b046ac5,LIN Jui Chun,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,10c588172b046ac5,LIN Jui Chun,,"""LIN Jui Chun"" ""Brothers"" baseball",4.0,0.0
google_news_rss,attempted,10c588172b046ac5,LIN Jui Chun,,"""LIN Jui Chun"" NPB OR CPBL OR injury OR contract OR KBO",1.0,0.0
naver_news,skipped_missing_env,b23f6e7cff319bfb,CHANG Shr Lun,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,b23f6e7cff319bfb,CHANG Shr Lun,,"""CHANG Shr Lun"" ""Brothers"" baseball",1.0,0.0
google_news_rss,attempted,b23f6e7cff319bfb,CHANG Shr Lun,,"""CHANG Shr Lun"" NPB OR CPBL OR injury OR contract OR KBO",1.0,0.0
naver_news,skipped_missing_env,4c25d0dd81e484e7,CHIANG Kun Yu,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,4c25d0dd81e484e7,CHIANG Kun Yu,,"""CHIANG Kun Yu"" ""Brothers"" baseball",6.0,0.0
google_news_rss,attempted,4c25d0dd81e484e7,CHIANG Kun Yu,,"""CHIANG Kun Yu"" NPB OR CPBL OR injury OR contract OR KBO",6.0,0.0
naver_news,skipped_missing_env,8b9c3bf14fba5f09,WANG Cheng Shun,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,8b9c3bf14fba5f09,WANG Cheng Shun,,"""WANG Cheng Shun"" ""Brothers"" baseball",0.0,0.0
google_news_rss,attempted,8b9c3bf14fba5f09,WANG Cheng Shun,,"""WANG Cheng Shun"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,abcd007c02e88802,WANG Wei Chen,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,abcd007c02e88802,WANG Wei Chen,,"""WANG Wei Chen"" ""Brothers"" baseball",6.0,0.0
google_news_rss,attempted,abcd007c02e88802,WANG Wei Chen,,"""WANG Wei Chen"" NPB OR CPBL OR injury OR contract OR KBO",6.0,0.0
naver_news,skipped_missing_env,276c736bd5c855b8,JIANG Shao Hong,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,276c736bd5c855b8,JIANG Shao Hong,,"""JIANG Shao Hong"" ""DRAGONS"" baseball",1.0,0.0
google_news_rss,attempted,276c736bd5c855b8,JIANG Shao Hong,,"""JIANG Shao Hong"" NPB OR CPBL OR injury OR contract OR KBO",1.0,0.0
naver_news,skipped_missing_env,f02d1d6feebf41ea,LIN Chen Hsun,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,f02d1d6feebf41ea,LIN Chen Hsun,,"""LIN Chen Hsun"" ""DRAGONS"" baseball",0.0,0.0
google_news_rss,attempted,f02d1d6feebf41ea,LIN Chen Hsun,,"""LIN Chen Hsun"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,d6cd8da4ef8adf77,HSU Po Hung,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,d6cd8da4ef8adf77,HSU Po Hung,,"""HSU Po Hung"" ""DRAGONS"" baseball",0.0,0.0
google_news_rss,attempted,d6cd8da4ef8adf77,HSU Po Hung,,"""HSU Po Hung"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,2d0670e213e2863f,KUO Tian Shin,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,2d0670e213e2863f,KUO Tian Shin,,"""KUO Tian Shin"" ""DRAGONS"" baseball",2.0,0.0
google_news_rss,attempted,2d0670e213e2863f,KUO Tian Shin,,"""KUO Tian Shin"" NPB OR CPBL OR injury OR contract OR KBO",2.0,0.0
naver_news,skipped_missing_env,be4f9ff8fa81b341,WANG Shun Ho,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,be4f9ff8fa81b341,WANG Shun Ho,,"""WANG Shun Ho"" ""DRAGONS"" baseball",1.0,0.0
google_news_rss,attempted,be4f9ff8fa81b341,WANG Shun Ho,,"""WANG Shun Ho"" NPB OR CPBL OR injury OR contract OR KBO",2.0,0.0
naver_news,skipped_missing_env,034265bc8aac7a34,CHU Yu Hsien,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,034265bc8aac7a34,CHU Yu Hsien,,"""CHU Yu Hsien"" ""DRAGONS"" baseball",6.0,0.0
google_news_rss,attempted,034265bc8aac7a34,CHU Yu Hsien,,"""CHU Yu Hsien"" NPB OR CPBL OR injury OR contract OR KBO",6.0,0.0
naver_news,skipped_missing_env,d3208fff8924f209,Giljegiljaw．Kungkuan,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,d3208fff8924f209,Giljegiljaw．Kungkuan,,"""Giljegiljaw．Kungkuan"" ""DRAGONS"" baseball",5.0,0.0
google_news_rss,attempted,d3208fff8924f209,Giljegiljaw．Kungkuan,,"""Giljegiljaw．Kungkuan"" NPB OR CPBL OR injury OR contract OR KBO",6.0,0.0
naver_news,skipped_missing_env,bc38fb9a8d38e12f,LIN Xiao Cheng,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,bc38fb9a8d38e12f,LIN Xiao Cheng,,"""LIN Xiao Cheng"" ""DRAGONS"" baseball",1.0,0.0
google_news_rss,attempted,bc38fb9a8d38e12f,LIN Xiao Cheng,,"""LIN Xiao Cheng"" NPB OR CPBL OR injury OR contract OR KBO",1.0,0.0
naver_news,skipped_missing_env,be991ce769520fae,CHEN Kuan Wei,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,be991ce769520fae,CHEN Kuan Wei,,"""CHEN Kuan Wei"" ""DRAGONS"" baseball",3.0,0.0
google_news_rss,attempted,be991ce769520fae,CHEN Kuan Wei,,"""CHEN Kuan Wei"" NPB OR CPBL OR injury OR contract OR KBO",3.0,0.0
naver_news,skipped_missing_env,b6c401b1562a35e1,LI Chao,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,b6c401b1562a35e1,LI Chao,,"""LI Chao"" ""DRAGONS"" baseball",1.0,0.0
google_news_rss,attempted,b6c401b1562a35e1,LI Chao,,"""LI Chao"" NPB OR CPBL OR injury OR contract OR KBO",6.0,0.0
naver_news,skipped_missing_env,7a8c9290766d062b,LIN Kai Wei,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,7a8c9290766d062b,LIN Kai Wei,,"""LIN Kai Wei"" ""DRAGONS"" baseball",4.0,0.0
google_news_rss,attempted,7a8c9290766d062b,LIN Kai Wei,,"""LIN Kai Wei"" NPB OR CPBL OR injury OR contract OR KBO",4.0,0.0
