fit_slot,candidate_news_status,candidates,usable_articles,injury_articles,contract_articles,korea_context_articles
asian_quota,no_candidate_specific_news_found,136,0,0,0,0
asian_quota,medical_news_review_needed,12,32,16,4,16
asian_quota,korea_or_overseas_context_found,3,6,0,0,5
asian_quota,candidate_news_review_available,1,1,0,0,0
asian_quota,market_contract_news_review_needed,1,4,0,3,2
foreign_hitter,medical_news_review_needed,13,108,34,56,1
foreign_hitter,market_contract_news_review_needed,3,20,0,11,0
foreign_pitcher,medical_news_review_needed,19,151,42,74,7
foreign_pitcher,no_candidate_specific_news_found,6,0,0,0,0
foreign_pitcher,market_contract_news_review_needed,5,45,0,31,0
