source_league,team_code,team_name,roster_no,player_name,normalized_player_name,position_group,position,born,throws,bats,nationality,nationality_source,asian_league_history_gate,asian_quota_nationality_gate,contract_status_gate,new_signing_cost_gate,availability_bucket,asian_quota_feasibility_bucket,club_control_risk_flag,candidate_release_policy,is_final_recommendation,shortlist_label_allowed,candidate_name_release_allowed
CPBL,ACN,Brothers,72,CHEN Jiu Teng,chen jiu teng,,Catcher,2004/12/20,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,48,CHEN Tong En,chen tong en,,Catcher,2001/09/19,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,65,KAO Yu Chieh,kao yu chieh,,Catcher,1997/07/17,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,7,CHANG Chih Hao,chang chih hao,,Center-Fielder,1987/05/15,R,L,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,13,HSU Ting Lun,hsu ting lun,,Center-Fielder,2005/10/30,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,92,YUEH Cheng Hua,yueh cheng hua,,Center-Fielder,2001/01/29,L,L,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,74,HSU Chi Hung,hsu chi hung,,First-Base Man,1992/07/22,R,L,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,66,HUANG Wei Sheng,huang wei sheng,,First-Base Man,1999/02/19,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,39,CHAN Tzu Hsien,chan tzu hsien,,Left-Fielder,1994/02/24,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,62,CHEN Hu,chen hu,,Pitcher,1998/04/29,R,L,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,20,CHIANG Chung Chen,chiang chung chen,,Pitcher,1990/03/10,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,34,Felix PENA,felix pena,,Pitcher,1990/01/25,R,R,Dominican Republic,cpbl_official_player_page,pass_current_roster,fail,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_fail_regular_foreign_only,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,79,HSIEH Jung Hao,hsieh jung hao,,Pitcher,1990/07/09,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,21,LEE Chen Chang,lee chen chang,,Pitcher,1986/10/21,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,58,LU Yen Ching,lu yen ching,,Pitcher,1996/03/10,L,L,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,30,Mario SANCHEZ,mario sanchez,,Pitcher,1994/10/31,R,R,Venezuela,cpbl_official_player_page,pass_current_roster,fail,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_fail_regular_foreign_only,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,32,Nivaldo RODRIGUEZ,nivaldo rodriguez,,Pitcher,1997/04/16,R,R,Venezuela,cpbl_official_player_page,pass_current_roster,fail,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_fail_regular_foreign_only,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,50,TSAI Chi Che,tsai chi che,,Pitcher,1995/12/18,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,14,WEI Shuo Cheng,wei shuo cheng,,Pitcher,1997/06/17,L,L,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,94,WU Chun Wei,wu chun wei,,Pitcher,1998/12/31,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,83,WU Li Chen,wu li chen,,Pitcher,2002/03/06,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,27,YOU Jun You,you jun you,,Pitcher,2003/07/02,L,L,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,28,CHANG Jen Wei,chang jen wei,,Second-Base Man,2003/05/01,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,75,LIN Jui Chun,lin jui chun,,Second-Base Man,2001/04/06,R,L,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,4,CHANG Shr Lun,chang shr lun,,Shortstop,2005/03/16,R,L,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,90,CHIANG Kun Yu,chiang kun yu,,Shortstop,2000/07/04,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,61,WANG Cheng Shun,wang cheng shun,,Third-Base Man,1996/10/30,R,L,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,ACN,Brothers,9,WANG Wei Chen,wang wei chen,,Third-Base Man,1991/07/03,R,L,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,AAA,DRAGONS,63,JIANG Shao Hong,jiang shao hong,,Catcher,1997/07/13,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
CPBL,AAA,DRAGONS,9,LIN Chen Hsun,lin chen hsun,,Catcher,2001/12/10,R,R,R.O.C.(TAIWAN),cpbl_official_player_page,pass_current_roster,pass,unknown_current_roster_under_club_control,unknown_needs_salary_or_buyout_check,active_asian_league_roster_low_access,nationality_pass_contract_unknown,True,feasibility_inventory_only_no_recommendation,False,False,False
