historical_feature,candidate_feature,feature_family,use_status
pre_pa,recent_pa,savant_only_candidate_compatible,used
pre_pitch,recent_pitches,savant_only_candidate_compatible,used
pre_bb_pct,recent_bb_pct,savant_only_candidate_compatible,used
pre_k_pct,recent_k_pct,savant_only_candidate_compatible,used
pre_woba,recent_woba,savant_only_candidate_compatible,used
pre_chase_rate,recent_chase_rate,savant_only_candidate_compatible,used
pre_nonfast_chase_rate,recent_nonfast_chase_rate,savant_only_candidate_compatible,used
pre_nonfast_whiff_per_swing,recent_nonfast_whiff_per_swing,savant_only_candidate_compatible,used
pre_whiff_per_swing,recent_whiff_per_swing,savant_only_candidate_compatible,used
pre_hardhit_rate,recent_hardhit_rate,savant_only_candidate_compatible,used
pre_barrel_rate,recent_barrel_rate,savant_only_candidate_compatible,used
pre_sweet_spot_rate,recent_sweet_spot_rate,savant_only_candidate_compatible,used
pre_air_bbe_rate,recent_air_bbe_rate,savant_only_candidate_compatible,used
pre_low_velo_xwoba,recent_low_velo_xwoba,savant_only_candidate_compatible,used
pre_high_velo_xwoba,recent_high_velo_xwoba,savant_only_candidate_compatible,used
pre_break_off_xwoba,recent_break_off_xwoba,savant_only_candidate_compatible,used
pre_hitter_count_xwoba,recent_hitter_count_xwoba,savant_only_candidate_compatible,used
