Nationality,Birthplace (if different),Player,Team,Pos.,Career,Last non-CPBL Team,source_url,source_league,normalized_player_name
Canada,—,Brock Dykxhoorn[2],Uni-President Lions,P,2020– (UNI),Lotte Giants,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,brock dykxhoorn
Colombia,—,Jasier Herrera[3],Wei Chuan Dragons,P,2024– (WEI),Saitama Seibu Lions,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,jasier herrera
Cuba,—,Roenis Elías[4],Fubon Guardians,P,2025– (FUB),SSG Landers,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,roenis elias
Dominican Republic,—,Cristopher Crisostomo[5],Uni-President Lions,P,2025– (UNI),Chiba Lotte Marines,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,cristopher crisostomo
Dominican Republic,—,José de Paula[6],CTBC Brothers,P,2020– (CTB),Bravos de León,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,jose de paula
Dominican Republic,—,Pedro Fernandez[7],Rakuten Monkeys,P,2023– (RAK),Nashville Sounds,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,pedro fernandez
Dominican Republic,Puerto Rico,Steven Moya[8],TSG Hawks,OF,2024– {TSG),Gastonia Honey Hunters,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,steven moya
Dominican Republic,—,Félix Peña[9],Uni-President Lions,P,2025– (UNI),Hanwha Eagles,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,felix pena
Japan,—,Ryo Negishi[10],Fubon Guardians,P,2025– (FUB),Ibaraki Astro Planets,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,ryo negishi
Japan,—,Isaki Ninomiya[11],Fubon Guardians,P,2025– (FUB),Kufu Hayate Ventures,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,isaki ninomiya
Japan,—,Kento Onodera[12],TSG Hawks,P,2024– (TSG),Saitama Musashi Heat Bears,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,kento onodera
Japan,—,Shuto Sakurai[13],TSG Hawks,P,2025– (TSG),Tohoku Rakuten Golden Eagles,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,shuto sakurai
Japan,—,Kazumasa Yoshida[14],TSG Hawks,P,2024– (TSG),Oisix Niigata Albirex,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,kazumasa yoshida
Mexico,—,Humberto Castellanos[15],CTBC Brothers,P,2025– (CTB),Reno Aces,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,humberto castellanos
Mexico,—,Marcelo Martinez[16],Rakuten Monkeys,P,2024– (RAK),Sultanes de Monterrey,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,marcelo martinez
Puerto Rico,—,Jonathan Bermúdez[17],Rakuten Monkeys,P,2025– (RAK),Jacksonville Jumbo Shrimp,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,jonathan bermudez
United States,—,Tyler Eppler[18],Wei Chuan Dragons,P,2023 (FUB) 2024– (WEI),Sultanes de Monterrey,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,tyler eppler
United States,—,Drew Gagnon[19],Wei Chuan Dragons,P,2021– (WEI),Kia Tigers,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,drew gagnon
United States,—,Rio Gomez[20],Fubon Guardians,P,2024 (WEI) 2025– (FUB),Worcester Red Sox,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,rio gomez
United States,—,Bradin Hagens[21],TSG Hawks,P,2021–2023 (RAK) 2024– {TSG),Fargo-Moorhead RedHawks,https://en.wikipedia.org/wiki/List_of_current_foreign_CPBL_players,CPBL,bradin hagens
