source_league,team_code,team_name,roster_no,player_name,normalized_player_name,position_group,position,born,height_cm,weight_kg,throws,bats,note,nationality,debut,person_url,source_url,source_confidence
CPBL,AAA,DRAGONS,0,LI Chao,li chao,,Pitcher,1999/10/23,191,95,R,R,,R.O.C.(TAIWAN),2023/04/27,https://en.cpbl.com.tw/team/person?Acnt=0000006160,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,AAA,DRAGONS,10,Marcelo MARTINEZ,marcelo martinez,,Pitcher,1996/08/10,188,98,L,L,,Mexico,2024/04/19,https://en.cpbl.com.tw/team/person?Acnt=0000007264,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,AAA,DRAGONS,37,Andrew GAGNON,andrew gagnon,,Pitcher,1990/06/26,193,97,R,R,,America,2021/04/08,https://en.cpbl.com.tw/team/person?Acnt=0000006497,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,AAA,DRAGONS,39,LU Wei Cheng,lu wei cheng,,Pitcher,1999/07/10,192,80,R,R,,R.O.C.(TAIWAN),2021/03/14,https://en.cpbl.com.tw/team/person?Acnt=0000005552,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,AAA,DRAGONS,42,ZHAO Jing Long,zhao jing long,,Pitcher,1998/06/12,181,82,R,L,,R.O.C.(TAIWAN),2021/07/14,https://en.cpbl.com.tw/team/person?Acnt=0000006215,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,AAA,DRAGONS,52,Bryan WOODALL,bryan woodall,,Pitcher,1986/10/24,185,91,R,R,,America,2015/08/02,https://en.cpbl.com.tw/team/person?Acnt=0000000762,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,AAA,DRAGONS,54,WANG Bo Yang,wang bo yang,,Pitcher,2000/02/17,180,83,L,L,,R.O.C.(TAIWAN),2026/03/31,https://en.cpbl.com.tw/team/person?Acnt=0000006910,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,AAA,DRAGONS,59,CHEN Kuan Wei,chen kuan wei,,Pitcher,1996/10/28,183,92,R,R,,R.O.C.(TAIWAN),2021/09/15,https://en.cpbl.com.tw/team/person?Acnt=0000005555,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,AAA,DRAGONS,71,LIN Tzu Yu,lin tzu yu,,Pitcher,1993/09/19,185,80,R,R,,R.O.C.(TAIWAN),2021/03/18,https://en.cpbl.com.tw/team/person?Acnt=0000001821,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,AAA,DRAGONS,74,ZHANG Jun Shou,zhang jun shou,,Pitcher,2002/10/15,186,84,R,R,,R.O.C.(TAIWAN),2022/05/18,https://en.cpbl.com.tw/team/person?Acnt=0000006723,https://en.cpbl.com.tw/team?ClubNo=AAA,4
