season,player_key,player_name,player_name_en,kbo_team,role_model_family,stat_group,player_id,success,failure,source_player_id,milb_stat_group,has_pre_kbo_milb,pre_kbo_milb_rows,pre_kbo_milb_latest_year,pre_kbo_milb_recent_rows,pre_kbo_milb_highest_level_score,pre_kbo_recent_highest_level_score,pre_kbo_aaa_rows,pre_kbo_aa_rows,pre_kbo_milb_pa,pre_kbo_milb_hr,pre_kbo_milb_ops,pre_kbo_milb_obp,pre_kbo_milb_slg,pre_kbo_milb_k_pct,pre_kbo_milb_bb_pct,pre_kbo_milb_ip,pre_kbo_milb_games,pre_kbo_milb_games_started,pre_kbo_milb_k9,pre_kbo_milb_bb9,pre_kbo_milb_hr9,pre_kbo_milb_era,pre_kbo_milb_whip
2023,니코구드럼,니코 구드럼,Niko Goodrum,롯데,hitter,hitting,592348,0,1,592348,hitting,True,16,2022,6,100.0,100.0,2,0,175.0,2.0,0.7727657142857144,0.41131999999999996,0.36144571428571426,0.28,0.21714285714285714,,,,,,,,
2023,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitting,669008,1,0,669008,hitting,True,8,2022,2,100.0,100.0,2,0,855.0,18.0,0.7244315789473684,0.3399520467836257,0.3844795321637427,0.22923976608187135,0.10292397660818714,,,,,,,,
2023,앤서니알포드,앤서니 알포드,Anthony Alford,KT,hitter,hitting,546990,1,0,546990,hitting,True,19,2022,5,100.0,100.0,4,0,321.0,23.0,0.9658037383177569,0.38596261682242994,0.5798411214953271,0.3364485981308411,0.14018691588785046,,,,,,,,
2023,오스틴딘,오스틴 딘,Austin James Dean,LG,hitter,hitting,621573,1,0,621573,hitting,True,14,2022,3,100.0,100.0,2,0,506.0,19.0,0.8135652173913043,0.34801185770750986,0.4655533596837945,0.22924901185770752,0.09288537549407115,,,,,,,,
2023,잭렉스,잭 렉스,Zach Reks,롯데,hitter,hitting,676646,0,1,676646,hitting,True,9,2022,2,100.0,100.0,2,0,519.0,25.0,0.9423102119460501,0.3925202312138728,0.5497899807321773,0.2774566473988439,0.11753371868978806,,,,,,,,
2023,호세로하스,호세 로하스,Jose Rojas,두산,hitter,hitting,670351,1,0,670351,hitting,True,10,2022,4,100.0,100.0,4,0,859.0,48.0,0.87153434225844,0.3410384167636787,0.5304959254947614,0.19324796274738068,0.0989522700814901,,,,,,,,
2023,데이비드뷰캐넌,데이비드 뷰캐넌,David Andrew Buchanan,삼성,pitcher,pitching,571527,1,0,571527,pitching,True,9,2016,0,100.0,100.0,4,2,,,,,,0.14970679544670576,0.0689893066574681,687.3333333333334,117.0,116.0,5.682832201745877,2.6188166828322017,0.7070805043646944,3.823215324927255,1.3049224054316197
2023,로에니스엘리아스,로에니스 엘리아스,Roenis Elías,SSG,pitcher,pitching,606273,1,0,606273,pitching,True,16,2022,1,100.0,100.0,1,0,,,,,,0.19784172661870503,0.0683453237410072,65.0,37.0,9.0,7.615384615384615,2.6307692307692307,1.1076923076923078,5.12,1.37
2023,버치스미스,버치 스미스,Burch Taylor Smith,한화,pitcher,pitching,572143,0,1,572143,pitching,True,12,2021,1,100.0,100.0,1,0,,,,,,0.2413793103448276,0.13793103448275862,5.333333333333333,4.0,0.0,11.8125,6.75,5.0625,10.13,2.44
2023,보슐서,보 슐서,Beau Grayson Sulser,KT,pitcher,pitching,676641,0,1,676641,pitching,True,6,2022,4,100.0,100.0,4,0,,,,,,0.20982986767485823,0.07655954631379962,236.0,66.0,36.0,8.466101694915254,3.0889830508474576,1.1822033898305084,4.918983050847458,1.5201977401129942
2023,브랜던워델,브랜던 워델,Brandon David Waddell,두산,pitcher,pitching,663399,1,0,663399,pitching,True,12,2022,4,100.0,100.0,4,0,,,,,,0.24152542372881355,0.07203389830508475,56.666666666666664,45.0,0.0,9.052941176470588,2.7,0.47647058823529415,2.7002941176470587,1.3047058823529412
2023,숀앤더슨,숀 앤더슨,Shaun Anderson,KIA,pitcher,pitching,641312,0,1,641312,pitching,True,12,2022,5,100.0,100.0,5,0,,,,,,0.23423423423423423,0.0936936936936937,134.66666666666666,72.0,15.0,8.68811881188119,3.4752475247524757,1.0024752475247525,3.275544554455446,1.1685148514851484
2023,아도니스메디나,아도니스 메디나,Adonis Medina,KIA,pitcher,pitching,658431,0,1,658431,pitching,True,7,2022,2,100.0,100.0,2,0,,,,,,0.19686800894854586,0.09619686800894854,98.66666666666667,35.0,19.0,8.027027027027026,3.922297297297297,1.277027027027027,4.924324324324324,1.5179729729729727
2023,앨버트수아레즈,앨버트 수아레즈,Albert Joe Suárez,삼성,pitcher,pitching,544150,0,1,544150,pitching,True,15,2018,0,100.0,100.0,3,3,,,,,,0.16453240201785022,0.06752037252619325,611.3333333333334,148.0,115.0,6.2420937840785164,2.5616139585605233,0.7508178844056707,3.6652290076335876,1.2724536532170119
2023,에릭페디,에릭 페디,Erick James Fedde,NC,pitcher,pitching,607200,1,0,607200,pitching,True,11,2022,2,100.0,100.0,1,0,,,,,,0.1891891891891892,0.05405405405405406,9.0,2.0,2.0,7.0,2.0,0.0,2.0,1.1111111111111112
2023,찰리반즈,찰리 반즈,Charlie Barnes,롯데,pitcher,pitching,656212,1,0,656212,pitching,True,7,2021,1,100.0,100.0,1,0,,,,,,0.19135802469135801,0.07407407407407407,76.0,16.0,16.0,7.342105263157895,2.8421052631578947,0.8289473684210527,3.79,1.2800000000000002
2023,케이시켈리,케이시 켈리,Casey Patrick Kelly,LG,pitcher,pitching,543391,1,0,543391,pitching,True,16,2018,0,100.0,100.0,7,5,,,,,,0.18412205844323765,0.07292474786656322,900.0,185.0,166.0,7.12,2.82,0.87,4.170414814814815,1.3760111111111109
