season,player_key,player_name,player_name_en,kbo_team,role_model_family,stat_group,player_id,success,failure,source_player_id,milb_stat_group,milb_season,game_type,sport_id,sport_level,sport_abbreviation,team_id,team_name,league_id,league_name,source_url,collected_at,age,games_played,ground_outs,air_outs,runs,doubles,triples,home_runs,strike_outs,base_on_balls,intentional_walks,hits,hit_by_pitch,avg,at_bats,obp,slg,ops,caught_stealing,stolen_bases,stolen_base_percentage,caught_stealing_percentage,ground_into_double_play,number_of_pitches,plate_appearances,total_bases,rbi,left_on_base,sac_bunts,sac_flies,babip,ground_outs_to_airouts,catchers_interference,at_bats_per_home_run,games_started,era,innings_pitched,wins,losses,saves,save_opportunities,holds,blown_saves,earned_runs,whip,batters_faced,outs,games_pitched,complete_games,shutouts,strikes,strike_percentage,hit_batsmen,balks,wild_pitches,pickoffs,win_percentage,pitches_per_inning,games_finished,strikeout_walk_ratio,strikeouts_per9_inn,walks_per9_inn,hits_per9_inn,runs_scored_per9,home_runs_per9,inherited_runners,inherited_runners_scored
2023,앤서니알포드,앤서니 알포드,Anthony Alford,KT,hitter,hitting,546990,1,0,546990,hitting,2017,R,12,AA,AA,463.0,New Hampshire Fisher Cats,113.0,Eastern League,https://statsapi.mlb.com/api/v1/people/546990/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-14T19:11:55+09:00,22,68,66,61,41,14,0,5,45,35,2,76,6,.310,245,.406,.429,.835,3,18,.857,.143,4,1144,289.0,105,24.0,102.0,1,2,.360,1.08,0,49.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,앤서니알포드,앤서니 알포드,Anthony Alford,KT,hitter,hitting,546990,1,0,546990,hitting,2024,R,12,AA,AA,498.0,Chattanooga Lookouts,111.0,Southern League,https://statsapi.mlb.com/api/v1/people/546990/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-14T19:11:55+09:00,29,12,6,4,3,2,0,1,18,5,0,8,0,.222,36,.317,.361,.678,0,0,.---,.---,0,158,41.0,13,5.0,6.0,0,0,.412,1.50,0,36.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,니코구드럼,니코 구드럼,Niko Goodrum,롯데,hitter,hitting,592348,0,1,592348,hitting,2013,R,14,Single-A,A(Full),492.0,Cedar Rapids Kernels,118.0,Midwest League,https://statsapi.mlb.com/api/v1/people/592348/stats?stats=yearByYear&group=hitting&sportId=14,2026-06-14T19:11:55+09:00,21,103,119,67,62,22,4,4,105,60,1,100,4,.260,385,.364,.369,.733,4,20,.833,.167,10,990,455.0,142,45.0,177.0,4,2,.345,1.78,0,96.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,니코구드럼,니코 구드럼,Niko Goodrum,롯데,hitter,hitting,592348,0,1,592348,hitting,2021,R,14,Single-A,A,570.0,Lakeland Flying Tigers,123.0,Low-A Southeast,https://statsapi.mlb.com/api/v1/people/592348/stats?stats=yearByYear&group=hitting&sportId=14,2026-06-14T19:11:55+09:00,29,1,0,0,1,2,0,0,1,0,0,2,0,.667,3,.667,1.333,2.000,1,1,.500,.500,0,18,3.0,4,0.0,1.0,0,0,1.000,-.--,0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitting,669008,1,0,669008,hitting,2018,R,12,AA,AA,482.0,Corpus Christi Hooks,109.0,Texas League,https://statsapi.mlb.com/api/v1/people/669008/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-14T19:11:55+09:00,23,29,29,18,18,6,1,6,34,6,0,33,3,.289,114,.341,.518,.859,3,6,.667,.333,1,478,123.0,59,14.0,36.0,0,0,.365,1.61,0,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitting,669008,1,0,669008,hitting,2018,R,12,AA,AA,482.0,Corpus Christi Hooks,109.0,Texas League,https://statsapi.mlb.com/api/v1/people/669008/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-14T19:11:55+09:00,23,29,29,18,18,6,1,6,34,6,0,33,3,.289,114,.341,.518,.859,3,6,.667,.333,1,478,123.0,59,14.0,36.0,0,0,.365,1.61,0,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitting,669008,1,0,669008,hitting,2019,R,12,AA,AA,482.0,Corpus Christi Hooks,109.0,Texas League,https://statsapi.mlb.com/api/v1/people/669008/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-14T19:11:55+09:00,24,103,43,87,71,20,2,17,141,47,1,83,16,.212,392,.320,.403,.723,10,13,.565,.435,7,1844,459.0,158,50.0,168.0,3,1,.281,0.49,0,23.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitting,669008,1,0,669008,hitting,2019,R,12,AA,AA,482.0,Corpus Christi Hooks,109.0,Texas League,https://statsapi.mlb.com/api/v1/people/669008/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-14T19:11:55+09:00,24,103,43,87,71,20,2,17,141,47,1,83,16,.212,392,.320,.403,.723,10,13,.565,.435,7,1844,459.0,158,50.0,168.0,3,1,.281,0.49,0,23.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitting,669008,1,0,669008,hitting,2019,R,11,AAA,AAA,102.0,Round Rock Express,112.0,Pacific Coast League,https://statsapi.mlb.com/api/v1/people/669008/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-14T19:11:55+09:00,24,10,6,11,1,1,0,0,11,3,0,5,1,.147,34,.231,.176,.407,0,1,1.000,.000,0,166,39.0,6,3.0,14.0,0,1,.208,0.55,0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitting,669008,1,0,669008,hitting,2019,R,11,AAA,AAA,102.0,Round Rock Express,112.0,Pacific Coast League,https://statsapi.mlb.com/api/v1/people/669008/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-14T19:11:55+09:00,24,10,6,11,1,1,0,0,11,3,0,5,1,.147,34,.231,.176,.407,0,1,1.000,.000,0,166,39.0,6,3.0,14.0,0,1,.208,0.55,0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitting,669008,1,0,669008,hitting,2021,R,11,AAA,AAA,5434.0,Sugar Land Skeeters,112.0,Triple-A West,https://statsapi.mlb.com/api/v1/people/669008/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-14T19:11:55+09:00,26,94,104,81,59,21,1,7,84,46,1,88,4,.249,353,.341,.374,.715,8,15,.652,.348,11,1678,407.0,132,43.0,179.0,2,2,.307,1.28,0,50.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitting,669008,1,0,669008,hitting,2021,R,11,AAA,AAA,5434.0,Sugar Land Skeeters,112.0,Triple-A West,https://statsapi.mlb.com/api/v1/people/669008/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-14T19:11:55+09:00,26,94,104,81,59,21,1,7,84,46,1,88,4,.249,353,.341,.374,.715,8,15,.652,.348,11,1678,407.0,132,43.0,179.0,2,2,.307,1.28,0,50.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitting,669008,1,0,669008,hitting,2022,R,11,AAA,AAA,416.0,Louisville Bats,117.0,International League,https://statsapi.mlb.com/api/v1/people/669008/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-14T19:11:55+09:00,27,116,101,83,58,23,0,11,112,42,1,99,11,.252,393,.339,.394,.733,3,11,.786,.214,7,1793,448.0,155,43.0,194.0,0,2,.324,1.22,0,35.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitting,669008,1,0,669008,hitting,2022,R,11,AAA,AAA,416.0,Louisville Bats,117.0,International League,https://statsapi.mlb.com/api/v1/people/669008/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-14T19:11:55+09:00,27,116,101,83,58,23,0,11,112,42,1,99,11,.252,393,.339,.394,.733,3,11,.786,.214,7,1793,448.0,155,43.0,194.0,0,2,.324,1.22,0,35.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,앤서니알포드,앤서니 알포드,Anthony Alford,KT,hitter,hitting,546990,1,0,546990,hitting,2017,R,11,AAA,AAA,422.0,Buffalo Bisons,117.0,International League,https://statsapi.mlb.com/api/v1/people/546990/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-14T19:11:55+09:00,22,3,4,2,1,1,0,0,2,1,0,4,0,.333,12,.385,.417,.802,0,0,.---,.---,0,52,13.0,5,0.0,7.0,0,0,.400,2.00,0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,앤서니알포드,앤서니 알포드,Anthony Alford,KT,hitter,hitting,546990,1,0,546990,hitting,2018,R,11,AAA,AAA,422.0,Buffalo Bisons,117.0,International League,https://statsapi.mlb.com/api/v1/people/546990/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-14T19:11:55+09:00,23,105,94,81,52,22,1,5,112,30,0,90,10,.240,375,.312,.344,.656,7,17,.708,.292,5,1635,417.0,129,34.0,162.0,0,2,.327,1.16,0,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,앤서니알포드,앤서니 알포드,Anthony Alford,KT,hitter,hitting,546990,1,0,546990,hitting,2019,R,11,AAA,AAA,422.0,Buffalo Bisons,117.0,International League,https://statsapi.mlb.com/api/v1/people/546990/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-14T19:11:55+09:00,24,76,34,51,46,16,3,7,94,31,0,73,5,.259,282,.343,.411,.754,8,22,.733,.267,4,1288,319.0,116,37.0,123.0,1,0,.365,0.67,0,40.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,앤서니알포드,앤서니 알포드,Anthony Alford,KT,hitter,hitting,546990,1,0,546990,hitting,2021,R,11,AAA,AAA,484.0,Indianapolis Indians,117.0,Triple-A East,https://statsapi.mlb.com/api/v1/people/546990/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-14T19:11:55+09:00,26,56,25,28,37,12,0,14,78,33,2,58,4,.307,189,.420,.593,1.013,4,9,.692,.308,1,958,226.0,112,41.0,68.0,0,0,.454,0.89,0,13.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,앤서니알포드,앤서니 알포드,Anthony Alford,KT,hitter,hitting,546990,1,0,546990,hitting,2022,R,11,AAA,AAA,484.0,Indianapolis Indians,117.0,International League,https://statsapi.mlb.com/api/v1/people/546990/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-14T19:11:55+09:00,27,3,1,3,3,0,0,2,2,3,0,2,0,.250,8,.455,1.000,1.455,0,1,1.000,.000,0,55,11.0,8,2.0,1.0,0,0,.000,0.33,0,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,앤서니알포드,앤서니 알포드,Anthony Alford,KT,hitter,hitting,546990,1,0,546990,hitting,2022,R,11,AAA,AAA,445.0,Columbus Clippers,117.0,International League,https://statsapi.mlb.com/api/v1/people/546990/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-14T19:11:55+09:00,27,8,7,5,6,0,0,2,13,3,0,5,0,.167,30,.242,.367,.609,0,1,1.000,.000,0,136,33.0,11,2.0,11.0,0,0,.200,1.40,0,15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,앤서니알포드,앤서니 알포드,Anthony Alford,KT,hitter,hitting,546990,1,0,546990,hitting,2022,R,11,AAA,AAA,,,117.0,International League,https://statsapi.mlb.com/api/v1/people/546990/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-14T19:11:55+09:00,27,11,8,8,9,0,0,4,15,6,0,7,0,.184,38,.295,.500,.795,0,2,1.000,.000,0,191,44.0,19,4.0,12.0,0,0,.158,1.00,0,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,니코구드럼,니코 구드럼,Niko Goodrum,롯데,hitter,hitting,592348,0,1,592348,hitting,2010,R,16,Rookie,ROK,474.0,GCL Twins,124.0,Gulf Coast League,https://statsapi.mlb.com/api/v1/people/592348/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-14T19:11:55+09:00,18,36,37,29,10,4,0,0,34,9,0,19,0,.161,118,.219,.195,.414,2,4,.667,.333,0,229,128.0,23,5.0,59.0,0,1,.224,1.28,0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,니코구드럼,니코 구드럼,Niko Goodrum,롯데,hitter,hitting,592348,0,1,592348,hitting,2011,R,16,Rookie,ROK,576.0,Elizabethton Twins,120.0,Appalachian League,https://statsapi.mlb.com/api/v1/people/592348/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-14T19:11:55+09:00,19,59,62,31,39,10,3,2,56,21,0,56,4,.275,204,.352,.382,.734,1,8,.889,.111,8,420,230.0,78,20.0,94.0,0,1,.367,2.00,0,102.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,니코구드럼,니코 구드럼,Niko Goodrum,롯데,hitter,hitting,592348,0,1,592348,hitting,2012,R,16,Rookie,ROK,576.0,Elizabethton Twins,120.0,Appalachian League,https://statsapi.mlb.com/api/v1/people/592348/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-14T19:11:55+09:00,20,58,72,47,38,12,8,4,56,38,1,55,1,.242,227,.349,.419,.768,3,6,.667,.333,3,518,269.0,95,38.0,126.0,0,3,.300,1.53,0,56.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,니코구드럼,니코 구드럼,Niko Goodrum,롯데,hitter,hitting,592348,0,1,592348,hitting,2022,R,16,Rookie,ROK,1998.0,FCL Astros Blue,124.0,Florida Complex League,https://statsapi.mlb.com/api/v1/people/592348/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-14T19:11:55+09:00,30,4,0,2,5,2,0,0,5,3,0,4,0,.364,11,.500,.545,1.045,0,1,1.000,.000,0,34,14.0,6,3.0,3.0,0,0,.667,0.00,0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
