season,player_key,player_name,player_name_en,kbo_team,role_group,role_model_family,matched_to_savant,has_pre_kbo_savant_features,match_method,match_score,match_key,matched_savant_name,matched_savant_player_id,prior_savant_years,prior_savant_rows,success,failure
2023,소크라테스브리토,소크라테스 브리토,Sócrates Orel Brito,KIA,hitter,hitter,False,False,,,,,,,0,1,0
2023,마리오산체스,마리오 산체스,Mario Sanchez,KIA,starter,pitcher,False,False,,,,,,,0,0,1
2023,숀앤더슨,숀 앤더슨,Shaun Anderson,KIA,starter,pitcher,True,True,exact_variant,1.0,anderson shaun,"Anderson, Shaun",641312.0,2022,1,0,1
2023,아도니스메디나,아도니스 메디나,Adonis Medina,KIA,starter,pitcher,True,True,exact_variant,1.0,adonis medina,"Medina, Adonis",658431.0,2022,1,0,1
2023,토마스파노니,토마스 파노니,Thomas Edward Pannone Jr,KIA,starter,pitcher,False,False,,,,,,,0,0,0
2023,앤서니알포드,앤서니 알포드,Anthony Alford,KT,hitter,hitter,True,True,exact_variant,1.0,alford anthony,anthony alford,546990.0,2022,1,1,0
2023,보슐서,보 슐서,Beau Grayson Sulser,KT,starter,pitcher,True,True,exact_variant,1.0,beau sulser,"Sulser, Beau",676641.0,2022,1,0,1
2023,웨스벤자민,웨스 벤자민,Wes Benjamin,KT,starter,pitcher,False,False,,,,,,,0,1,0
2023,윌리엄쿠에바스,윌리엄 쿠에바스,William Enrique Cuevas Osorio,KT,starter,pitcher,False,False,,,,,,,0,1,0
2023,오스틴딘,오스틴 딘,Austin James Dean,LG,hitter,hitter,True,True,exact_variant,1.0,austin dean,austin dean,621573.0,2022,1,1,0
2023,아담플럿코,아담 플럿코,Adam Gregory Plutko,LG,starter,pitcher,False,False,,,,,,,0,1,0
2023,케이시켈리,케이시 켈리,Casey Patrick Kelly,LG,starter,pitcher,True,False,exact_variant,1.0,casey kelly,"Kelly, Casey",543391.0,,0,1,0
2023,제이슨마틴,제이슨 마틴,Jason Martin,NC,hitter,hitter,False,False,,,,,,,0,1,0
2023,에릭페디,에릭 페디,Erick James Fedde,NC,starter,pitcher,True,True,exact_variant,1.0,erick fedde,"Fedde, Erick",607200.0,2022,1,1,0
2023,태너털리,태너 털리,Tanner Paul Tully,NC,starter,pitcher,True,True,exact_variant,1.0,tanner tully,"Tully, Tanner",668684.0,2022,1,0,1
2023,기예르모에레디아,기예르모 에레디아,Guillermo Heredia Molina,SSG,hitter,hitter,False,False,,,,,,,0,1,0
2023,로에니스엘리아스,로에니스 엘리아스,Roenis Elías,SSG,starter,pitcher,True,True,exact_variant,1.0,elias roenis,"Elías, Roenis",606273.0,2022,1,1,0
2023,커크맥카티,커크 맥카티,Kirkland Kirk McCarty,SSG,starter,pitcher,False,False,,,,,,,0,1,0
2023,호세로하스,호세 로하스,Jose Rojas,두산,hitter,hitter,True,True,exact_variant,1.0,jose rojas,josé rojas,670351.0,2022,1,1,0
2023,딜런파일,딜런 파일,Dylan Michael File ,두산,starter,pitcher,False,False,,,,,,,0,0,1
2023,라울알칸타라,라울 알칸타라,Raul Alcántara,두산,starter,pitcher,False,False,,,,,,,0,1,0
2023,브랜던워델,브랜던 워델,Brandon David Waddell,두산,starter,pitcher,True,False,exact_variant,1.0,brandon waddell,"Waddell, Brandon",663399.0,,0,1,0
2023,니코구드럼,니코 구드럼,Niko Goodrum,롯데,hitter,hitter,True,True,exact_variant,1.0,goodrum niko,niko goodrum,592348.0,2022,1,0,1
2023,잭렉스,잭 렉스,Zach Reks,롯데,hitter,hitter,True,True,exact_variant,1.0,reks zach,zach reks,676646.0,2022,1,0,1
2023,댄스트레일리,댄 스트레일리,Dan Straily,롯데,starter,pitcher,False,False,,,,,,,0,0,1
2023,애런윌커슨,애런 윌커슨,Aaron Wilkerson,롯데,starter,pitcher,False,False,,,,,,,0,1,0
2023,찰리반즈,찰리 반즈,Charlie Barnes,롯데,starter,pitcher,True,False,exact_variant,1.0,barnes charlie,"Barnes, Charlie",656212.0,,0,1,0
2023,호세피렐라,호세 피렐라,José Manuel Pirela,삼성,hitter,hitter,False,False,,,,,,,0,0,0
2023,데이비드뷰캐넌,데이비드 뷰캐넌,David Andrew Buchanan,삼성,starter,pitcher,True,False,exact_variant,1.0,buchanan david,"Buchanan, David",571527.0,,0,1,0
2023,앨버트수아레즈,앨버트 수아레즈,Albert Joe Suárez,삼성,starter,pitcher,True,False,exact_variant,1.0,albert suarez,"Suárez, Albert",544150.0,,0,0,1
2023,테일러와이드너,테일러 와이드너,Taylor Browning Widener,삼성,starter,pitcher,True,True,exact_variant,1.0,taylor widener,"Widener, Taylor",642203.0,2022,1,0,1
2023,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitter,True,True,exact_variant,1.0,dawson ronnie,ronnie dawson,669008.0,2022,1,1,0
2023,에디슨러셀,에디슨 러셀,Addison Wayne Russell,키움,hitter,hitter,False,False,,,,,,,0,0,1
2023,아리엘후라도,아리엘 후라도,Ariel Bolívar Jurado Agrazal,키움,starter,pitcher,False,False,,,,,,,0,1,0
2023,에릭요키시,에릭 요키시,Eric Spenser Jokisch,키움,starter,pitcher,False,False,,,,,,,0,0,1
2023,이언매키니,이언 매키니,Ian McKinney,키움,starter,pitcher,False,False,,,,,,,0,0,1
2023,닉윌리엄스,닉 윌리엄스,Nick Williams,한화,hitter,hitter,False,False,,,,,,,0,0,1
2023,브라이언오그레디,브라이언 오그레디,Brian O'Grady,한화,hitter,hitter,False,False,,,,,,,0,0,1
2023,리카르도산체스,리카르도 산체스,Ricardo Jose Sánchez,한화,starter,pitcher,False,False,,,,,,,0,1,0
2023,버치스미스,버치 스미스,Burch Taylor Smith,한화,starter,pitcher,True,False,exact_variant,1.0,burch smith,"Smith, Burch",572143.0,,0,0,1
2023,펠릭스페냐,펠릭스 페냐,Félix Ricardo Peña,한화,starter,pitcher,False,False,,,,,,,0,1,0
2024,소크라테스브리토,소크라테스 브리토,Sócrates Orel Brito,KIA,hitter,hitter,False,False,,,,,,,0,1,0
2024,에릭라우어,에릭 라우어,Eric Lauer,KIA,starter,pitcher,True,True,exact_variant,1.0,eric lauer,"Lauer, Eric",641778.0,2022 | 2023,2,0,1
2024,에릭스타우트,에릭 스타우트,Eric Stout,KIA,starter,pitcher,True,True,exact_variant,1.0,eric stout,"Stout, Eric",657770.0,2022,1,0,1
2024,윌크로우,윌 크로우,William Chandler Crowe,KIA,starter,pitcher,False,False,,,,,,,0,0,1
2024,제임스네일,제임스 네일,James Aubrey Naile,KIA,starter,pitcher,True,True,exact_variant,1.0,james naile,"Naile, James",664942.0,2022 | 2023,2,1,0
2024,캠알드레드,캠 알드레드,Cam Alldred,KIA,starter,pitcher,True,True,exact_variant,1.0,alldred cam,"Alldred, Cam",682027.0,2022,1,0,1
2024,멜로하스주니어,멜 로하스 주니어,Mel Rojas Jr,KT,hitter,hitter,False,False,,,,,,,0,1,0
2024,웨스벤자민,웨스 벤자민,Wes Benjamin,KT,starter,pitcher,False,False,,,,,,,0,1,0
2024,윌리엄쿠에바스,윌리엄 쿠에바스,William Enrique Cuevas Osorio,KT,starter,pitcher,False,False,,,,,,,0,1,0
2024,오스틴딘,오스틴 딘,Austin James Dean,LG,hitter,hitter,True,True,exact_variant,1.0,austin dean,austin dean,621573.0,2022,1,1,0
2024,디트릭엔스,디트릭 엔스,Dietrich Arthur Enns,LG,starter,pitcher,True,False,exact_variant,1.0,dietrich enns,"Enns, Dietrich",608650.0,,0,1,0
2024,엘리에이저에르난데스,엘리에이저 에르난데스,Elieser Hernández,LG,starter,pitcher,True,True,exact_variant,1.0,elieser hernandez,"Hernández, Elieser",622694.0,2022,1,0,1
2024,케이시켈리,케이시 켈리,Casey Patrick Kelly,LG,starter,pitcher,True,False,exact_variant,1.0,casey kelly,"Kelly, Casey",543391.0,,0,0,1
2024,맷데이비드슨,맷 데이비드슨,Matthew Glen Davidson,NC,hitter,hitter,False,False,,,,,,,0,1,0
2024,다니엘카스타노,다니엘 카스타노,Daniel Alexander Castano,NC,starter,pitcher,True,True,exact_variant,1.0,castano daniel,"Castano, Daniel",641447.0,2022 | 2023,2,0,1
2024,에릭요키시,에릭 요키시,Eric Spenser Jokisch,NC,starter,pitcher,False,False,,,,,,,0,0,1
2024,카일하트,카일 하트,Kyle Patrick Hart,NC,starter,pitcher,True,False,exact_variant,1.0,hart kyle,"Hart, Kyle",606996.0,,0,1,0
2024,기예르모에레디아,기예르모 에레디아,Guillermo Heredia Molina,SSG,hitter,hitter,False,False,,,,,,,0,1,0
2024,드류앤더슨,드류 앤더슨,Andrew James Anderson,SSG,starter,pitcher,False,False,,,,,,,0,1,0
2024,로버트더거,로버트 더거,Robert Lee Dugger,SSG,starter,pitcher,True,True,exact_variant,1.0,dugger robert,"Dugger, Robert",667498.0,2022,1,0,1
2024,로에니스엘리아스,로에니스 엘리아스,Roenis Elías,SSG,starter,pitcher,True,True,exact_variant,1.0,elias roenis,"Elías, Roenis",606273.0,2022,1,1,0
2024,제러드영,제러드 영,Jared Young,두산,hitter,hitter,True,True,exact_variant,1.0,jared young,jared young,676724.0,2022 | 2023,2,0,1
2024,헨리라모스,헨리 라모스,Henry Ramos,두산,hitter,hitter,True,True,exact_variant,1.0,henry ramos,henry ramos,592656.0,2023,1,0,1
2024,라울알칸타라,라울 알칸타라,Raul Alcántara,두산,starter,pitcher,False,False,,,,,,,0,0,1
2024,브랜던워델,브랜던 워델,Brandon David Waddell,두산,starter,pitcher,True,False,exact_variant,1.0,brandon waddell,"Waddell, Brandon",663399.0,,0,0,0
2024,시라카와케이쇼,시라카와 케이쇼,Keisho Shirakawa,두산,starter,pitcher,False,False,,,,,,,0,0,1
2024,조던발라조빅,조던 발라조빅,Jordan Balazovic,두산,starter,pitcher,True,True,exact_variant,1.0,balazovic jordan,"Balazovic, Jordan",666364.0,2023,1,0,1
2024,빅터레예스,빅터 레예스,Víctor José Reyes,롯데,hitter,hitter,True,True,exact_variant,1.0,reyes victor,víctor reyes,622682.0,2022,1,1,0
2024,애런윌커슨,애런 윌커슨,Aaron Wilkerson,롯데,starter,pitcher,False,False,,,,,,,0,1,0
2024,찰리반즈,찰리 반즈,Charlie Barnes,롯데,starter,pitcher,True,False,exact_variant,1.0,barnes charlie,"Barnes, Charlie",656212.0,,0,1,0
2024,데이비드맥키넌,데이비드 맥키넌,David MacKinnon,삼성,hitter,hitter,True,True,exact_variant,1.0,david mackinnon,david mackinnon,676950.0,2022,1,0,1
2024,루벤카데나스,루벤 카데나스,Ruben Cardenas,삼성,hitter,hitter,False,False,,,,,,,0,0,1
2024,르윈디아즈,르윈 디아즈,Lewin Díaz,삼성,hitter,hitter,True,True,exact_variant,1.0,diaz lewin,lewin díaz,650331.0,2022,1,1,0
2024,데니레예스,데니 레예스,Denyi Reyes,삼성,starter,pitcher,True,True,exact_variant,1.0,denyi reyes,"Reyes, Denyi",660593.0,2022 | 2023,2,1,0
2024,코너시볼드,코너 시볼드,Connor Seabold,삼성,starter,pitcher,True,True,exact_variant,1.0,connor seabold,"Seabold, Connor",657756.0,2022 | 2023,2,1,0
2024,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitter,True,True,exact_variant,1.0,dawson ronnie,ronnie dawson,669008.0,2022,1,1,0
2024,아리엘후라도,아리엘 후라도,Ariel Bolívar Jurado Agrazal,키움,starter,pitcher,False,False,,,,,,,0,1,0
2024,엔마누엘데헤수스,엔마누엘 데 헤수스,Enmanuel Jose De Jesus,키움,starter,pitcher,True,True,exact_variant,1.0,enmanuel jesus,"De Jesus, Enmanuel",646241.0,2023,1,1,0
2024,요나탄페를라사,요나탄 페를라사,Yonathan Jesús Perlaza,한화,hitter,hitter,False,False,,,,,,,0,1,0
2024,라이언와이스,라이언 와이스,Ryan Weiss,한화,starter,pitcher,True,False,exact_variant,1.0,ryan weiss,"Weiss, Ryan",680802.0,,0,1,0
2024,리카르도산체스,리카르도 산체스,Ricardo Jose Sánchez,한화,starter,pitcher,False,False,,,,,,,0,0,1
