record_role,s_no,gameDate_kst,gameDate,request_year,request_p_no,p_no,p_name,t_code,t_code_name,awayTeam,awayTeam_name,battingOrder,position,position_name,record_key,1B,2B,3B,AB,AVG,BB,BH,BS,CG,CS,ER,ERA,G,GDP,GS,H,HD,HP,HR,IB,IP,L,NP,OBP,OPS,PA,R,RBI,S,SB,SF,SH,SHO,SLG,SO,TB,TBF,W,WHIP,awayScore,ePA,homeScore,rRA,situation,vs_tCode,year,game_dt,opponent_name,home_away,team_score,opp_score,win,run_diff,month,weekday,is_weekend,weather_name,temperature,humidity,windSpeed,temp_bucket,humidity_bucket,wind_bucket,days_since_prev,rest_bucket,home_away_switch,position_group,lineup_group,role_group
batter,20260001,,03-28,2026,12546,12546,홍창기,5002,LG,12001,KT,1.0,9.0,우익수,20260001,1.0,0,0,3,0.333,3,,,,0.0,,,1,0.0,1,1,,0,0,0,,,29,0.667,1.0,6.0,1,0.0,,1.0,0,0.0,,0.333,2,1,,,,11,6.0,7,,20260001,12001,2026,2026-03-28 14:00:00,KT,home,7.0,11.0,0,-4.0,03,Saturday,1,맑음,18.5,27.0,2.8,cool_15_20,dry_<=40,wind_1_3,,first_game,0,OF,1-2_table_setters,OF_1-2_table_setters
batter,20260001,,03-28,2026,13056,13056,신민재,5002,LG,12001,KT,2.0,4.0,2루수,20260001,1.0,0,0,5,0.2,0,,,,0.0,,,1,0.0,1,1,,0,0,0,,,18,0.2,0.4,5.0,0,1.0,,0.0,0,0.0,,0.2,0,1,,,,11,5.0,7,,20260001,12001,2026,2026-03-28 14:00:00,KT,home,7.0,11.0,0,-4.0,03,Saturday,1,맑음,18.5,27.0,2.8,cool_15_20,dry_<=40,wind_1_3,,first_game,0,IF_C,1-2_table_setters,IF_C
batter,20260001,,03-28,2026,15532,15532,오스틴,5002,LG,12001,KT,3.0,3.0,1루수,20260001,3.0,0,0,5,0.6,0,,,,0.0,,,1,0.0,1,3,,0,0,0,,,15,0.6,1.2,5.0,2,0.0,,0.0,0,0.0,,0.6,0,3,,,,11,5.0,7,,20260001,12001,2026,2026-03-28 14:00:00,KT,home,7.0,11.0,0,-4.0,03,Saturday,1,맑음,18.5,27.0,2.8,cool_15_20,dry_<=40,wind_1_3,,first_game,0,IF_C,3-5_run_production,IF_C
batter,20260001,,03-28,2026,14137,14137,문보경,5002,LG,12001,KT,4.0,10.0,지명타자,20260001,1.0,1,0,3,0.667,1,,,,0.0,,,1,1.0,1,2,,0,0,0,,,16,0.6,1.6,5.0,1,2.0,,0.0,1,0.0,,1.0,0,3,,,,11,5.0,7,,20260001,12001,2026,2026-03-28 14:00:00,KT,home,7.0,11.0,0,-4.0,03,Saturday,1,맑음,18.5,27.0,2.8,cool_15_20,dry_<=40,wind_1_3,,first_game,0,DH,3-5_run_production,DH
batter,20260001,,03-28,2026,10387,10387,박동원,5002,LG,12001,KT,5.0,2.0,포수,20260001,2.0,0,0,3,1.0,1,,,,0.0,,,1,0.0,1,3,,0,1,0,,,19,1.0,3.0,4.0,1,3.0,,0.0,0,0.0,,2.0,0,6,,,,11,4.0,7,,20260001,12001,2026,2026-03-28 14:00:00,KT,home,7.0,11.0,0,-4.0,03,Saturday,1,맑음,18.5,27.0,2.8,cool_15_20,dry_<=40,wind_1_3,,first_game,0,IF_C,3-5_run_production,IF_C
batter,20260001,,03-28,2026,14606,14606,천성호,5002,LG,12001,KT,5.0,5.0,3루수,20260001,0.0,0,0,0,,1,,,,0.0,,,1,0.0,0,0,,0,0,0,,,6,1.0,,1.0,0,0.0,,0.0,0,0.0,,,0,0,,,,11,1.0,7,,20260001,12001,2026,2026-03-28 14:00:00,KT,home,7.0,11.0,0,-4.0,03,Saturday,1,맑음,18.5,27.0,2.8,cool_15_20,dry_<=40,wind_1_3,,first_game,0,IF_C,3-5_run_production,IF_C
batter,20260001,,03-28,2026,13112,13112,문성주,5002,LG,12001,KT,6.0,7.0,좌익수,20260001,1.0,0,0,4,0.25,0,,,,0.0,,,1,0.0,1,1,,0,0,0,,,23,0.2,0.45,5.0,0,1.0,,0.0,1,0.0,,0.25,1,1,,,,11,5.0,7,,20260001,12001,2026,2026-03-28 14:00:00,KT,home,7.0,11.0,0,-4.0,03,Saturday,1,맑음,18.5,27.0,2.8,cool_15_20,dry_<=40,wind_1_3,,first_game,0,OF,6-9_lower_lineup,OF_6-9_lower_lineup
batter,20260001,,03-28,2026,10475,10475,오지환,5002,LG,12001,KT,7.0,6.0,유격수,20260001,0.0,0,0,3,0.0,0,,,,0.0,,,1,0.0,1,0,,0,0,0,,,7,0.0,0.0,3.0,0,0.0,,0.0,0,0.0,,0.0,0,0,,,,11,3.0,7,,20260001,12001,2026,2026-03-28 14:00:00,KT,home,7.0,11.0,0,-4.0,03,Saturday,1,맑음,18.5,27.0,2.8,cool_15_20,dry_<=40,wind_1_3,,first_game,0,IF_C,6-9_lower_lineup,IF_C
batter,20260001,,03-28,2026,13104,13104,이재원,5002,LG,12001,KT,7.0,11.0,,20260001,0.0,0,0,1,0.0,0,,,,0.0,,,1,0.0,0,0,,0,0,0,,,6,0.0,0.0,1.0,0,0.0,,0.0,0,0.0,,0.0,1,0,,,,11,1.0,7,,20260001,12001,2026,2026-03-28 14:00:00,KT,home,7.0,11.0,0,-4.0,03,Saturday,1,맑음,18.5,27.0,2.8,cool_15_20,dry_<=40,wind_1_3,,first_game,0,PH,6-9_lower_lineup,PH
batter,20260001,,03-28,2026,15081,15081,이주헌,5002,LG,12001,KT,7.0,2.0,포수,20260001,0.0,0,0,1,0.0,0,,,,0.0,,,1,0.0,0,0,,0,0,0,,,2,0.0,0.0,1.0,0,0.0,,0.0,0,0.0,,0.0,0,0,,,,11,1.0,7,,20260001,12001,2026,2026-03-28 14:00:00,KT,home,7.0,11.0,0,-4.0,03,Saturday,1,맑음,18.5,27.0,2.8,cool_15_20,dry_<=40,wind_1_3,,first_game,0,IF_C,6-9_lower_lineup,IF_C
