context_value,role_value,t_code,t_code_name,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_pa,r_pa,rbi_pa,context_type,role_type,ops_rank,obp_rank,slg_rank,iso_rank,bb_pct_rank,hr_pa_rank,r_pa_rank,rbi_pa_rank,k_pct_rank,team_count
away,DH,1001,삼성,30,8,143.0,116,34,11,0,4,26,1,0,22,57,16,23.0,0.0,0.29310344827586204,0.42657342657342656,0.49137931034482757,0.9179527369182541,0.19827586206896552,0.18181818181818182,0.15384615384615385,0.027972027972027972,0.11188811188811189,0.16083916083916083,home_away,position_group,3.0,2.0,3.0,3.0,1.0,7.0,6.0,2.0,1.0,10
away,DH,2002,KIA,30,8,133.0,119,24,2,0,5,12,2,0,32,41,16,18.0,0.0,0.20168067226890757,0.2857142857142857,0.3445378151260504,0.6302521008403361,0.14285714285714285,0.09022556390977443,0.24060150375939848,0.03759398496240601,0.12030075187969924,0.13533834586466165,home_away,position_group,9.0,9.0,6.0,4.0,8.0,3.0,4.0,3.0,9.0,10
away,DH,3001,롯데,29,8,128.0,117,24,2,0,4,11,0,0,26,38,9,10.0,0.0,0.20512820512820512,0.2734375,0.3247863247863248,0.5982238247863247,0.11965811965811968,0.0859375,0.203125,0.03125,0.0703125,0.078125,home_away,position_group,10.0,10.0,8.0,6.0,9.0,4.0,10.0,9.0,6.0,10
away,DH,5002,LG,28,10,129.0,105,31,5,0,7,20,3,1,22,57,20,17.0,0.0,0.29523809523809524,0.4186046511627907,0.5428571428571428,0.9614617940199335,0.24761904761904757,0.15503875968992248,0.17054263565891473,0.05426356589147287,0.15503875968992248,0.13178294573643412,home_away,position_group,2.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,10
away,DH,6002,두산,30,9,129.0,114,27,4,0,2,12,2,1,27,37,11,14.0,0.0,0.23684210526315788,0.3178294573643411,0.32456140350877194,0.642390860873113,0.08771929824561406,0.09302325581395349,0.20930232558139536,0.015503875968992248,0.08527131782945736,0.10852713178294573,home_away,position_group,8.0,8.0,9.0,10.0,7.0,9.0,9.0,7.0,7.0,10
away,DH,7002,한화,30,6,140.0,116,43,6,0,8,22,2,0,24,73,25,35.0,0.0,0.3706896551724138,0.4785714285714286,0.6293103448275862,1.1078817733990147,0.2586206896551724,0.15714285714285714,0.17142857142857143,0.05714285714285714,0.17857142857142858,0.25,home_away,position_group,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,10
away,DH,9002,SSG,31,6,136.0,112,24,2,0,4,23,1,0,33,38,15,16.0,2.0,0.21428571428571427,0.35294117647058826,0.3392857142857143,0.6922268907563025,0.12500000000000003,0.16911764705882354,0.2426470588235294,0.029411764705882353,0.11029411764705882,0.11764705882352941,home_away,position_group,6.0,6.0,7.0,5.0,2.0,5.0,7.0,6.0,10.0,10
away,DH,10001,키움,31,11,143.0,123,27,3,0,3,20,0,0,31,39,13,11.0,1.0,0.21951219512195122,0.32867132867132864,0.3170731707317073,0.6457444994030359,0.0975609756097561,0.13986013986013987,0.21678321678321677,0.02097902097902098,0.09090909090909091,0.07692307692307693,home_away,position_group,7.0,7.0,10.0,9.0,5.0,8.0,8.0,10.0,8.0,10
away,DH,11001,NC,31,10,141.0,129,42,3,0,4,9,3,0,24,57,19,12.0,3.0,0.32558139534883723,0.3829787234042553,0.4418604651162791,0.8248391885205344,0.11627906976744184,0.06382978723404255,0.1702127659574468,0.028368794326241134,0.1347517730496454,0.0851063829787234,home_away,position_group,4.0,5.0,4.0,7.0,10.0,6.0,3.0,8.0,3.0,10
away,DH,12001,KT,29,9,134.0,113,33,7,0,2,17,1,2,21,46,16,17.0,1.0,0.2920353982300885,0.38345864661654133,0.40707964601769914,0.7905382926342405,0.11504424778761063,0.12686567164179105,0.15671641791044777,0.014925373134328358,0.11940298507462686,0.12686567164179105,home_away,position_group,5.0,4.0,5.0,8.0,6.0,10.0,5.0,5.0,2.0,10
