record_role,s_no,gameDate_kst,gameDate,request_year,request_p_no,p_no,t_code,t_code_name,awayTeam,awayTeam_name,battingOrder,position,position_name,record_key,1B,2B,3B,AB,AVG,BB,BH,BS,CG,CS,ER,ERA,G,GDP,GS,H,HD,HP,HR,IB,IP,L,NP,OBP,OPS,PA,R,RBI,S,SB,SF,SH,SHO,SLG,SO,TB,TBF,W,WHIP,awayScore,ePA,homeScore,rRA,situation,vs_tCode,s_no_filled,p_name,name,outs,pitch_role,import_slot_group,game_dt,opponent_code,opponent_name,home_away,team_score,opp_score,win,temperature,humidity,weather_name,month
pitcher,20260010.0,,03-29,2026,10217,10217,6002,두산,6002,두산,,,,20260010,,0.0,0.0,3,0.333,1,0.0,0.0,0.0,,0.0,0.0,1,,0,1,0.0,0,0,0,0.2,0.0,16,0.5,0.833,,0,,0.0,,0,,0.0,0.333,1,1,4.0,0.0,3.0,9,,6,0.0,20260010,11001,20260010.0,이용찬,이용찬,2.0,bullpen,domestic_pitcher,2026-03-29,11001,NC,away,9.0,6.0,1,17.5,55.0,맑음,3
pitcher,20260004.0,,03-28,2026,10363,10363,1001,삼성,3001,롯데,,,,20260004,,0.0,0.0,4,0.0,0,0.0,0.0,0.0,,0.0,0.0,1,,0,0,0.0,0,0,0,1.1,0.0,15,0.0,0.0,,0,,0.0,,0,,0.0,0.0,1,0,4.0,0.0,0.0,6,,3,0.0,20260004,3001,20260004.0,백정현,백정현,4.0,bullpen,domestic_pitcher,2026-03-28,3001,롯데,home,3.0,6.0,0,22.2,18.0,맑음,3
pitcher,20260001.0,,03-28,2026,10523,10523,12001,KT,12001,KT,,,,20260001,,0.0,0.0,1,0.0,0,0.0,0.0,0.0,,0.0,0.0,1,,0,0,1.0,0,0,0,0.1,0.0,2,0.0,0.0,,0,,0.0,,0,,0.0,0.0,0,0,1.0,0.0,0.0,11,,7,0.0,20260001,5002,20260001.0,우규민,우규민,1.0,bullpen,domestic_pitcher,2026-03-28,5002,LG,away,11.0,7.0,1,18.5,27.0,맑음,3
pitcher,20260009.0,,03-29,2026,10527,10527,1001,삼성,3001,롯데,,,,20260009,,0.0,0.0,4,0.25,1,0.0,0.0,0.0,,0.0,0.0,1,,0,1,0.0,0,0,0,1.0,0.0,19,0.4,0.65,,0,,0.0,,0,,0.0,0.25,0,1,5.0,0.0,2.0,6,,2,0.0,20260009,3001,20260009.0,이승현,이승현,3.0,bullpen,domestic_pitcher,2026-03-29,3001,롯데,home,2.0,6.0,0,18.7,46.0,맑음,3
pitcher,20260001.0,,03-28,2026,10812,10812,12001,KT,12001,KT,,,,20260001,,1.0,0.0,6,0.667,0,0.0,0.0,0.0,,2.0,27.0,1,,0,4,0.0,0,0,0,0.2,0.0,20,0.667,1.5,,2,,0.0,,0,,0.0,0.833,1,5,6.0,0.0,6.0,11,,7,2.0,20260001,5002,20260001.0,한승혁,한승혁,2.0,bullpen,domestic_pitcher,2026-03-28,5002,LG,away,11.0,7.0,1,18.5,27.0,맑음,3
pitcher,20260006.0,,03-29,2026,10812,10812,12001,KT,12001,KT,,,,20260006,,0.0,0.0,4,0.25,0,0.0,0.0,0.0,,0.0,0.0,1,,0,1,0.0,0,0,0,1.0,0.0,18,0.25,0.5,,0,,0.0,,0,,0.0,0.25,2,1,4.0,0.0,1.0,6,,5,0.0,20260006,5002,20260006.0,한승혁,한승혁,3.0,bullpen,domestic_pitcher,2026-03-29,5002,LG,away,6.0,5.0,1,19.4,22.0,맑음,3
pitcher,20260004.0,,03-28,2026,10825,10825,3001,롯데,3001,롯데,,,,20260004,,1.0,0.0,4,0.75,0,0.0,0.0,0.0,,2.0,54.0,1,,0,3,0.0,0,0,0,0.1,0.0,13,0.75,1.75,,2,,0.0,,0,,0.0,1.0,0,4,4.0,0.0,9.0,6,,3,2.0,20260004,1001,20260004.0,김원중,김원중,1.0,bullpen,domestic_pitcher,2026-03-28,1001,삼성,away,6.0,3.0,1,22.2,18.0,맑음,3
pitcher,20260009.0,,03-29,2026,10825,10825,3001,롯데,3001,롯데,,,,20260009,,1.0,0.0,4,0.25,0,0.0,0.0,0.0,,0.0,0.0,1,,0,1,0.0,0,0,0,1.0,0.0,15,0.25,0.75,,0,,0.0,,0,,0.0,0.5,0,2,4.0,0.0,1.0,6,,2,0.0,20260009,1001,20260009.0,김원중,김원중,3.0,bullpen,domestic_pitcher,2026-03-29,1001,삼성,away,6.0,2.0,1,18.7,46.0,맑음,3
pitcher,20260004.0,,03-28,2026,10909,10909,1001,삼성,3001,롯데,,,,20260004,,0.0,0.0,5,0.6,0,0.0,0.0,0.0,,1.0,13.5,1,,0,3,0.0,0,1,0,0.2,0.0,16,0.6,1.8,,1,,0.0,,0,,0.0,1.2,1,6,5.0,0.0,4.5,6,,3,1.0,20260004,3001,20260004.0,임기영,임기영,2.0,bullpen,domestic_pitcher,2026-03-28,3001,롯데,home,3.0,6.0,0,22.2,18.0,맑음,3
pitcher,20260001.0,,03-28,2026,11094,11094,5002,LG,12001,KT,,,,20260001,,0.0,0.0,4,0.25,0,0.0,0.0,0.0,,0.0,0.0,1,,0,1,0.0,0,0,0,1.1,0.0,18,0.25,0.5,,0,,0.0,,0,,0.0,0.25,0,1,4.0,0.0,0.75,11,,7,0.0,20260001,12001,20260001.0,함덕주,함덕주,4.0,bullpen,domestic_pitcher,2026-03-28,12001,KT,home,7.0,11.0,0,18.5,27.0,맑음,3
pitcher,20260006.0,,03-29,2026,11094,11094,5002,LG,12001,KT,,,,20260006,,0.0,0.0,3,0.333,1,0.0,0.0,0.0,,0.0,0.0,1,,0,1,0.0,0,0,0,0.2,0.0,21,0.5,0.833,,0,,0.0,,0,,0.0,0.333,0,1,4.0,0.0,3.0,6,,5,0.0,20260006,12001,20260006.0,함덕주,함덕주,2.0,bullpen,domestic_pitcher,2026-03-29,12001,KT,home,5.0,6.0,0,19.4,22.0,맑음,3
pitcher,20260002.0,,03-28,2026,11126,11126,2002,KIA,2002,KIA,,,,20260002,,0.0,0.0,1,1.0,2,0.0,1.0,0.0,,1.0,99.99,1,,0,1,0.0,0,0,0,0.0,1.0,13,1.0,2.0,,1,,0.0,,0,,0.0,1.0,0,1,3.0,0.0,99.99,6,,7,1.7,20260002,9002,20260002.0,조상우,조상우,0.0,bullpen,domestic_pitcher,2026-03-28,9002,SSG,away,6.0,7.0,0,17.8,42.0,맑음,3
pitcher,20260006.0,,03-29,2026,11164,11164,5002,LG,12001,KT,,,,20260006,,0.0,0.0,2,0.0,1,0.0,0.0,0.0,,0.0,0.0,1,,0,0,0.0,0,0,0,1.0,0.0,10,0.333,0.333,,0,,0.0,,0,,0.0,0.0,0,0,3.0,0.0,1.0,6,,5,0.0,20260006,12001,20260006.0,장현식,장현식,3.0,bullpen,domestic_pitcher,2026-03-29,12001,KT,home,5.0,6.0,0,19.4,22.0,맑음,3
