pitch_role,t_code,t_code_name,games,appearances,pitchers,starts,outs,er,r,h,hr,bb,hbp,so,tb,ab,sf,tbf,np,gdp,ip,era,ra9,whip,k9,bb9,hr9,kbb,avg_allowed,obp_allowed,slg_allowed,ops_allowed,ip_per_game,outs_per_start,pitches_per_ip,era_rank,ra9_rank,whip_rank,bb9_rank,hr9_rank,avg_allowed_rank,obp_allowed_rank,slg_allowed_rank,ops_allowed_rank,ip_per_game_rank,outs_per_start_rank,k9_rank,kbb_rank,team_count
bullpen,1001,삼성,36,105,15,0,311.0,50.0,53,105,19,41,8,90,182,397,5,455.0,1738,0.0,103.66666666666667,4.340836012861736,4.601286173633441,1.4083601286173633,7.813504823151125,3.559485530546624,1.6495176848874598,2.1951219512195124,0.26448362720403024,0.34146341463414637,0.45843828715365237,0.7999017017877987,2.8796296296296298,,16.765273311897104,1.0,1.0,1.0,1.0,10.0,5.0,1.0,10.0,8.0,9.0,,4.0,1.0,10
bullpen,2002,KIA,33,115,17,0,332.0,56.0,68,117,13,61,7,89,181,434,4,512.0,2038,0.0,110.66666666666667,4.554216867469879,5.530120481927711,1.608433734939759,7.2379518072289155,4.960843373493976,1.0572289156626506,1.459016393442623,0.2695852534562212,0.36561264822134387,0.41705069124423966,0.7826633394655835,3.353535353535354,,18.41566265060241,3.0,3.0,8.0,6.0,7.0,6.0,5.0,7.0,6.0,7.0,,8.0,8.0,10
bullpen,3001,롯데,28,113,18,0,323.0,63.0,71,105,10,67,9,93,165,405,6,491.0,1973,0.0,107.66666666666667,5.266253869969041,5.934984520123839,1.5975232198142415,7.773993808049536,5.6006191950464395,0.8359133126934984,1.3880597014925373,0.25925925925925924,0.37166324435318276,0.4074074074074074,0.7790706517605901,3.8452380952380953,,18.325077399380802,7.0,7.0,6.0,9.0,3.0,3.0,7.0,3.0,4.0,2.0,,5.0,9.0,10
bullpen,5002,LG,35,131,19,0,389.0,68.0,70,144,13,60,8,94,212,511,4,585.0,2262,0.0,129.66666666666666,4.719794344473008,4.858611825192802,1.5732647814910026,6.5244215938303345,4.16452442159383,0.9023136246786633,1.5666666666666667,0.28180039138943247,0.36363636363636365,0.41487279843444225,0.7785091620708059,3.7047619047619045,,17.444730077120823,4.0,2.0,5.0,3.0,4.0,7.0,4.0,6.0,3.0,3.0,,10.0,4.0,10
bullpen,6002,두산,34,114,16,0,352.0,59.0,75,119,9,53,10,114,172,456,5,534.0,2165,0.0,117.33333333333333,4.525568181818182,5.752840909090909,1.4659090909090908,8.744318181818182,4.065340909090909,0.6903409090909091,2.150943396226415,0.26096491228070173,0.3473282442748092,0.37719298245614036,0.7245212267309495,3.4509803921568625,,18.451704545454547,2.0,6.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,6.0,,1.0,2.0,10
bullpen,7002,한화,46,146,20,0,394.0,87.0,96,157,12,90,17,122,229,520,7,640.0,2581,0.0,131.33333333333334,5.961928934010152,6.5786802030456855,1.880710659898477,8.360406091370558,6.16751269035533,0.8223350253807107,1.3555555555555556,0.3019230769230769,0.416403785488959,0.4403846153846154,0.8567884008735744,2.855072463768116,,19.65228426395939,10.0,10.0,10.0,10.0,2.0,10.0,10.0,8.0,10.0,10.0,,3.0,10.0,10
bullpen,9002,SSG,61,245,17,0,778.0,147.0,162,242,29,152,24,222,373,984,12,1181.0,4659,0.0,259.3333333333333,5.1015424164524426,5.622107969151671,1.519280205655527,7.704370179948586,5.275064267352185,1.006426735218509,1.4605263157894737,0.2459349593495935,0.35665529010238906,0.3790650406504065,0.7357203307527955,4.251366120218579,,17.96529562982005,6.0,5.0,3.0,7.0,6.0,1.0,3.0,2.0,2.0,1.0,,6.0,7.0,10
bullpen,10001,키움,46,125,17,0,424.0,80.0,87,155,15,71,9,119,225,546,6,646.0,2556,0.0,141.33333333333334,5.09433962264151,5.540094339622642,1.599056603773585,7.577830188679245,4.52122641509434,0.9551886792452831,1.676056338028169,0.2838827838827839,0.37183544303797467,0.41208791208791207,0.7839233551258867,3.0724637681159424,,18.08490566037736,5.0,4.0,7.0,4.0,5.0,8.0,8.0,5.0,7.0,8.0,,7.0,3.0,10
bullpen,11001,NC,32,121,18,0,332.0,70.0,79,104,14,68,11,104,169,412,5,506.0,2045,0.0,110.66666666666667,5.692771084337349,6.424698795180723,1.5542168674698795,8.457831325301205,5.530120481927711,1.1385542168674698,1.5294117647058822,0.2524271844660194,0.3689516129032258,0.41019417475728154,0.7791457876605073,3.4583333333333335,,18.4789156626506,8.0,9.0,4.0,8.0,8.0,2.0,6.0,4.0,5.0,5.0,,2.0,5.0,10
bullpen,12001,KT,29,111,13,0,307.0,66.0,70,117,16,53,11,78,181,407,6,483.0,1868,0.0,102.33333333333333,5.804560260586319,6.156351791530945,1.6612377850162867,6.859934853420196,4.6612377850162865,1.4071661237785016,1.471698113207547,0.28746928746928746,0.37945492662473795,0.44471744471744473,0.8241723713421827,3.528735632183908,,18.254071661237784,9.0,8.0,9.0,5.0,9.0,9.0,9.0,9.0,9.0,4.0,,9.0,6.0,10
