year,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,WAR,AVG,OBP,SLG,OPS,t_code,context_family,context_label,context_params,api_update_time,GO,FO,t_code_name,avg_calc,obp_calc,slg_calc,ops_calc,iso_calc,bb_pct,k_pct,hr_per_pa,rbi_per_pa,OPS_rank,OBP_rank,SLG_rank,AVG_rank,HR_rank,RBI_rank,bb_pct_rank,hr_per_pa_rank,rbi_per_pa_rank,ops_calc_rank,obp_calc_rank,slg_calc_rank,iso_calc_rank,k_pct_rank,team_count
2026,61,2477,2449.0,2108,337,572,95,13,60,873,323,43.0,11.0,292,33,9,417,41,22,22,12.920766790397465,0.271,0.365,0.414,0.779,1001,overall,all,{},,,,삼성,0.2713472485768501,0.3653767820773931,0.41413662239089183,0.779513404468285,0.14278937381404172,0.11788453774727493,0.1683488090431974,0.024222850222042795,0.1303996770286637,2.0,2.0,3.0,4.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,10
2026,63,2452,2416.0,2139,321,566,109,4,75,908,307,38.0,8.0,239,26,9,481,53,30,18,12.448135882616043,0.265,0.343,0.424,0.767,2002,overall,all,{},,,,KIA,0.2646096306685367,0.3431048720066061,0.42449742870500234,0.7676023007116084,0.15988779803646563,0.09747145187601958,0.1961663947797716,0.030587275693311582,0.12520391517128873,4.0,7.0,2.0,6.0,1.0,5.0,6.0,1.0,5.0,4.0,7.0,2.0,1.0,9.0,10
2026,62,2518,2480.0,2160,345,610,100,12,42,860,326,30.0,21.0,280,28,4,465,49,36,14,12.294664532877505,0.282,0.37,0.398,0.768,12001,overall,all,{},,,,KT,0.2824074074074074,0.3698630136986301,0.39814814814814814,0.7680111618467782,0.11574074074074076,0.11119936457505956,0.1846703733121525,0.016679904686258934,0.12946783161239078,3.0,1.0,6.0,1.0,9.0,2.0,2.0,9.0,3.0,3.0,1.0,6.0,9.0,4.0,10
2026,61,2502,2465.0,2166,380,606,97,12,67,928,353,36.0,16.0,251,34,8,474,48,34,17,12.193546561989933,0.28,0.361,0.428,0.789,7002,overall,all,{},,,,한화,0.27977839335180055,0.3610210696920583,0.42843951985226225,0.7894605895443205,0.1486611265004617,0.1003197442046363,0.18944844124700239,0.026778577138289367,0.1410871302957634,1.0,3.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,2.0,6.0,10
2026,62,2440,2402.0,2074,320,562,89,7,52,821,309,48.0,14.0,262,41,9,449,44,36,27,10.499934642575681,0.271,0.36,0.396,0.756,5002,overall,all,{},,,,LG,0.2709739633558341,0.35981697171381033,0.3958534233365477,0.755670395050358,0.12487945998071359,0.10737704918032787,0.18401639344262294,0.021311475409836064,0.1266393442622951,6.0,4.0,7.0,4.0,6.0,4.0,3.0,6.0,4.0,6.0,4.0,7.0,7.0,3.0,10
2026,61,2412,2381.0,2088,304,574,95,2,58,847,288,75.0,25.0,215,66,7,459,51,26,17,10.153841488994658,0.275,0.358,0.406,0.764,11001,overall,all,{},,,,NC,0.27490421455938696,0.3583403185247276,0.40565134099616856,0.7639916595208962,0.1307471264367816,0.08913764510779436,0.19029850746268656,0.02404643449419569,0.11940298507462686,5.0,5.0,5.0,3.0,5.0,7.0,8.0,5.0,7.0,5.0,5.0,5.0,5.0,7.0,10
2026,62,2445,2423.0,2117,316,553,98,10,65,866,298,49.0,16.0,256,25,7,461,44,20,27,8.687116406857967,0.261,0.344,0.409,0.753,9002,overall,all,{},,,,SSG,0.2612187057156353,0.3439175257731959,0.40906943788379785,0.7529869636569937,0.14785073216816252,0.10470347648261759,0.18854805725971371,0.026584867075664622,0.12188139059304703,7.0,6.0,4.0,8.0,3.0,6.0,4.0,3.0,6.0,7.0,6.0,4.0,3.0,5.0,10
2026,63,2468,2435.0,2146,299,565,90,17,50,839,278,56.0,14.0,222,41,3,443,44,32,27,7.49285613745451,0.263,0.34,0.391,0.731,6002,overall,all,{},,,,두산,0.26328052190121154,0.3399014778325123,0.39095992544268404,0.7308614032751963,0.1276794035414725,0.08995137763371151,0.17949756888168558,0.02025931928687196,0.1126418152350081,8.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,6.0,2.0,10
2026,61,2362,2346.0,2125,254,546,103,10,45,804,239,56.0,10.0,185,21,8,462,35,10,21,3.237641652696766,0.257,0.32,0.378,0.698,3001,overall,all,{},,,,롯데,0.25694117647058823,0.3197278911564626,0.3783529411764706,0.6980808323329333,0.12141176470588239,0.07832345469940728,0.1955969517358171,0.01905165114309907,0.10118543607112616,9.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,10
2026,64,2446,2418.0,2159,227,504,91,4,36,711,211,13.0,1.0,213,36,5,561,37,25,13,-0.4556220304220915,0.233,0.311,0.329,0.64,10001,overall,all,{},,,,키움,0.2334414080592867,0.3110285006195787,0.32931912922649376,0.6403476298460724,0.09587772116720705,0.08708094848732624,0.22935404742436633,0.014717906786590351,0.08626328699918234,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10
2026,32,1278,,1097,172,316,56,3,14,420,163,17.0,10.0,141,12,2,234,26,21,7,,0.288,0.373,0.383,0.756,12001,home_away,home,"{""ha"": ""H""}",,275,239,KT,0.2880583409298086,0.3731105807478122,0.3828623518687329,0.7559729326165452,0.09480401093892432,0.11032863849765258,0.18309859154929578,0.010954616588419406,0.12754303599374023,6.0,1.0,7.0,1.0,10.0,3.0,3.0,10.0,5.0,6.0,1.0,7.0,9.0,5.0,10
2026,31,1234,,1077,177,298,45,5,30,443,167,22.0,11.0,114,16,0,251,22,16,11,,0.277,0.351,0.411,0.762,7002,home_away,home,"{""ha"": ""H""}",,298,214,한화,0.27669452181987003,0.35139573070607555,0.4113277623026927,0.7627234930087683,0.13463324048282266,0.09238249594813615,0.2034035656401945,0.024311183144246355,0.1353322528363047,4.0,7.0,4.0,2.0,4.0,2.0,8.0,5.0,3.0,4.0,7.0,4.0,5.0,6.0,10
2026,31,1204,,1031,145,281,42,11,19,402,131,34.0,8.0,119,17,1,205,21,21,16,,0.273,0.352,0.39,0.742,6002,home_away,home,"{""ha"": ""H""}",,255,269,두산,0.2725509214354995,0.3524936601859679,0.38991270611057227,0.7424063662965401,0.11736178467507274,0.09883720930232558,0.17026578073089702,0.015780730897009966,0.10880398671096346,8.0,6.0,6.0,3.0,7.0,8.0,7.0,7.0,8.0,8.0,6.0,6.0,6.0,2.0,10
2026,32,1230,,1027,172,278,46,3,21,393,168,29.0,9.0,145,24,1,209,19,18,16,,0.271,0.369,0.383,0.752,5002,home_away,home,"{""ha"": ""H""}",,291,235,LG,0.27069133398247325,0.3688118811881188,0.38266796494644595,0.7514798461345648,0.1119766309639727,0.11788617886178862,0.16991869918699187,0.01707317073170732,0.13658536585365855,7.0,2.0,7.0,4.0,6.0,1.0,1.0,6.0,2.0,7.0,2.0,8.0,8.0,1.0,10
2026,30,1180,,1004,170,272,44,8,32,428,163,22.0,9.0,137,18,5,201,16,11,10,,0.271,0.365,0.426,0.791,1001,home_away,home,"{""ha"": ""H""}",,247,253,삼성,0.27091633466135456,0.3652694610778443,0.4262948207171315,0.7915642817949757,0.15537848605577692,0.11610169491525424,0.17033898305084746,0.02711864406779661,0.13813559322033897,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,10
2026,31,1178,,1009,166,268,49,3,42,449,159,18.0,7.0,124,18,4,240,25,17,10,,0.266,0.353,0.445,0.798,2002,home_away,home,"{""ha"": ""H""}",,263,216,KIA,0.26560951437066405,0.35314384151593453,0.4449950445986125,0.7981388861145471,0.17938553022794845,0.10526315789473684,0.2037351443123939,0.035653650254668934,0.13497453310696095,1.0,4.0,1.0,6.0,1.0,5.0,4.0,2.0,4.0,1.0,4.0,1.0,1.0,7.0,10
2026,31,1176,,1058,122,281,63,7,15,403,112,27.0,6.0,98,9,4,202,19,2,9,,0.266,0.33,0.381,0.711,3001,home_away,home,"{""ha"": ""H""}",,274,274,롯데,0.2655954631379962,0.33049403747870526,0.3809073724007561,0.7114014098794614,0.11531190926275992,0.08333333333333333,0.1717687074829932,0.012755102040816327,0.09523809523809523,9.0,9.0,9.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,4.0,10
2026,29,1111,,960,146,254,47,1,30,393,140,46.0,11.0,110,24,3,236,14,12,5,,0.265,0.353,0.409,0.762,11001,home_away,home,"{""ha"": ""H""}",,242,203,NC,0.26458333333333334,0.35304822565969063,0.409375,0.7624232256596906,0.14479166666666665,0.09900990099009901,0.21242124212421243,0.027002700270027002,0.126012601260126,4.0,4.0,5.0,8.0,4.0,7.0,6.0,4.0,6.0,5.0,5.0,5.0,4.0,9.0,10
2026,30,1153,,1009,150,260,48,2,42,438,141,24.0,10.0,117,9,3,240,17,8,10,,0.258,0.337,0.434,0.771,9002,home_away,home,"{""ha"": ""H""}",,237,247,SSG,0.2576808721506442,0.337117903930131,0.43409316154608524,0.7712110654762163,0.176412289395441,0.10147441457068516,0.20815264527320035,0.03642671292281006,0.1222896790980052,3.0,8.0,2.0,9.0,1.0,6.0,5.0,1.0,7.0,3.0,8.0,2.0,2.0,8.0,10
2026,33,1234,,1090,113,256,49,1,17,358,108,8.0,1.0,101,22,3,298,15,13,8,,0.235,0.31,0.328,0.638,10001,home_away,home,"{""ha"": ""H""}",,257,255,키움,0.23486238532110093,0.3104013104013104,0.3284403669724771,0.6388416773737875,0.09357798165137615,0.08184764991896272,0.24149108589951376,0.013776337115072933,0.08752025931928688,10.0,10.0,10.0,10.0,8.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10
2026,32,1301,,1128,158,320,48,1,28,454,148,29.0,14.0,105,42,4,223,37,14,12,,0.284,0.363,0.402,0.765,11001,home_away,away,"{""ha"": ""N""}",,292,269,NC,0.28368794326241137,0.3628593628593629,0.4024822695035461,0.765341632362909,0.11879432624113473,0.08070714834742505,0.17140661029976942,0.021521906225980016,0.1137586471944658,4.0,4.0,6.0,1.0,6.0,5.0,9.0,8.0,8.0,4.0,4.0,6.0,9.0,3.0,10
2026,30,1268,,1089,203,308,52,7,37,485,186,14.0,5.0,137,18,8,223,26,18,6,,0.283,0.37,0.445,0.815,7002,home_away,away,"{""ha"": ""N""}",,279,248,한화,0.2828282828282828,0.3704,0.44536271808999084,0.8157627180899909,0.16253443526170802,0.10804416403785488,0.17586750788643532,0.02917981072555205,0.14668769716088328,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,10
2026,30,1240,,1063,173,294,44,9,28,440,163,13.0,11.0,139,16,2,231,23,15,7,,0.277,0.367,0.414,0.781,12001,home_away,away,"{""ha"": ""N""}",,271,222,KT,0.27657572906867356,0.36653061224489797,0.4139228598306679,0.7804534720755658,0.13734713076199434,0.11209677419354838,0.18629032258064515,0.02258064516129032,0.1314516129032258,2.0,2.0,2.0,3.0,6.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,4.0,5.0,10
2026,31,1297,,1104,167,300,51,5,28,445,160,21.0,2.0,155,15,4,216,25,11,12,,0.272,0.365,0.403,0.768,1001,home_away,away,"{""ha"": ""N""}",,295,281,삼성,0.2717391304347826,0.3654743390357698,0.40307971014492755,0.7685540491806974,0.13134057971014496,0.1195065535851966,0.16653816499614496,0.02158828064764842,0.12336160370084812,3.0,3.0,5.0,4.0,6.0,3.0,1.0,7.0,3.0,3.0,3.0,5.0,6.0,1.0,10
