player_key,season,player_name,player_name_ko,player_name_statiz,player_name_en,arrival_season,kbo_team,kbo_team_raw,role_group,role_ko,template_status,release_note,pre_arrival_primary_league,pre_arrival_level,age_at_arrival,bats,throws,position_or_role,source_player_id,first_kbo_pa,first_kbo_ip,first_kbo_war,first_kbo_wrc_plus,first_kbo_era,first_kbo_k_bb_pct,renewed_next_year,in_season_replaced,injury_exit_flag,performance_exit_flag,temporary_foreign_flag,outcome_available,label_available,success,strong_success,failure,statiz_matched,source_confidence_1_5,coverage_gap,source,target_only_columns,accessed_at,archetype_cluster_id,archetype_model_role,archetype_input_features
소크라테스브리토,2023,소크라테스 브리토,소크라테스 브리토,소크라테스,Sócrates Orel Brito,2023,KIA,KIA 타이거즈,hitter,야수,listed,,,,,,,8,14996.0,608.0,,4.003747940063477,124.95099639892578,,0.0460526315789473,1.0,0,0,0,0,True,True,1.0,1.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
앤서니알포드,2023,앤서니 알포드,앤서니 알포드,알포드,Anthony Alford,2023,KT,kt wiz,hitter,야수,listed,,,,,,,7,15144.0,547.0,,3.9759349822998047,123.47000122070312,,0.170018281535649,0.0,0,0,0,0,True,True,1.0,0.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
오스틴딘,2023,오스틴 딘,오스틴 딘,오스틴,Austin James Dean,2023,LG,LG 트윈스,hitter,야수,listed,,,,,,,3,15532.0,583.0,,5.129427433013916,153.89199829101562,,0.0377358490566037,1.0,0,0,0,0,True,True,1.0,1.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
제이슨마틴,2023,제이슨 마틴,제이슨 마틴,마틴,Jason Martin,2023,NC,NC 다이노스,hitter,야수,listed,,,,,,,8,15537.0,503.0,,3.5465073585510254,125.48999786376952,,0.099403578528827,0.0,0,0,0,0,True,True,1.0,0.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
기예르모에레디아,2023,기예르모 에레디아,기예르모 에레디아,에레디아,Guillermo Heredia Molina,2023,SSG,SSG 랜더스,hitter,야수,listed,,,,,,,7,15530.0,523.0,,3.948648452758789,135.85499572753906,,0.0688336520076481,1.0,0,0,0,0,True,True,1.0,1.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
호세로하스,2023,호세 로하스,호세 로하스,로하스,Jose Rojas,2023,두산,두산 베어스,hitter,야수,listed,,,,,,,7,15539.0,464.0,,2.5899457931518555,133.47900390625,,0.0280172413793103,0.0,0,0,0,0,True,True,1.0,0.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
니코구드럼,2023,니코 구드럼,니코 구드럼,구드럼,Niko Goodrum,2023,롯데,롯데 자이언츠,hitter,야수,listed,,,,,,,5,15651.0,201.0,,0.4046840369701385,115.03800201416016,,0.1144278606965174,0.0,0,0,0,0,True,True,0.0,0.0,1.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
잭렉스,2023,잭 렉스,잭 렉스,렉스,Zach Reks,2023,롯데,롯데,hitter,야수,released,"무릎 부상, 롯데",,,,,,9,15152.0,234.0,,0.1275708228349685,88.53040313720703,,,0.0,1,1,0,0,True,True,0.0,0.0,1.0,True,4,,ko_wiki_foreign_player_template_release_row,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,1,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
호세피렐라,2023,호세 피렐라,호세 피렐라,피렐라,José Manuel Pirela,2023,삼성,삼성 라이온즈,hitter,야수,listed,,,,,,,7,14757.0,605.0,,0.6626286506652832,107.88999938964844,,0.0446280991735537,0.0,0,0,0,0,True,True,0.0,0.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
로니도슨,2023,로니 도슨,로니 도슨,도슨,Ronnie Dawson,2023,키움,키움 히어로즈,hitter,야수,listed,,,,,,,8,15652.0,261.0,,1.766088843345642,147.02200317382812,,0.0881226053639846,1.0,0,0,0,0,True,True,1.0,0.0,0.0,True,4,,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00,0,hitter,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year
