season,player_key,player_name,player_name_en,kbo_team,role_group,role_model_family,source_confidence_1_5,outcome_available,label_available,success,strong_success,failure,first_kbo_pa,first_kbo_ip,first_kbo_war,first_kbo_wrc_plus,first_kbo_era,renewed_next_year,in_season_replaced,injury_exit_flag,performance_exit_flag,matched_to_savant,has_pre_kbo_savant_features,match_method,match_score,matched_savant_name,matched_savant_player_id,prior_savant_years,prior_savant_rows,prior_savant_latest_year,pre_pa,pre_pitch,pre_games,pre_start_proxy_games,pre_games_80plus_pitches,pre_games_90plus_pitches,pre_games_100plus_pitches,pre_bb_hbp_pct,pre_k_pct,pre_hr_pct,pre_woba_allowed,pre_xwoba_allowed_bbe,pre_xslg_allowed_bbe,pre_whiff_per_swing,pre_chase_rate,pre_zone_rate,pre_first_pitch_nonball_rate,pre_three_ball_pitch_rate,pre_hardhit_rate,pre_barrel_rate,pre_start_proxy_rate,pre_third_time_game_rate,pre_early_1_3_woba_allowed,pre_runner_on_base_woba_allowed,pre_risp_woba_allowed,pre_third_time_woba_allowed,pre_starter_stabilizer_score,pre_bb_pct,pre_woba,pre_zone_swing_rate,pre_nonfast_chase_rate,pre_nonfast_whiff_per_swing,pre_sweet_spot_rate,pre_air_bbe_rate,pre_same_field_air_rate_proxy,pre_low_velo_xwoba,pre_high_velo_xwoba,pre_break_off_xwoba,pre_hitter_count_xwoba,pre_ssg_message_screen_score,has_pre_kbo_milb,milb_stat_group,pre_kbo_milb_rows,pre_kbo_milb_latest_year,pre_kbo_milb_recent_rows,pre_kbo_milb_highest_level_score,pre_kbo_aaa_rows,pre_kbo_aa_rows,pre_kbo_milb_pa,pre_kbo_milb_hr,pre_kbo_milb_ops,pre_kbo_milb_obp,pre_kbo_milb_slg,pre_kbo_milb_k_pct,pre_kbo_milb_bb_pct,pre_kbo_milb_ip,pre_kbo_milb_games,pre_kbo_milb_games_started,pre_kbo_milb_k9,pre_kbo_milb_bb9,pre_kbo_milb_hr9,pre_kbo_milb_era,pre_kbo_milb_whip,has_model_pre_kbo_features,model_feature_source,archetype_cluster_id,archetype_name,archetype_input_features,z__hitter_quality_of_contact__pre_woba,z__hitter_quality_of_contact__pre_hardhit_rate,z__hitter_quality_of_contact__pre_barrel_rate,z__hitter_quality_of_contact__pre_sweet_spot_rate,z__hitter_quality_of_contact__pre_air_bbe_rate,z__hitter_quality_of_contact__pre_low_velo_xwoba,z__hitter_quality_of_contact__pre_high_velo_xwoba,z__hitter_quality_of_contact__pre_break_off_xwoba,z__hitter_quality_of_contact__pre_hitter_count_xwoba,hitter_quality_of_contact_score,hitter_quality_of_contact_nonnull_features,z__hitter_contact_discipline_floor__pre_bb_pct,z__hitter_contact_discipline_floor__pre_k_pct,z__hitter_contact_discipline_floor__pre_whiff_per_swing,z__hitter_contact_discipline_floor__pre_chase_rate,z__hitter_contact_discipline_floor__pre_nonfast_chase_rate,z__hitter_contact_discipline_floor__pre_nonfast_whiff_per_swing,z__hitter_contact_discipline_floor__pre_zone_swing_rate,hitter_contact_discipline_floor_score,hitter_contact_discipline_floor_nonnull_features,z__hitter_milb_surface_power__pre_kbo_milb_ops,z__hitter_milb_surface_power__pre_kbo_milb_obp,z__hitter_milb_surface_power__pre_kbo_milb_slg,z__hitter_milb_surface_power__pre_kbo_milb_hr,z__hitter_milb_surface_power__pre_kbo_milb_bb_pct,z__hitter_milb_surface_power__pre_kbo_milb_k_pct,hitter_milb_surface_power_score,hitter_milb_surface_power_nonnull_features,z__hitter_track_continuity__pre_kbo_milb_latest_year,z__hitter_track_continuity__pre_kbo_milb_recent_rows,z__hitter_track_continuity__pre_kbo_milb_highest_level_score,z__hitter_track_continuity__pre_kbo_aaa_rows,z__hitter_track_continuity__pre_kbo_milb_pa,hitter_track_continuity_score,hitter_track_continuity_nonnull_features,z__hitter_ssg_pilot_screen__pre_ssg_message_screen_score,hitter_ssg_pilot_screen_score,hitter_ssg_pilot_screen_nonnull_features,z__pitcher_damage_suppression__pre_woba_allowed,z__pitcher_damage_suppression__pre_xwoba_allowed_bbe,z__pitcher_damage_suppression__pre_xslg_allowed_bbe,z__pitcher_damage_suppression__pre_hardhit_rate,z__pitcher_damage_suppression__pre_barrel_rate,z__pitcher_damage_suppression__pre_kbo_milb_hr9,z__pitcher_damage_suppression__pre_kbo_milb_era,z__pitcher_damage_suppression__pre_kbo_milb_whip,pitcher_damage_suppression_score,pitcher_damage_suppression_nonnull_features,z__pitcher_command_floor__pre_bb_hbp_pct,z__pitcher_command_floor__pre_three_ball_pitch_rate,z__pitcher_command_floor__pre_first_pitch_nonball_rate,z__pitcher_command_floor__pre_zone_rate,z__pitcher_command_floor__pre_kbo_milb_bb9,z__pitcher_command_floor__pre_kbo_milb_bb_pct,pitcher_command_floor_score,pitcher_command_floor_nonnull_features,z__pitcher_raw_miss_upside__pre_k_pct,z__pitcher_raw_miss_upside__pre_whiff_per_swing,z__pitcher_raw_miss_upside__pre_chase_rate,z__pitcher_raw_miss_upside__pre_kbo_milb_k9,z__pitcher_raw_miss_upside__pre_kbo_milb_k_pct,pitcher_raw_miss_upside_score,pitcher_raw_miss_upside_nonnull_features,z__pitcher_role_continuity_workload__pre_start_proxy_rate,z__pitcher_role_continuity_workload__pre_start_proxy_games,z__pitcher_role_continuity_workload__pre_games_80plus_pitches,z__pitcher_role_continuity_workload__pre_games_90plus_pitches,z__pitcher_role_continuity_workload__pre_games_100plus_pitches,z__pitcher_role_continuity_workload__pre_kbo_milb_ip,z__pitcher_role_continuity_workload__pre_kbo_milb_games_started,z__pitcher_role_continuity_workload__pre_kbo_milb_recent_rows,z__pitcher_role_continuity_workload__pre_kbo_milb_latest_year,z__pitcher_role_continuity_workload__pre_kbo_aaa_rows,pitcher_role_continuity_workload_score,pitcher_role_continuity_workload_nonnull_features,z__pitcher_traffic_stress_control__pre_runner_on_base_woba_allowed,z__pitcher_traffic_stress_control__pre_risp_woba_allowed,z__pitcher_traffic_stress_control__pre_third_time_woba_allowed,z__pitcher_traffic_stress_control__pre_early_1_3_woba_allowed,z__pitcher_traffic_stress_control__pre_starter_stabilizer_score,pitcher_traffic_stress_control_score,pitcher_traffic_stress_control_nonnull_features,layer2_bridge_status,layer2_release_policy,is_final_recommendation,shortlist_label_allowed,candidate_name_release_allowed,score_release_allowed
2023,소크라테스브리토,소크라테스 브리토,Sócrates Orel Brito,KIA,hitter,hitter,4,True,True,1,1,0,608.0,,4.003747940063477,124.95099639892578,,1.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,0,hitter_everyday_middle_order_anchor,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,outcome_archetype_label_only_no_prearrival_features,layer2_archetype_research_only_no_candidate_release,False,False,False,False
2023,마리오산체스,마리오 산체스,Mario Sanchez,KIA,starter,pitcher,4,True,True,0,0,1,,63.666666666666664,0.1339933136739961,,5.9399999999999995,0.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,2,pitcher_failure_replacement_or_health_risk,first_kbo_ip;first_kbo_war;first_kbo_era;first_kbo_k_bb_pct;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,outcome_archetype_label_only_no_prearrival_features,layer2_archetype_research_only_no_candidate_release,False,False,False,False
2023,숀앤더슨,숀 앤더슨,Shaun Anderson,KIA,starter,pitcher,4,True,True,0,0,1,,79.0,1.3281492839414129,,3.76,0.0,1,0,1,True,True,exact_variant,1.0,"Anderson, Shaun",641312.0,2022,1.0,2022.0,7.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142857142857143,0.3862142857142857,0.5192857142857144,0.1,0.375,0.6190476190476192,0.8571428571428571,0.1428571428571428,0.4285714285714285,0.0,0.0,0.0,,0.45,0.225,,,,,,,,,,,,,,,,True,pitching,12.0,2022.0,5.0,100.0,5.0,0.0,,,,,,0.2342342342342342,0.0936936936936937,134.66666666666666,72.0,15.0,8.68811881188119,3.4752475247524757,1.0024752475247525,3.275544554455446,1.1685148514851484,True,savant_and_milb,3,pitcher_failure_replacement_or_health_risk,first_kbo_ip;first_kbo_war;first_kbo_era;first_kbo_k_bb_pct;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,0,-2.9195911258381613,-0.004531224329501021,0.38912793922853417,-0.37325782358027687,2.220134507624245,-0.09837162400139084,0.660094079051509,0.8837635679822313,0.09467103701714874,8,1.893170540559965,-3.0,-3.0,2.508154220554154,-0.20716078230303586,-0.35708199872891017,-0.36048633665297114,6,-3.0,-2.491026976618138,1.736808299476841,0.13661620816769485,0.5577510603347741,-0.6119702817277657,5,-0.38713319821038894,-0.15651327904966542,-0.09733878040538675,0.0,0.0,0.057663372148396584,-0.0719213200746764,1.7527345708845483,-0.5793241220216576,1.814123693720856,0.23322909369920258,10,-1.3408394489830777,1.6001624051498917,,,,0.129661478083407,2,outcome_archetype_with_prearrival_fingerprint,layer2_archetype_research_only_no_candidate_release,False,False,False,False
2023,아도니스메디나,아도니스 메디나,Adonis Medina,KIA,starter,pitcher,4,True,True,0,0,1,,58.0,0.058467914097147,,6.05,0.0,1,0,1,True,True,exact_variant,1.0,"Medina, Adonis",658431.0,2022,1.0,2022.0,110.0,414.0,14.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.1545454545454545,0.0181818181818181,0.3722727272727273,0.3878224279835391,0.560962962962963,0.1725888324873096,0.2682926829268293,0.5048309178743962,0.6272727272727273,0.0869565217391304,0.5609756097560976,0.073170731707317,0.0,0.0,,0.4794117647058823,0.4402777777777777,,,,,,,,,,,,,,,,True,pitching,7.0,2022.0,2.0,100.0,2.0,0.0,,,,,,0.1968680089485458,0.0961968680089485,98.66666666666669,35.0,19.0,8.027027027027026,3.922297297297297,1.277027027027027,4.924324324324324,1.5179729729729727,True,savant_and_milb,3,pitcher_failure_replacement_or_health_risk,first_kbo_ip;first_kbo_war;first_kbo_era;first_kbo_k_bb_pct;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,0,0.022457907728880077,-0.03662120103447774,-0.05321156190303603,-1.7465342295369823,0.20863530882265152,-0.46812667225892796,-0.5561154788717684,-0.6080166760586128,-0.4046915753890342,8,0.06258415010115581,-0.13994071770369287,0.011475397903958807,0.0647570356608141,-0.5478212917152059,-0.4492902442029291,-0.16637261165931652,6,-0.3194746137169608,-0.33604007611704356,0.01733053945631496,-0.27018059260081007,-0.40869854469945177,-0.2634126575355903,5,-0.38713319821038894,-0.15651327904966542,-0.09733878040538675,0.0,0.0,-0.10201981226254803,0.023973773358225467,0.0,-0.5793241220216576,0.0,-0.12983554185914215,10,-1.8352298652856813,-0.8883304354864962,,,,-1.3617801503860887,2,outcome_archetype_with_prearrival_fingerprint,layer2_archetype_research_only_no_candidate_release,False,False,False,False
2023,토마스파노니,토마스 파노니,Thomas Edward Pannone Jr,KIA,starter,pitcher,4,True,True,0,0,0,,82.33333333333333,1.765471942708966,,4.26,0.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,2,pitcher_failure_replacement_or_health_risk,first_kbo_ip;first_kbo_war;first_kbo_era;first_kbo_k_bb_pct;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,outcome_archetype_label_only_no_prearrival_features,layer2_archetype_research_only_no_candidate_release,False,False,False,False
2023,앤서니알포드,앤서니 알포드,Anthony Alford,KT,hitter,hitter,4,True,True,1,0,0,547.0,,3.9759349822998047,123.47000122070312,,0.0,0,0,0,True,True,exact_variant,1.0,anthony alford,546990.0,2022,1.0,2022.0,4.0,15.0,,,,,,,0.5,0.0,,,,0.3333333333333333,0.6,,,,0.0,0.0,,,,,,,,0.0,0.225,0.6,0.6,0.6666666666666666,0.0,0.0,,0.068,,,,,True,hitting,19.0,2022.0,5.0,100.0,4.0,0.0,321.0,23.0,0.9658037383177568,0.3859626168224299,0.5798411214953271,0.3364485981308411,0.1401869158878504,,,,,,,,,True,savant_and_milb,0,hitter_everyday_middle_order_anchor,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year,-0.25840098339351286,-1.5865144752673794,-0.7928557996273914,-2.1569719265729654,-1.9151948990833676,-2.4737310525495997,,,,-1.5306115227490362,6,-1.4349906699520427,-1.0906420112513502,-0.9347153263840166,-2.7025896071656383,-1.5872625367110238,-1.6632203657412594,-0.7575122757181104,-1.4529903989890631,7,1.1265213835115482,0.814970401291776,1.034327722844733,0.261519768340283,0.8128809263200211,-2.249745697808162,0.30007908408336664,6,-1.3339459376998315,2.139072287722142,,2.097617696340303,-0.31146254583606287,0.6478203751316377,4,,,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,outcome_archetype_with_prearrival_fingerprint,layer2_archetype_research_only_no_candidate_release,False,False,False,False
2023,보슐서,보 슐서,Beau Grayson Sulser,KT,starter,pitcher,4,True,True,0,0,1,,49.666666666666664,0.3451239033690224,,5.62,0.0,1,0,1,True,True,exact_variant,1.0,"Sulser, Beau",676641.0,2022,1.0,2022.0,99.0,367.0,10.0,0.0,0.0,0.0,0.0,0.101010101010101,0.1919191919191919,0.0303030303030302,0.3809278350515464,0.3174761666692782,0.4645714285714286,0.1758241758241758,0.3246073298429318,0.4604904632152589,0.6565656565656566,0.0653950953678474,0.3714285714285714,0.0571428571428571,0.0,0.0,0.43,0.4432692307692308,0.482258064516129,,,,,,,,,,,,,,,,True,pitching,6.0,2022.0,4.0,100.0,4.0,0.0,,,,,,0.2098298676748582,0.0765595463137996,236.0,66.0,36.0,8.466101694915254,3.0889830508474576,1.1822033898305084,4.918983050847458,1.5201977401129942,True,savant_and_milb,3,pitcher_failure_replacement_or_health_risk,first_kbo_ip;first_kbo_war;first_kbo_era;first_kbo_k_bb_pct;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,0,-0.1568478868444339,1.3671164719419457,0.9698354143080792,0.21941936214840563,0.6492494190363336,-0.34042209641856835,-0.5521755300849369,-0.6175138474305221,0.1923326633320379,8,-0.1408143377276007,0.9633855936654256,-0.3997752693378611,-0.8838025092932502,0.08718016255252736,0.2740804648538424,-0.01662431588115278,6,0.4385422951467089,-0.239990556229958,0.9247826766818046,0.0,-0.07344971635842062,0.20997693984802696,5,-0.38713319821038894,-0.15651327904966542,-0.09733878040538675,0.0,0.0,0.50714196530513,0.43152792044805843,1.1684897139230321,-0.5793241220216576,1.209415795813904,0.20962660158030255,10,-1.2277001037138284,-1.3735994868239154,,-1.2746921870357053,,-1.2919972591911497,3,outcome_archetype_with_prearrival_fingerprint,layer2_archetype_research_only_no_candidate_release,False,False,False,False
2023,웨스벤자민,웨스 벤자민,Wes Benjamin,KT,starter,pitcher,4,True,True,1,0,0,,160.0,3.1433074588978807,,3.54,1.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,1,pitcher_load_bearing_rotation_anchor,first_kbo_ip;first_kbo_war;first_kbo_era;first_kbo_k_bb_pct;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,outcome_archetype_label_only_no_prearrival_features,layer2_archetype_research_only_no_candidate_release,False,False,False,False
2023,윌리엄쿠에바스,윌리엄 쿠에바스,William Enrique Cuevas Osorio,KT,starter,pitcher,4,True,True,1,1,0,,114.33333333333331,4.672736560080278,,2.6,1.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,1,pitcher_load_bearing_rotation_anchor,first_kbo_ip;first_kbo_war;first_kbo_era;first_kbo_k_bb_pct;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,outcome_archetype_label_only_no_prearrival_features,layer2_archetype_research_only_no_candidate_release,False,False,False,False
2023,오스틴딘,오스틴 딘,Austin James Dean,LG,hitter,hitter,4,True,True,1,1,0,583.0,,5.129427433013916,153.89199829101562,,1.0,0,0,0,True,True,exact_variant,1.0,austin dean,621573.0,2022,1.0,2022.0,9.0,38.0,,,,,,,0.0,0.0,,,,0.0625,0.2608695652173913,,,,0.25,0.0,,,,,,,,0.1111111111111111,0.4777777777777776,0.6666666666666666,0.3,0.1666666666666666,0.125,0.125,0.0,0.27825,,0.3013333333333333,,,True,hitting,14.0,2022.0,3.0,100.0,2.0,0.0,506.0,19.0,0.8135652173913043,0.3480118577075098,0.4655533596837945,0.2292490118577075,0.0928853754940711,,,,,,,,,True,savant_and_milb,0,hitter_everyday_middle_order_anchor,first_kbo_pa;first_kbo_war;first_kbo_wrc_plus;in_season_replaced;injury_exit_flag;performance_exit_flag;renewed_next_year,1.6043756337369237,-0.4778849555986456,-0.7928557996273914,-1.2154914143255908,-1.4117457726765126,-0.27286182477218796,,-0.3825127185311861,,-0.42128240739922723,7,1.1403231062206833,1.6372224187375921,2.1158378006101866,0.7057353651077379,0.35933920598961794,1.0524699900218608,-0.2695307882469065,0.9630567283486817,7,0.005761462046132779,-0.19280647046726213,-0.05374895848134765,0.029057752037809224,-0.48298612266787583,-0.02235739793482975,-0.11951328924456221,6,-1.3339459376998315,0.7130240959073807,,0.0,-0.010571835759448608,-0.15787341938797486,4,,,0,,,,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,0,outcome_archetype_with_prearrival_fingerprint,layer2_archetype_research_only_no_candidate_release,False,False,False,False
