role_model_family,signal_type,rule,target,support_rows,total_role_rows,support_share,target_rate_inside_rule,role_base_target_rate,rate_delta_vs_role_base,lift_vs_role_base,permutation_p_value,signal_direction,semantic_alignment,rule_gate,release_policy,candidate_release_allowed,abs_rate_delta
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_contact_discipline_floor=low_bottom_tercile,failure,5,22,0.22727272727272727,0.0,0.36363636363636365,-0.36363636363636365,0.0,0.10778443113772455,risk_suppression,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,layer2_archetype_research_only_no_candidate_release,False,0.36363636363636365
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,failure,5,22,0.22727272727272727,0.0,0.36363636363636365,-0.36363636363636365,0.0,0.1317365269461078,risk_suppression,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,layer2_archetype_research_only_no_candidate_release,False,0.36363636363636365
hitter,single_family,hitter_quality_of_contact=low_bottom_tercile,failure,9,22,0.4090909090909091,0.1111111111111111,0.36363636363636365,-0.25252525252525254,0.3055555555555555,0.06187624750499002,risk_suppression,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,layer2_archetype_research_only_no_candidate_release,False,0.25252525252525254
hitter,single_family,hitter_contact_discipline_floor=low_bottom_tercile,failure,8,22,0.36363636363636365,0.125,0.36363636363636365,-0.23863636363636365,0.34375,0.14570858283433133,risk_suppression,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,layer2_archetype_research_only_no_candidate_release,False,0.23863636363636365
hitter,single_family,hitter_milb_surface_power=low_bottom_tercile,failure,7,22,0.3181818181818182,0.14285714285714285,0.36363636363636365,-0.2207792207792208,0.39285714285714285,0.16766467065868262,risk_suppression,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,layer2_archetype_research_only_no_candidate_release,False,0.2207792207792208
hitter,single_family,hitter_ssg_pilot_screen=low_bottom_tercile,failure,4,22,0.18181818181818182,0.0,0.36363636363636365,-0.36363636363636365,0.0,0.2554890219560878,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.36363636363636365
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,failure,4,22,0.18181818181818182,0.0,0.36363636363636365,-0.36363636363636365,0.0,0.27944111776447106,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.36363636363636365
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,failure,4,22,0.18181818181818182,0.0,0.36363636363636365,-0.36363636363636365,0.0,0.22954091816367264,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.36363636363636365
hitter,two_family_interaction,hitter_contact_discipline_floor=high_top_tercile AND hitter_milb_surface_power=high_top_tercile,failure,4,22,0.18181818181818182,0.5,0.36363636363636365,0.13636363636363635,1.375,0.6007984031936128,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.13636363636363635
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,failure,4,22,0.18181818181818182,0.25,0.36363636363636365,-0.11363636363636365,0.6875,1.0,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.11363636363636365
hitter,single_family,hitter_track_continuity=low_bottom_tercile,failure,7,22,0.3181818181818182,0.2857142857142857,0.36363636363636365,-0.07792207792207795,0.7857142857142857,0.6726546906187625,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.07792207792207795
hitter,single_family,hitter_quality_of_contact=high_top_tercile,failure,7,22,0.3181818181818182,0.42857142857142855,0.36363636363636365,0.0649350649350649,1.1785714285714284,1.0,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.0649350649350649
hitter,single_family,hitter_contact_discipline_floor=high_top_tercile,failure,7,22,0.3181818181818182,0.42857142857142855,0.36363636363636365,0.0649350649350649,1.1785714285714284,1.0,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.0649350649350649
hitter,single_family,hitter_milb_surface_power=high_top_tercile,failure,7,22,0.3181818181818182,0.42857142857142855,0.36363636363636365,0.0649350649350649,1.1785714285714284,1.0,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.0649350649350649
hitter,single_family,hitter_track_continuity=high_top_tercile,failure,7,22,0.3181818181818182,0.42857142857142855,0.36363636363636365,0.0649350649350649,1.1785714285714284,1.0,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.0649350649350649
hitter,single_family,hitter_quality_of_contact=low_bottom_tercile,in_season_replaced,9,22,0.4090909090909091,0.0,0.22727272727272727,-0.22727272727272727,0.0,0.0499001996007984,risk_suppression,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,layer2_archetype_research_only_no_candidate_release,False,0.22727272727272727
hitter,single_family,hitter_contact_discipline_floor=low_bottom_tercile,in_season_replaced,8,22,0.36363636363636365,0.0,0.22727272727272727,-0.22727272727272727,0.0,0.10978043912175649,risk_suppression,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,layer2_archetype_research_only_no_candidate_release,False,0.22727272727272727
hitter,two_family_interaction,hitter_contact_discipline_floor=high_top_tercile AND hitter_milb_surface_power=high_top_tercile,in_season_replaced,4,22,0.18181818181818182,0.5,0.22727272727272727,0.2727272727272727,2.2,0.23552894211576847,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.2727272727272727
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_contact_discipline_floor=low_bottom_tercile,in_season_replaced,5,22,0.22727272727272727,0.0,0.22727272727272727,-0.22727272727272727,0.0,0.2834331337325349,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.22727272727272727
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,in_season_replaced,5,22,0.22727272727272727,0.0,0.22727272727272727,-0.22727272727272727,0.0,0.2894211576846307,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.22727272727272727
hitter,single_family,hitter_ssg_pilot_screen=low_bottom_tercile,in_season_replaced,4,22,0.18181818181818182,0.0,0.22727272727272727,-0.22727272727272727,0.0,0.5469061876247505,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.22727272727272727
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,in_season_replaced,4,22,0.18181818181818182,0.0,0.22727272727272727,-0.22727272727272727,0.0,0.5748502994011976,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.22727272727272727
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,in_season_replaced,4,22,0.18181818181818182,0.0,0.22727272727272727,-0.22727272727272727,0.0,0.5289421157684631,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.22727272727272727
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,in_season_replaced,4,22,0.18181818181818182,0.0,0.22727272727272727,-0.22727272727272727,0.0,0.5369261477045908,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.22727272727272727
hitter,single_family,hitter_contact_discipline_floor=high_top_tercile,in_season_replaced,7,22,0.3181818181818182,0.42857142857142855,0.22727272727272727,0.20129870129870128,1.8857142857142857,0.313373253493014,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.20129870129870128
hitter,single_family,hitter_milb_surface_power=high_top_tercile,in_season_replaced,7,22,0.3181818181818182,0.42857142857142855,0.22727272727272727,0.20129870129870128,1.8857142857142857,0.27944111776447106,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.20129870129870128
hitter,single_family,hitter_milb_surface_power=low_bottom_tercile,in_season_replaced,7,22,0.3181818181818182,0.14285714285714285,0.22727272727272727,-0.08441558441558442,0.6285714285714286,0.6427145708582834,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.08441558441558442
