player_name_ko,season,kbo_team,role_group,archetype,first_kbo_war,first_kbo_wrc_plus,first_kbo_era,first_kbo_k_bb_pct,success,strong_success,failure,in_season_replaced,renewed_next_year,injury_exit_flag,performance_exit_flag
소크라테스 브리토,2023,KIA,hitter,B_solid,4.003747940063477,124.95099639892578,,0.0460526315789473,1.0,1.0,0.0,0,1.0,0,0
마리오 산체스,2023,KIA,starter,C_risky,0.1339933136739961,,5.94,,0.0,0.0,1.0,0,0.0,0,0
숀 앤더슨,2023,KIA,starter,B_solid_contributor,1.3281492839414129,,3.76,,0.0,0.0,1.0,1,0.0,0,1
아도니스 메디나,2023,KIA,starter,D_replaced_blowup,0.058467914097147,,6.05,,0.0,0.0,1.0,1,0.0,0,1
토마스 파노니,2023,KIA,starter,B_solid_contributor,1.765471942708966,,4.26,,0.0,0.0,0.0,0,0.0,0,0
앤서니 알포드,2023,KT,hitter,B_solid,3.9759349822998047,123.47000122070312,,0.170018281535649,1.0,0.0,0.0,0,0.0,0,0
보 슐서,2023,KT,starter,C_replaced_marginal,0.3451239033690224,,5.62,,0.0,0.0,1.0,1,0.0,0,1
웨스 벤자민,2023,KT,starter,B_solid_contributor,3.1433074588978807,,3.54,,1.0,0.0,0.0,0,1.0,0,0
윌리엄 쿠에바스,2023,KT,starter,A_ace_translation,4.672736560080278,,2.6,,1.0,1.0,0.0,0,1.0,0,0
오스틴 딘,2023,LG,hitter,A_dominant,5.129427433013916,153.89199829101562,,0.0377358490566037,1.0,1.0,0.0,0,1.0,0,0
아담 플럿코,2023,LG,starter,A_ace_translation,4.443898154050806,,2.41,,1.0,0.0,0.0,0,0.0,0,0
케이시 켈리,2023,LG,starter,B_solid_contributor,3.3683585531384805,,3.83,,1.0,0.0,0.0,0,0.0,0,0
제이슨 마틴,2023,NC,hitter,B_solid,3.5465073585510254,125.48999786376952,,0.099403578528827,1.0,0.0,0.0,0,0.0,0,0
에릭 페디,2023,NC,starter,A_ace_translation,7.631768488486962,,2.0,,1.0,1.0,0.0,0,0.0,0,0
태너 털리,2023,NC,starter,B_solid_contributor,1.8124392990837603,,2.92,,0.0,0.0,1.0,0,0.0,0,0
기예르모 에레디아,2023,SSG,hitter,B_solid,3.948648452758789,135.85499572753906,,0.0688336520076481,1.0,1.0,0.0,0,1.0,0,0
로에니스 엘리아스,2023,SSG,starter,B_solid_contributor,2.9161509111133435,,3.7,,1.0,0.0,0.0,0,1.0,0,0
커크 맥카티,2023,SSG,starter,B_solid_contributor,2.8665549667166377,,3.39,,1.0,0.0,0.0,0,0.0,0,0
호세 로하스,2023,두산,hitter,B_solid,2.5899457931518555,133.47900390625,,0.0280172413793103,1.0,0.0,0.0,0,0.0,0,0
딜런 파일,2023,두산,starter,D_replaced_blowup,-0.0455230920713838,,8.0,,0.0,0.0,1.0,1,0.0,1,0
라울 알칸타라,2023,두산,starter,A_ace_translation,5.360761910681514,,2.67,,1.0,1.0,0.0,0,0.0,0,0
브랜던 워델,2023,두산,starter,B_solid_contributor,3.3043802587696893,,2.49,,1.0,0.0,0.0,0,1.0,0,0
니코 구드럼,2023,롯데,hitter,D_failure,0.4046840369701385,115.03800201416016,,0.1144278606965174,0.0,0.0,1.0,0,0.0,0,0
잭 렉스,2023,롯데,hitter,C_replaced_poor,0.1275708228349685,88.53040313720703,,,0.0,0.0,1.0,1,0.0,1,0
댄 스트레일리,2023,롯데,starter,B_solid_contributor,1.383691539182602,,4.37,,0.0,0.0,1.0,1,0.0,0,1
애런 윌커슨,2023,롯데,starter,B_solid_contributor,2.6006923799920387,,2.26,,1.0,0.0,0.0,0,1.0,0,0
찰리 반즈,2023,롯데,starter,A_ace_translation,4.848692380806146,,3.28,,1.0,1.0,0.0,0,1.0,0,0
호세 피렐라,2023,삼성,hitter,C_marginal,0.6626286506652832,107.88999938964844,,0.0446280991735537,0.0,0.0,0.0,0,0.0,0,0
데이비드 뷰캐넌,2023,삼성,starter,A_ace_translation,5.569783352978143,,2.54,,1.0,1.0,0.0,0,0.0,0,0
앨버트 수아레즈,2023,삼성,starter,B_solid_contributor,2.198985971289452,,3.92,,0.0,0.0,1.0,1,0.0,1,0
테일러 와이드너,2023,삼성,starter,B_solid_contributor,0.7817445393451516,,4.5600000000000005,,0.0,0.0,1.0,0,0.0,0,0
로니 도슨,2023,키움,hitter,C_marginal,1.766088843345642,147.02200317382812,,0.0881226053639846,1.0,0.0,0.0,0,1.0,0,0
에디슨 러셀,2023,키움,hitter,C_marginal,1.0204066038131714,106.44100189208984,,,0.0,0.0,1.0,1,0.0,1,0
아리엘 후라도,2023,키움,starter,A_ace_translation,5.876200112803231,,2.65,,1.0,1.0,0.0,0,1.0,0,0
에릭 요키시,2023,키움,starter,B_solid_contributor,0.658504609431179,,4.39,,0.0,0.0,1.0,1,1.0,1,0
이언 매키니,2023,키움,starter,D_era_blowup,-0.2654385508946237,,6.52,,0.0,0.0,1.0,0,0.0,0,0
닉 윌리엄스,2023,한화,hitter,D_failure,-0.5914393663406372,78.50509643554688,,0.2014652014652014,0.0,0.0,1.0,0,0.0,0,0
