season,role_group,rows,outcome_rows,released_rows,success_rate,strong_success_rate,failure_rate,avg_source_confidence
2017,hitter,9,0,0,0.6666666666666666,0.0,0.0,2.0
2017,starter,20,0,0,0.5,0.0,0.0,2.0
2017,unknown,8,0,8,0.0,0.0,1.0,4.0
2018,hitter,9,0,0,0.5555555555555556,0.0,0.0,2.0
2018,starter,19,0,0,0.3684210526315789,0.0,0.0,2.0
2018,unknown,6,0,6,0.0,0.0,1.0,4.0
2019,hitter,11,0,0,0.36363636363636365,0.0,0.0,2.0
2019,starter,19,0,0,0.42105263157894735,0.0,0.0,2.0
2019,unknown,9,0,9,0.0,0.0,1.0,4.0
2020,hitter,11,0,0,0.45454545454545453,0.0,0.0,2.0
2020,starter,18,0,0,0.3888888888888889,0.0,0.0,2.0
2020,unknown,5,0,5,0.0,0.0,1.0,4.0
2021,hitter,10,0,0,0.2,0.0,0.0,2.0
2021,starter,19,0,0,0.3684210526315789,0.0,0.0,2.0
2021,unknown,9,0,9,0.0,0.0,1.0,4.0
2022,hitter,9,0,0,0.3333333333333333,0.0,0.0,2.0
2022,starter,20,0,0,0.4,0.0,0.0,2.0
2022,unknown,13,0,13,0.0,0.0,1.0,4.0
2023,hitter,13,13,3,0.5384615384615384,0.23076923076923078,0.38461538461538464,4.0
2023,starter,28,28,8,0.5357142857142857,0.21428571428571427,0.42857142857142855,4.0
2023,unknown,1,0,1,0.0,0.0,1.0,4.0
2024,hitter,13,13,3,0.6923076923076923,0.38461538461538464,0.3076923076923077,4.0
2024,starter,30,30,10,0.4666666666666667,0.3,0.4666666666666667,4.0
2025,hitter,16,16,6,0.4375,0.3125,0.5,4.0
2025,starter,28,28,8,0.6071428571428571,0.32142857142857145,0.39285714285714285,4.0
