player_key,season,player_name,player_name_ko,player_name_statiz,player_name_en,arrival_season,kbo_team,kbo_team_raw,role_group,role_ko,template_status,release_note,pre_arrival_primary_league,pre_arrival_level,age_at_arrival,bats,throws,position_or_role,source_player_id,first_kbo_pa,first_kbo_ip,first_kbo_war,first_kbo_wrc_plus,first_kbo_era,first_kbo_k_bb_pct,renewed_next_year,in_season_replaced,injury_exit_flag,performance_exit_flag,temporary_foreign_flag,outcome_available,label_available,success,strong_success,failure,statiz_matched,source_confidence_1_5,coverage_gap,source,target_only_columns,accessed_at
로저버나디나,2017,로저 버나디나,로저 버나디나,,,2017,KIA,KIA 타이거즈,hitter,야수,listed,,,,,,,야수,,,,,,,,1.0,0,0,0,0,False,True,1.0,0.0,0.0,False,2,no local STATIZ season outcome attached yet,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00
엑토르노에시,2017,엑토르 노에시,엑토르 노에시,,,2017,KIA,KIA 타이거즈,starter,투수,listed,,,,,,,투수,,,,,,,,1.0,0,0,0,0,False,True,1.0,0.0,0.0,False,2,no local STATIZ season outcome attached yet,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00
팻딘,2017,팻 딘,팻 딘,,,2017,KIA,KIA 타이거즈,starter,투수,listed,,,,,,,투수,,,,,,,,1.0,0,0,0,0,False,True,1.0,0.0,0.0,False,2,no local STATIZ season outcome attached yet,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00
멜로하스주니어,2017,멜 로하스 주니어,멜 로하스 주니어,,,2017,KT,kt wiz,hitter,야수,listed,,,,,,,야수,,,,,,,,1.0,0,0,0,0,False,True,1.0,0.0,0.0,False,2,no local STATIZ season outcome attached yet,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00
돈로치,2017,돈 로치,돈 로치,,,2017,KT,kt wiz,starter,투수,listed,,,,,,,투수,,,,,,,,0.0,0,0,0,0,False,True,0.0,0.0,0.0,False,2,no local STATIZ season outcome attached yet,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00
라이언피어밴드,2017,라이언 피어밴드,라이언 피어밴드,,,2017,KT,kt wiz,starter,투수,listed,,,,,,,투수,,,,,,,,1.0,0,0,0,0,False,True,1.0,0.0,0.0,False,2,no local STATIZ season outcome attached yet,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00
조니모넬,2017,조니 모넬,조니 모넬,,,2017,KT,KT,unknown,,released,"성적 부진, KT",,,,,,,,,,,,,,0.0,1,0,1,0,False,True,0.0,0.0,1.0,False,4,no local STATIZ season outcome attached yet,ko_wiki_foreign_player_template_release_row,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00
데이비드허프,2017,데이비드 허프,데이비드 허프,,,2017,LG,LG 트윈스,starter,투수,listed,,,,,,,투수,,,,,,,,0.0,0,0,0,0,False,True,0.0,0.0,0.0,False,2,no local STATIZ season outcome attached yet,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00
헨리소사,2017,헨리 소사,헨리 소사,,,2017,LG,LG 트윈스,starter,투수,listed,,,,,,,투수,,,,,,,,1.0,0,0,0,0,False,True,1.0,0.0,0.0,False,2,no local STATIZ season outcome attached yet,ko_wiki_foreign_player_template,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00
루이스히메네스,2017,루이스 히메네스,루이스 히메네스,,,2017,LG,LG,unknown,,released,"성적 부진 및 발목 부상, LG",,,,,,,,,,,,,,0.0,1,1,1,0,False,True,0.0,0.0,1.0,False,4,no local STATIZ season outcome attached yet,ko_wiki_foreign_player_template_release_row,first_kbo_pa;first_kbo_ip;first_kbo_war;first_kbo_wrc_plus;first_kbo_era;first_kbo_k_bb_pct;renewed_next_year;in_season_replaced;injury_exit_flag;performance_exit_flag;temporary_foreign_flag;success;strong_success;failure,2026-06-12T07:54:00.241530+00:00
