year,t_code,t_code_name,split_value,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,split_type,pa_rank,r_rank,rbi_rank,hr_rank,avg_rank,obp_rank,slg_rank,ops_rank,iso_rank,bb_pct_rank,k_pct_rank,team_count_in_split
2023,11001,NC,1-2_table_setters,144,22,1361.0,1217,384,63,8,13,102,21,8,174,502,198,139.0,43.0,0.3155299917830731,0.37611275964391694,0.41248972884141333,0.7886024884853302,0.09695973705834021,0.07494489346069066,0.1278471711976488,lineup_group,4.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,10.0,2.0,10
2023,5002,LG,1-2_table_setters,144,19,1369.0,1159,342,55,6,5,151,24,9,161,424,204,129.0,59.0,0.29508196721311475,0.3849590469099032,0.365832614322692,0.7507916612325951,0.07075064710957724,0.11029948867786706,0.11760409057706354,lineup_group,2.0,1.0,4.0,10.0,2.0,1.0,5.0,2.0,8.0,1.0,1.0,10
2023,2002,KIA,1-2_table_setters,144,20,1355.0,1211,350,56,12,13,115,8,8,209,469,201,131.0,55.0,0.28901734104046245,0.3524590163934426,0.3872832369942196,0.7397422533876623,0.09826589595375718,0.08487084870848709,0.15424354243542435,lineup_group,7.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,8.0,7.0,10
2023,10001,키움,1-2_table_setters,144,31,1384.0,1227,341,61,10,10,123,13,10,239,452,199,107.0,28.0,0.27791361043194784,0.34741442097596503,0.36837815810920943,0.7157925790851745,0.09046454767726159,0.0888728323699422,0.1726878612716763,lineup_group,1.0,3.0,8.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,8.0,10
2023,9002,SSG,1-2_table_setters,144,21,1359.0,1198,302,57,8,23,124,18,7,200,444,183,97.0,34.0,0.25208681135225375,0.32962138084632514,0.37061769616026713,0.7002390770065923,0.11853088480801338,0.09124356144223694,0.14716703458425312,lineup_group,6.0,5.0,9.0,1.0,7.0,8.0,3.0,5.0,1.0,5.0,4.0,10
2023,12001,KT,1-2_table_setters,144,25,1361.0,1201,324,54,4,12,126,9,10,203,422,183,124.0,26.0,0.2697751873438801,0.3410104011887073,0.3513738551207327,0.69238425630944,0.0815986677768526,0.09257898603967671,0.14915503306392358,lineup_group,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,4.0,6.0,10
2023,1001,삼성,1-2_table_setters,144,25,1348.0,1185,327,44,9,7,110,21,10,201,410,181,114.0,38.0,0.2759493670886076,0.3453996983408748,0.3459915611814346,0.6913912595223094,0.07004219409282697,0.08160237388724036,0.14910979228486648,lineup_group,9.0,7.0,6.0,9.0,5.0,5.0,7.0,7.0,9.0,9.0,5.0,10
2023,6002,두산,1-2_table_setters,144,22,1337.0,1147,288,38,15,12,132,22,9,171,392,162,93.0,51.0,0.25108979947689625,0.3374045801526718,0.34176111595466435,0.6791656961073361,0.0906713164777681,0.0987284966342558,0.12789827973074047,lineup_group,10.0,8.0,10.0,5.0,8.0,7.0,8.0,8.0,5.0,3.0,3.0,10
2023,7002,한화,1-2_table_setters,144,22,1363.0,1179,279,53,4,17,145,13,13,298,391,155,130.0,16.0,0.2366412213740458,0.3237037037037037,0.33163698049194235,0.6553406841956461,0.09499575911789654,0.10638297872340426,0.2186353631694791,lineup_group,3.0,9.0,3.0,2.0,10.0,9.0,9.0,9.0,4.0,2.0,10.0,10
2023,3001,롯데,1-2_table_setters,144,26,1349.0,1187,297,48,4,9,118,7,12,248,380,154,112.0,35.0,0.2502106149957877,0.3187311178247734,0.3201347935973041,0.6388659114220776,0.06992417860151645,0.08747220163083766,0.18383988139362492,lineup_group,8.0,10.0,7.0,8.0,9.0,10.0,10.0,10.0,10.0,7.0,9.0,10
2023,2002,KIA,3-5_run_production,144,24,1918.0,1681,495,89,5,55,199,14,19,291,759,278,297.0,25.0,0.2944675788221297,0.3700993204391009,0.4515169541939322,0.8216162746330331,0.15704937537180247,0.10375391032325339,0.15172054223149115,lineup_group,7.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,10
2023,9002,SSG,3-5_run_production,144,24,1923.0,1690,477,94,3,61,173,32,17,328,760,245,272.0,26.0,0.2822485207100592,0.35669456066945604,0.44970414201183434,0.8063987026812904,0.16745562130177516,0.08996359854394176,0.1705668226729069,lineup_group,4.0,3.0,5.0,2.0,5.0,4.0,2.0,2.0,1.0,10.0,6.0,10
2023,5002,LG,3-5_run_production,144,22,1946.0,1689,477,86,10,41,211,13,22,262,706,254,277.0,39.0,0.2824156305506217,0.36227390180878555,0.41799881586737714,0.7802727176761627,0.13558318531675545,0.10842754367934224,0.13463514902363824,lineup_group,2.0,2.0,2.0,8.0,4.0,2.0,5.0,3.0,8.0,1.0,1.0,10
2023,11001,NC,3-5_run_production,144,21,1922.0,1650,458,87,9,42,204,25,30,346,689,217,275.0,35.0,0.2775757575757576,0.35987427972760605,0.4175757575757576,0.7774500373033637,0.14,0.10613943808532779,0.18002081165452655,lineup_group,6.0,7.0,3.0,7.0,6.0,3.0,6.0,4.0,6.0,2.0,7.0,10
