year,t_code,t_code_name,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,war,war_off,war_def,avg,obp,slg,ops,iso,k_pct,bb_pct,wrc_plus_pa_weighted,source_team_count,coverage_status,ops_rank,slg_rank,iso_rank,hr_rank,war_rank,war_off_rank,wrc_plus_pa_weighted_rank,bb_pct_rank
2023,2002,KIA,8,1981,1770,515,95,7,55,168,10,19,353,789,271,290,35,12.26608818769455,11.307482,0.9586097039282322,0.2909604519774011,0.35231316725978645,0.4457627118644068,0.7980758791241933,0.1548022598870057,0.17819283190307925,0.08480565371024736,124.79449214675341,10,rankable,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0
2023,11001,NC,9,1901,1640,455,90,5,45,195,25,27,373,690,219,278,38,10.176316351629794,10.014020899999998,0.1623038938269017,0.2774390243902439,0.35771065182829886,0.42073170731707316,0.778442359145372,0.14329268292682923,0.19621251972645976,0.10257759074171488,118.63864509987869,10,rankable,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
2023,5002,LG,9,1943,1642,484,79,8,13,217,37,14,248,618,296,206,86,13.709973599761724,11.536926999999999,2.173040699213743,0.29476248477466505,0.3863874345549738,0.3763702801461632,0.7627577147011371,0.08160779537149815,0.1276376737004632,0.1116829644879053,126.37836381006167,10,rankable,3.0,5.0,9.0,9.0,1.0,1.0,1.0,1.0
2023,1001,삼성,12,2362,2129,600,100,15,39,170,25,17,384,847,289,271,49,6.711221411824226,7.6532661,-0.9420443754643197,0.28182245185533117,0.3395984621956429,0.39783936120244245,0.7374378233980854,0.11601690934711129,0.16257408975444537,0.07197290431837426,102.63298723800621,10,rankable,4.0,3.0,4.0,4.0,6.0,6.0,4.0,10.0
2023,9002,SSG,11,2336,2077,573,96,13,40,174,38,21,398,815,280,255,70,8.866524118930101,9.2818009,-0.4152779094874858,0.2758786711603274,0.3398268398268398,0.3923928743379875,0.7322197141648272,0.11651420317766009,0.1703767123287671,0.07448630136986302,101.99036713536472,10,rankable,5.0,4.0,3.0,3.0,5.0,4.0,5.0,9.0
2023,12001,KT,11,2147,1897,523,86,8,28,200,15,16,427,709,302,212,60,9.576979510486126,8.039064999999999,1.537912329658866,0.275698471270427,0.3468045112781955,0.37374802319451766,0.7205525344727132,0.09804955192409065,0.19888216115510013,0.09315323707498836,99.02203399389913,10,rankable,6.0,6.0,8.0,7.0,4.0,5.0,8.0,4.0
2023,10001,키움,16,2538,2223,589,107,17,31,228,40,27,518,823,285,263,26,6.3042343482375145,7.36735624,-1.0631148302927613,0.26495726495726496,0.3403494837172359,0.3702204228520018,0.7105699065692377,0.10526315789473684,0.2040977147360126,0.08983451536643026,101.41350525509569,10,rankable,7.0,7.0,6.0,6.0,7.0,7.0,7.0,5.0
2023,6002,두산,11,2268,1965,486,75,20,34,251,22,9,390,703,266,200,74,6.094752402976155,7.3349971,-1.2402410563081503,0.24732824427480915,0.3377837116154873,0.35776081424936385,0.6955445258648512,0.1104325699745547,0.17195767195767195,0.11067019400352733,101.83130568129256,10,rankable,8.0,8.0,5.0,5.0,8.0,8.0,6.0,2.0
2023,3001,롯데,12,1848,1638,422,64,6,12,147,15,18,349,534,211,168,49,1.4869334590621293,1.0951762,0.39175683679059126,0.2576312576312576,0.32123212321232125,0.326007326007326,0.6472394492196473,0.06837606837606841,0.18885281385281386,0.07954545454545454,77.77173259273752,10,rankable,9.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0
2023,7002,한화,14,2018,1789,417,80,8,28,170,20,20,483,597,229,207,37,0.9280936704017221,1.3810028000000003,-0.45290312310680764,0.23309111235326999,0.3036518259129565,0.33370598099496923,0.6373578069079258,0.10061486864169925,0.23934588701684836,0.08424182358771061,76.33647661119315,10,rankable,10.0,9.0,7.0,7.0,10.0,9.0,10.0,7.0
2024,1001,삼성,12,2375,2059,598,97,9,76,217,49,21,418,941,369,293,76,12.027536762878299,10.5640907,1.4634476806968446,0.2904322486644002,0.36828644501278773,0.4570179698882953,0.8253044149010831,0.1665857212238951,0.176,0.09136842105263158,110.34561957991751,10,rankable,1.0,1.0,2.0,1.0,1.0,1.0,3.0,8.0
2024,3001,롯데,9,1944,1730,536,101,17,33,165,19,19,316,770,339,251,83,9.172777846455574,9.274460000000001,-0.10168641805648826,0.30982658959537573,0.37247801345059495,0.44508670520231214,0.8175647186529071,0.1352601156069364,0.16255144032921812,0.08487654320987655,108.7200596360758,10,rankable,2.0,4.0,7.0,9.0,4.0,3.0,4.0,9.0
2024,12001,KT,11,1935,1677,505,86,7,41,207,15,15,360,728,271,231,20,8.768197782337666,9.18814793,-0.4199520507827403,0.3011329755515802,0.37983281086729365,0.43410852713178294,0.8139413379990765,0.13297555158020274,0.18604651162790697,0.10697674418604651,110.97346735518109,10,rankable,3.0,5.0,8.0,6.0,5.0,4.0,1.0,2.0
2024,2002,KIA,8,1960,1718,496,87,8,59,190,18,21,339,776,286,271,41,8.251309473067522,8.5697622,-0.3184477984905241,0.28870779976717115,0.3615819209039548,0.45168800931315484,0.8132699302171096,0.1629802095459837,0.17295918367346938,0.09693877551020408,110.35015062799259,10,rankable,4.0,3.0,3.0,3.0,6.0,5.0,2.0,5.0
2024,9002,SSG,11,2351,2105,591,119,8,76,180,28,22,470,954,335,333,82,6.367501601576805,7.5437318499999995,-1.1762348436750472,0.2807600950118765,0.34218415417558884,0.4532066508313539,0.7953908050069427,0.17244655581947743,0.1999149298170991,0.07656316461080391,98.92898157493757,10,rankable,5.0,2.0,1.0,1.0,7.0,6.0,8.0,10.0
2024,11001,NC,10,1843,1607,437,74,7,57,177,34,15,351,696,249,258,33,5.226210184395312,6.6376314999999995,-1.4114211723208425,0.2719352831362788,0.353518821603928,0.433105164903547,0.786623986507475,0.1611698817672682,0.19045035268583832,0.09603906673901248,106.58965489350773,10,rankable,6.0,6.0,4.0,4.0,8.0,8.0,6.0,7.0
2024,6002,두산,11,2262,1937,538,94,9,55,237,29,31,447,815,337,269,127,9.431543163955212,9.6913894,-0.2598539013415574,0.27774909654104285,0.35989256938227393,0.4207537429013939,0.7806463122836678,0.14300464636035104,0.1976127320954907,0.10477453580901856,106.0626089170272,10,rankable,7.0,7.0,6.0,5.0,3.0,2.0,7.0,3.0
2024,5002,LG,10,1721,1457,426,54,11,12,203,31,18,269,538,274,189,86,9.586199138313532,7.21395888,2.372241953155026,0.29238160603980784,0.3861907548273844,0.3692518874399451,0.7554426422673295,0.07687028140013724,0.15630447414294016,0.1179546775130738,108.6073666886491,10,rankable,8.0,10.0,10.0,10.0,2.0,7.0,5.0,1.0
2024,7002,한화,10,1599,1404,358,70,5,41,161,16,6,362,561,245,190,32,3.6902563897892833,2.841831,0.848426613025367,0.254985754985755,0.3371140516698173,0.3995726495726496,0.7366867012424669,0.1445868945868946,0.2263914946841776,0.10068792995622264,90.23538244747236,10,rankable,9.0,8.0,5.0,6.0,10.0,10.0,10.0,4.0
2024,10001,키움,12,2115,1859,492,78,9,41,204,33,9,428,711,280,207,19,4.976825792342424,4.5904852,0.38635214045643795,0.26465841850457233,0.34631828978622325,0.38246369015599785,0.728781979942221,0.11780527165142551,0.20236406619385341,0.09645390070921986,96.34382020711335,10,rankable,10.0,9.0,9.0,6.0,9.0,9.0,9.0,6.0
