validation_scheme,feature_family,role_model_family,target,model,folds,source_rows,total_valid_rows,mean_feature_count,median_feature_count,mean_auc,mean_brier,mean_logloss,mean_precision_top_25pct,mean_precision_top_33pct,role_prior_mean_brier,role_prior_precision_top_25pct,role_prior_precision_top_33pct,brier_lift_vs_role_prior,top25_precision_lift_vs_role_prior,top33_precision_lift_vs_role_prior,promotion_status
repeated_stratified_cv,compact_mixed,hitter,failure,role_prior,90,22,660,9.977777777777778,10.0,0.5,0.23526832955404384,0.6638179115398375,0.32222222222222224,0.39629629629629626,0.23526832955404384,0.32222222222222224,0.39629629629629626,0.0,0.0,0.0,baseline
repeated_stratified_cv,milb_damage_command,hitter,failure,role_prior,90,22,660,7.0,7.0,0.5,0.23526832955404384,0.6638179115398375,0.32222222222222224,0.39629629629629626,0.23526832955404384,0.32222222222222224,0.39629629629629626,0.0,0.0,0.0,baseline
repeated_stratified_cv,milb_level_role,hitter,failure,role_prior,90,22,660,5.911111111111111,6.0,0.5,0.23526832955404384,0.6638179115398375,0.32222222222222224,0.39629629629629626,0.23526832955404384,0.32222222222222224,0.39629629629629626,0.0,0.0,0.0,baseline
repeated_stratified_cv,recent_track_continuity,hitter,failure,role_prior,90,22,660,5.0,5.0,0.5,0.23526832955404384,0.6638179115398375,0.32222222222222224,0.39629629629629626,0.23526832955404384,0.32222222222222224,0.39629629629629626,0.0,0.0,0.0,baseline
repeated_stratified_cv,savant_only,hitter,failure,role_prior,90,22,660,17.977777777777778,18.0,0.5,0.23526832955404384,0.6638179115398375,0.32222222222222224,0.39629629629629626,0.23526832955404384,0.32222222222222224,0.39629629629629626,0.0,0.0,0.0,baseline
repeated_stratified_cv,milb_level_role,hitter,failure,sparse_l1_logit,90,22,660,5.911111111111111,6.0,0.4583333333333333,0.2526530117840184,0.6985483556787019,0.2722222222222222,0.3518518518518518,0.23526832955404384,0.32222222222222224,0.39629629629629626,-0.017384682229974552,-0.050000000000000044,-0.04444444444444445,do_not_promote
repeated_stratified_cv,recent_track_continuity,hitter,failure,sparse_l1_logit,90,22,660,5.0,5.0,0.4583333333333333,0.2526530117840184,0.6985483556787019,0.2722222222222222,0.3518518518518518,0.23526832955404384,0.32222222222222224,0.39629629629629626,-0.017384682229974552,-0.050000000000000044,-0.04444444444444445,do_not_promote
repeated_stratified_cv,milb_damage_command,hitter,failure,sparse_l1_logit,90,22,660,7.0,7.0,0.5464814814814815,0.2596496623699498,0.7225008948358832,0.31666666666666665,0.41481481481481475,0.23526832955404384,0.32222222222222224,0.39629629629629626,-0.02438133281590596,-0.005555555555555591,0.01851851851851849,do_not_promote
repeated_stratified_cv,compact_mixed,hitter,failure,sparse_l1_logit,90,22,660,9.977777777777778,10.0,0.517037037037037,0.2657432514766121,0.7359887657374697,0.3611111111111111,0.4296296296296296,0.23526832955404384,0.32222222222222224,0.39629629629629626,-0.03047492192256826,0.03888888888888886,0.033333333333333326,do_not_promote
repeated_stratified_cv,compact_mixed,hitter,failure,ridge_logit,90,22,660,9.977777777777778,10.0,0.6318518518518519,0.26879049246581554,0.823342596748061,0.4388888888888889,0.4777777777777778,0.23526832955404384,0.32222222222222224,0.39629629629629626,-0.03352216291177171,0.11666666666666664,0.08148148148148154,do_not_promote
