feature_family,description,role_model_family,source_rows,usable_feature_count,usable_features,candidate_feature_count,candidate_features
savant_only,"Pre-KBO MLB/Savant quality, approach, command, and contact-management variables only",hitter,22,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba
savant_only,"Pre-KBO MLB/Savant quality, approach, command, and contact-management variables only",pitcher,33,18,pre_pa|pre_pitch|pre_bb_hbp_pct|pre_k_pct|pre_hr_pct|pre_woba_allowed|pre_xwoba_allowed_bbe|pre_xslg_allowed_bbe|pre_whiff_per_swing|pre_chase_rate|pre_zone_rate|pre_first_pitch_nonball_rate|pre_three_ball_pitch_rate|pre_hardhit_rate|pre_barrel_rate|pre_early_1_3_woba_allowed|pre_runner_on_base_woba_allowed|pre_risp_woba_allowed,18,pre_pa|pre_pitch|pre_bb_hbp_pct|pre_k_pct|pre_hr_pct|pre_woba_allowed|pre_xwoba_allowed_bbe|pre_xslg_allowed_bbe|pre_whiff_per_swing|pre_chase_rate|pre_zone_rate|pre_first_pitch_nonball_rate|pre_three_ball_pitch_rate|pre_hardhit_rate|pre_barrel_rate|pre_early_1_3_woba_allowed|pre_runner_on_base_woba_allowed|pre_risp_woba_allowed
milb_level_role,"Pre-KBO MiLB level, recency, AAA/AA exposure, and role/load continuity only",hitter,22,6,pre_kbo_milb_rows|pre_kbo_milb_latest_year|pre_kbo_milb_recent_rows|pre_kbo_aaa_rows|pre_kbo_aa_rows|pre_kbo_milb_pa,8,pre_kbo_milb_rows|pre_kbo_milb_latest_year|pre_kbo_milb_recent_rows|pre_kbo_milb_highest_level_score|pre_kbo_recent_highest_level_score|pre_kbo_aaa_rows|pre_kbo_aa_rows|pre_kbo_milb_pa
milb_level_role,"Pre-KBO MiLB level, recency, AAA/AA exposure, and role/load continuity only",pitcher,49,8,pre_kbo_milb_rows|pre_kbo_milb_latest_year|pre_kbo_milb_recent_rows|pre_kbo_aaa_rows|pre_kbo_aa_rows|pre_kbo_milb_ip|pre_kbo_milb_games|pre_kbo_milb_games_started,10,pre_kbo_milb_rows|pre_kbo_milb_latest_year|pre_kbo_milb_recent_rows|pre_kbo_milb_highest_level_score|pre_kbo_recent_highest_level_score|pre_kbo_aaa_rows|pre_kbo_aa_rows|pre_kbo_milb_ip|pre_kbo_milb_games|pre_kbo_milb_games_started
milb_damage_command,"Pre-KBO MiLB performance translation variables for damage, walks, strikeouts, and traffic",hitter,22,7,pre_kbo_milb_pa|pre_kbo_milb_hr|pre_kbo_milb_ops|pre_kbo_milb_obp|pre_kbo_milb_slg|pre_kbo_milb_k_pct|pre_kbo_milb_bb_pct,7,pre_kbo_milb_pa|pre_kbo_milb_hr|pre_kbo_milb_ops|pre_kbo_milb_obp|pre_kbo_milb_slg|pre_kbo_milb_k_pct|pre_kbo_milb_bb_pct
milb_damage_command,"Pre-KBO MiLB performance translation variables for damage, walks, strikeouts, and traffic",pitcher,49,8,pre_kbo_milb_ip|pre_kbo_milb_games|pre_kbo_milb_games_started|pre_kbo_milb_k9|pre_kbo_milb_bb9|pre_kbo_milb_hr9|pre_kbo_milb_era|pre_kbo_milb_whip,8,pre_kbo_milb_ip|pre_kbo_milb_games|pre_kbo_milb_games_started|pre_kbo_milb_k9|pre_kbo_milb_bb9|pre_kbo_milb_hr9|pre_kbo_milb_era|pre_kbo_milb_whip
recent_track_continuity,"Recent usable track, highest-level proximity, and continuity without detailed skill rates",hitter,22,5,pre_kbo_milb_latest_year|pre_kbo_milb_recent_rows|pre_kbo_milb_rows|pre_kbo_aaa_rows|pre_kbo_milb_pa,7,pre_kbo_milb_latest_year|pre_kbo_milb_recent_rows|pre_kbo_milb_rows|pre_kbo_milb_highest_level_score|pre_kbo_recent_highest_level_score|pre_kbo_aaa_rows|pre_kbo_milb_pa
recent_track_continuity,"Recent usable track, highest-level proximity, and continuity without detailed skill rates",pitcher,49,6,pre_kbo_milb_latest_year|pre_kbo_milb_recent_rows|pre_kbo_milb_rows|pre_kbo_aaa_rows|pre_kbo_milb_ip|pre_kbo_milb_games_started,8,pre_kbo_milb_latest_year|pre_kbo_milb_recent_rows|pre_kbo_milb_rows|pre_kbo_milb_highest_level_score|pre_kbo_recent_highest_level_score|pre_kbo_aaa_rows|pre_kbo_milb_ip|pre_kbo_milb_games_started
compact_mixed,"At-most-ten scout-readable mixed variables combining Savant skill, MiLB rates, and continuity",hitter,22,10,pre_pa|pre_woba|pre_whiff_per_swing|pre_nonfast_whiff_per_swing|pre_hitter_count_xwoba|pre_kbo_milb_pa|pre_kbo_milb_ops|pre_kbo_milb_k_pct|pre_kbo_milb_bb_pct|pre_kbo_milb_latest_year,10,pre_pa|pre_woba|pre_whiff_per_swing|pre_nonfast_whiff_per_swing|pre_hitter_count_xwoba|pre_kbo_milb_pa|pre_kbo_milb_ops|pre_kbo_milb_k_pct|pre_kbo_milb_bb_pct|pre_kbo_milb_latest_year
compact_mixed,"At-most-ten scout-readable mixed variables combining Savant skill, MiLB rates, and continuity",pitcher,49,9,pre_woba_allowed|pre_three_ball_pitch_rate|pre_zone_rate|pre_whiff_per_swing|pre_kbo_milb_k9|pre_kbo_milb_bb9|pre_kbo_milb_hr9|pre_kbo_milb_latest_year|pre_kbo_milb_games_started,10,pre_woba_allowed|pre_three_ball_pitch_rate|pre_zone_rate|pre_whiff_per_swing|pre_kbo_milb_k9|pre_kbo_milb_bb9|pre_kbo_milb_hr9|pre_kbo_milb_latest_year|pre_kbo_milb_games_started|pre_kbo_recent_highest_level_score
