validation_scheme,role_model_family,target,valid_year,fold_id,model,train_rows,valid_rows,feature_count,rows,positive_rate,pred_mean,accuracy_at_0_5,brier,logloss,precision_at_0_5,auc,precision_top_25pct,precision_top_33pct
time_forward_holdout,hitter,success,2024,time_2024,role_prior,13,13,10,13,0.6923076923076923,0.5384615384615384,0.6923076923076923,0.23668639053254442,0.6664701868146106,0.6923076923076923,0.5,1.0,1.0
time_forward_holdout,hitter,success,2024,time_2024,ridge_logit,13,13,10,13,0.6923076923076923,0.6038718436574607,0.46153846153846156,0.3292369087498935,0.9665018015583241,0.625,0.3888888888888889,0.5,0.6
time_forward_holdout,hitter,success,2024,time_2024,balanced_ridge_logit,13,13,10,13,0.6923076923076923,0.5821259819802619,0.46153846153846156,0.3324164744218004,0.9776384199849576,0.625,0.3888888888888889,0.5,0.6
time_forward_holdout,hitter,success,2025,time_2025,role_prior,26,16,30,16,0.4375,0.6153846153846154,0.4375,0.27773668639053256,0.749884857232427,0.4375,0.5,0.5,0.6666666666666666
time_forward_holdout,hitter,success,2025,time_2025,ridge_logit,26,16,30,16,0.4375,0.671855883102273,0.625,0.21590808160402025,0.6896987758688056,0.5384615384615384,0.8333333333333333,0.75,0.8333333333333334
time_forward_holdout,hitter,success,2025,time_2025,balanced_ridge_logit,26,16,30,16,0.4375,0.6072536834246591,0.75,0.18403879617908764,0.6239947214782493,0.6666666666666666,0.8174603174603174,0.75,0.8333333333333334
time_forward_holdout,hitter,success,2025,time_2025,shallow_random_forest,26,16,30,16,0.4375,0.506570678161162,0.375,0.280622934504974,0.758121906604516,0.3333333333333333,0.4761904761904762,0.5,0.5
time_forward_holdout,hitter,failure,2024,time_2024,role_prior,13,13,10,13,0.3076923076923077,0.3846153846153847,0.6923076923076923,0.21893491124260359,0.630124317088081,0.0,0.5,0.0,0.0
time_forward_holdout,hitter,failure,2024,time_2024,ridge_logit,13,13,10,13,0.3076923076923077,0.3229404574586053,0.6153846153846154,0.256908826713924,0.7111098713210885,0.3333333333333333,0.5555555555555556,0.5,0.4
time_forward_holdout,hitter,failure,2024,time_2024,balanced_ridge_logit,13,13,10,13,0.3076923076923077,0.3852174572241218,0.6923076923076923,0.26611509352041807,0.728849712211769,0.5,0.5555555555555556,0.5,0.4
time_forward_holdout,hitter,failure,2025,time_2025,role_prior,26,16,30,16,0.5,0.34615384615384615,0.5,0.27366863905325445,0.7428775773252644,0.0,0.5,0.5,0.3333333333333333
time_forward_holdout,hitter,failure,2025,time_2025,ridge_logit,26,16,30,16,0.5,0.28500449121492977,0.625,0.2968415672801152,0.943128938355753,0.75,0.609375,0.75,0.5
time_forward_holdout,hitter,failure,2025,time_2025,balanced_ridge_logit,26,16,30,16,0.5,0.3357229076018614,0.625,0.27528117446014094,0.834303416920024,0.75,0.6875,0.75,0.5
