validation_scheme,role_model_family,target,model,folds,total_valid_rows,mean_feature_count,mean_auc,mean_brier,mean_logloss,mean_precision_top_25pct,mean_precision_top_33pct,role_prior_mean_brier,role_prior_precision_top_25pct,brier_lift_vs_role_prior,top25_precision_lift_vs_role_prior,promotion_status
time_forward_holdout,hitter,failure,ridge_logit,1,9,19.0,0.7222222222222222,0.20662963124779854,0.6647312730916016,0.6666666666666666,0.6666666666666666,0.22485207100591717,0.3333333333333333,0.01822243975811863,0.3333333333333333,pilot_promote
time_forward_holdout,hitter,failure,balanced_ridge_logit,1,9,19.0,0.7222222222222222,0.21160447961249954,0.6725411900746312,0.6666666666666666,0.6666666666666666,0.22485207100591717,0.3333333333333333,0.013247591393417635,0.3333333333333333,pilot_promote
time_forward_holdout,hitter,failure,role_prior,1,9,19.0,0.5,0.22485207100591717,0.642175692196946,0.3333333333333333,0.3333333333333333,0.22485207100591717,0.3333333333333333,0.0,0.0,baseline
time_forward_holdout,hitter,success,balanced_ridge_logit,1,9,19.0,0.85,0.12483352058053031,0.4397029776015824,0.6666666666666666,0.6666666666666666,0.2504930966469428,0.6666666666666666,0.12565957606641248,0.0,pilot_promote
time_forward_holdout,hitter,success,ridge_logit,1,9,19.0,0.85,0.1274755088062365,0.46650592085078124,0.6666666666666666,0.6666666666666666,0.2504930966469428,0.6666666666666666,0.1230175878407063,0.0,pilot_promote
time_forward_holdout,hitter,success,role_prior,1,9,19.0,0.5,0.2504930966469428,0.6943983176686944,0.6666666666666666,0.6666666666666666,0.2504930966469428,0.6666666666666666,0.0,0.0,baseline
time_forward_holdout,pitcher,failure,balanced_ridge_logit,1,13,26.0,0.5750000000000001,0.25389194317318053,0.7091232251940691,0.5,0.4,0.2830769230769231,0.25,0.02918497990374258,0.25,pilot_promote
time_forward_holdout,pitcher,failure,ridge_logit,1,13,26.0,0.55,0.2628961518746213,0.7294115722918343,0.25,0.4,0.2830769230769231,0.25,0.020180771202301828,0.0,pilot_promote
time_forward_holdout,pitcher,failure,role_prior,1,13,26.0,0.5,0.2830769230769231,0.7603426133710148,0.25,0.4,0.2830769230769231,0.25,0.0,0.0,baseline
time_forward_holdout,pitcher,success,balanced_ridge_logit,1,13,26.0,0.7619047619047618,0.201929546317887,0.5944827478794222,0.75,0.8,0.2840384615384616,0.75,0.08210891522057456,0.0,pilot_promote
time_forward_holdout,pitcher,success,ridge_logit,1,13,26.0,0.738095238095238,0.22997259907175677,0.668221379789724,0.75,0.8,0.2840384615384616,0.75,0.054065862466704806,0.0,pilot_promote
time_forward_holdout,pitcher,success,role_prior,1,13,26.0,0.5,0.2840384615384616,0.7641117206188822,0.75,0.6,0.2840384615384616,0.75,0.0,0.0,baseline
