season,player_key,player_name,player_name_en,kbo_team,role_group,role_model_family,source_confidence_1_5,outcome_available,label_available,success,strong_success,failure,first_kbo_pa,first_kbo_ip,first_kbo_war,first_kbo_wrc_plus,first_kbo_era,renewed_next_year,in_season_replaced,injury_exit_flag,performance_exit_flag,matched_to_savant,has_pre_kbo_savant_features,match_method,match_score,matched_savant_name,matched_savant_player_id,prior_savant_years,prior_savant_rows,prior_savant_latest_year,pre_pa,pre_pitch,pre_games,pre_start_proxy_games,pre_games_80plus_pitches,pre_games_90plus_pitches,pre_games_100plus_pitches,pre_bb_hbp_pct,pre_k_pct,pre_hr_pct,pre_woba_allowed,pre_xwoba_allowed_bbe,pre_xslg_allowed_bbe,pre_whiff_per_swing,pre_chase_rate,pre_zone_rate,pre_first_pitch_nonball_rate,pre_three_ball_pitch_rate,pre_hardhit_rate,pre_barrel_rate,pre_start_proxy_rate,pre_third_time_game_rate,pre_early_1_3_woba_allowed,pre_runner_on_base_woba_allowed,pre_risp_woba_allowed,pre_third_time_woba_allowed,pre_starter_stabilizer_score,pre_bb_pct,pre_woba,pre_zone_swing_rate,pre_nonfast_chase_rate,pre_nonfast_whiff_per_swing,pre_sweet_spot_rate,pre_air_bbe_rate,pre_same_field_air_rate_proxy,pre_low_velo_xwoba,pre_high_velo_xwoba,pre_break_off_xwoba,pre_hitter_count_xwoba,pre_ssg_message_screen_score,has_pre_kbo_milb,milb_stat_group,pre_kbo_milb_rows,pre_kbo_milb_latest_year,pre_kbo_milb_recent_rows,pre_kbo_milb_highest_level_score,pre_kbo_aaa_rows,pre_kbo_aa_rows,pre_kbo_milb_pa,pre_kbo_milb_hr,pre_kbo_milb_ops,pre_kbo_milb_obp,pre_kbo_milb_slg,pre_kbo_milb_k_pct,pre_kbo_milb_bb_pct,pre_kbo_milb_ip,pre_kbo_milb_games,pre_kbo_milb_games_started,pre_kbo_milb_k9,pre_kbo_milb_bb9,pre_kbo_milb_hr9,pre_kbo_milb_era,pre_kbo_milb_whip,has_model_pre_kbo_features,model_feature_source,pre_kbo_recent_highest_level_score
2023,소크라테스브리토,소크라테스 브리토,Sócrates Orel Brito,KIA,hitter,hitter,4,True,True,1,1,0,608.0,,4.003747940063477,124.95099639892578,,1.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,마리오산체스,마리오 산체스,Mario Sanchez,KIA,starter,pitcher,4,True,True,0,0,1,,63.666666666666664,0.1339933136739961,,5.9399999999999995,0.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,숀앤더슨,숀 앤더슨,Shaun Anderson,KIA,starter,pitcher,4,True,True,0,0,1,,79.0,1.3281492839414129,,3.76,0.0,1,0,1,True,True,exact_variant,1.0,"Anderson, Shaun",641312.0,2022,1.0,2022.0,7.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142857142857143,0.3862142857142857,0.5192857142857144,0.1,0.375,0.6190476190476192,0.8571428571428571,0.1428571428571428,0.4285714285714285,0.0,0.0,0.0,,0.45,0.225,,,,,,,,,,,,,,,,True,pitching,12.0,2022.0,5.0,100.0,5.0,0.0,,,,,,0.2342342342342342,0.0936936936936937,134.66666666666666,72.0,15.0,8.68811881188119,3.4752475247524757,1.0024752475247525,3.275544554455446,1.1685148514851484,True,savant_and_milb,100.0
2023,아도니스메디나,아도니스 메디나,Adonis Medina,KIA,starter,pitcher,4,True,True,0,0,1,,58.0,0.058467914097147,,6.05,0.0,1,0,1,True,True,exact_variant,1.0,"Medina, Adonis",658431.0,2022,1.0,2022.0,110.0,414.0,14.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.1545454545454545,0.0181818181818181,0.3722727272727273,0.3878224279835391,0.560962962962963,0.1725888324873096,0.2682926829268293,0.5048309178743962,0.6272727272727273,0.0869565217391304,0.5609756097560976,0.073170731707317,0.0,0.0,,0.4794117647058823,0.4402777777777777,,,,,,,,,,,,,,,,True,pitching,7.0,2022.0,2.0,100.0,2.0,0.0,,,,,,0.1968680089485458,0.0961968680089485,98.66666666666669,35.0,19.0,8.027027027027026,3.922297297297297,1.277027027027027,4.924324324324324,1.5179729729729727,True,savant_and_milb,100.0
2023,토마스파노니,토마스 파노니,Thomas Edward Pannone Jr,KIA,starter,pitcher,4,True,True,0,0,0,,82.33333333333333,1.765471942708966,,4.26,0.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,앤서니알포드,앤서니 알포드,Anthony Alford,KT,hitter,hitter,4,True,True,1,0,0,547.0,,3.9759349822998047,123.47000122070312,,0.0,0,0,0,True,True,exact_variant,1.0,anthony alford,546990.0,2022,1.0,2022.0,4.0,15.0,,,,,,,0.5,0.0,,,,0.3333333333333333,0.6,,,,0.0,0.0,,,,,,,,0.0,0.225,0.6,0.6,0.6666666666666666,0.0,0.0,,0.068,,,,,True,hitting,19.0,2022.0,5.0,100.0,4.0,0.0,321.0,23.0,0.9658037383177568,0.3859626168224299,0.5798411214953271,0.3364485981308411,0.1401869158878504,,,,,,,,,True,savant_and_milb,100.0
2023,보슐서,보 슐서,Beau Grayson Sulser,KT,starter,pitcher,4,True,True,0,0,1,,49.666666666666664,0.3451239033690224,,5.62,0.0,1,0,1,True,True,exact_variant,1.0,"Sulser, Beau",676641.0,2022,1.0,2022.0,99.0,367.0,10.0,0.0,0.0,0.0,0.0,0.101010101010101,0.1919191919191919,0.0303030303030302,0.3809278350515464,0.3174761666692782,0.4645714285714286,0.1758241758241758,0.3246073298429318,0.4604904632152589,0.6565656565656566,0.0653950953678474,0.3714285714285714,0.0571428571428571,0.0,0.0,0.43,0.4432692307692308,0.482258064516129,,,,,,,,,,,,,,,,True,pitching,6.0,2022.0,4.0,100.0,4.0,0.0,,,,,,0.2098298676748582,0.0765595463137996,236.0,66.0,36.0,8.466101694915254,3.0889830508474576,1.1822033898305084,4.918983050847458,1.5201977401129942,True,savant_and_milb,100.0
2023,웨스벤자민,웨스 벤자민,Wes Benjamin,KT,starter,pitcher,4,True,True,1,0,0,,160.0,3.1433074588978807,,3.54,1.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,윌리엄쿠에바스,윌리엄 쿠에바스,William Enrique Cuevas Osorio,KT,starter,pitcher,4,True,True,1,1,0,,114.33333333333331,4.672736560080278,,2.6,1.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,오스틴딘,오스틴 딘,Austin James Dean,LG,hitter,hitter,4,True,True,1,1,0,583.0,,5.129427433013916,153.89199829101562,,1.0,0,0,0,True,True,exact_variant,1.0,austin dean,621573.0,2022,1.0,2022.0,9.0,38.0,,,,,,,0.0,0.0,,,,0.0625,0.2608695652173913,,,,0.25,0.0,,,,,,,,0.1111111111111111,0.4777777777777776,0.6666666666666666,0.3,0.1666666666666666,0.125,0.125,0.0,0.27825,,0.3013333333333333,,,True,hitting,14.0,2022.0,3.0,100.0,2.0,0.0,506.0,19.0,0.8135652173913043,0.3480118577075098,0.4655533596837945,0.2292490118577075,0.0928853754940711,,,,,,,,,True,savant_and_milb,100.0
