season,player_key,player_name,player_name_en,kbo_team,role_model_family,stat_group,player_id,success,failure,source_player_id,milb_stat_group,has_pre_kbo_milb,pre_kbo_milb_rows,pre_kbo_milb_latest_year,pre_kbo_milb_recent_rows,pre_kbo_milb_highest_level_score,pre_kbo_recent_highest_level_score,pre_kbo_aaa_rows,pre_kbo_aa_rows,pre_kbo_milb_pa,pre_kbo_milb_hr,pre_kbo_milb_ops,pre_kbo_milb_obp,pre_kbo_milb_slg,pre_kbo_milb_k_pct,pre_kbo_milb_bb_pct,pre_kbo_milb_ip,pre_kbo_milb_games,pre_kbo_milb_games_started,pre_kbo_milb_k9,pre_kbo_milb_bb9,pre_kbo_milb_hr9,pre_kbo_milb_era,pre_kbo_milb_whip
2023,기예르모에레디아,기예르모 에레디아,Guillermo Heredia Molina,SSG,hitter,hitting,628338,1,0,628338,hitting,True,5,2021,1,100.0,100.0,1,0,3.0,0.0,0.666,0.333,0.333,0.0,0.0,,,,,,,,
2023,닉윌리엄스,닉 윌리엄스,Nick Williams,한화,hitter,hitting,608384,0,1,608384,hitting,True,12,2021,1,100.0,100.0,1,0,138.0,4.0,0.743,0.314,0.429,0.2608695652173913,0.050724637681159424,,,,,,,,
2023,댄스트레일리,댄 스트레일리,Dan Straily,롯데,pitcher,pitching,573185,0,1,573185,pitching,True,15,2022,1,100.0,100.0,1,0,,,,,,0.18996415770609318,0.10752688172043011,62.333333333333336,15.0,12.0,7.652406417112299,4.331550802139037,2.021390374331551,6.3500000000000005,1.49
2023,딜런파일,딜런 파일,Dylan Michael File ,두산,pitcher,pitching,668766,0,1,668766,pitching,True,8,2022,4,100.0,100.0,2,0,,,,,,0.19914651493598862,0.07112375533428165,164.66666666666666,39.0,32.0,7.651821862348179,2.732793522267207,1.1477732793522268,4.811963562753036,1.3451214574898787
2023,라울알칸타라,라울 알칸타라,Raul Alcántara,두산,pitcher,pitching,593417,1,0,593417,pitching,True,12,2018,0,100.0,100.0,3,2,,,,,,0.16602854159415245,0.04907761921336582,693.6666666666666,173.0,124.0,6.188851513695339,1.829408938010572,0.6357520422873619,3.5919942335415667,1.2225660740028834
2023,리카르도산체스,리카르도 산체스,Ricardo Jose Sánchez,한화,pitcher,pitching,645307,1,0,645307,pitching,True,12,2022,3,100.0,100.0,3,0,,,,,,0.19769673704414586,0.07869481765834933,232.66666666666666,52.0,52.0,7.9684813753581665,3.171919770773639,1.005730659025788,4.949484240687679,1.4983667621776506
2023,마리오산체스,마리오 산체스,Mario Sanchez,KIA,pitcher,pitching,532936,0,1,532936,pitching,True,13,2022,3,100.0,100.0,2,1,,,,,,0.2205005959475566,0.058402860548271755,206.0,52.0,31.0,8.08252427184466,2.1407766990291264,1.2233009708737863,4.1964077669902915,1.1211650485436893
2023,브라이언오그레디,브라이언 오그레디,Brian O'Grady,한화,hitter,hitting,657434,0,1,657434,hitting,True,10,2021,1,100.0,100.0,1,0,329.0,15.0,0.913,0.366,0.547,0.25835866261398177,0.1094224924012158,,,,,,,,
2023,소크라테스브리토,소크라테스 브리토,Sócrates Orel Brito,KIA,hitter,hitting,593647,1,0,593647,hitting,True,13,2021,1,100.0,100.0,1,0,419.0,9.0,0.691,0.31500000000000006,0.376,0.22673031026252982,0.07637231503579953,,,,,,,,
2023,아담플럿코,아담 플럿코,Adam Gregory Plutko,LG,pitcher,pitching,592644,1,0,592644,pitching,True,10,2021,1,100.0,100.0,1,0,,,,,,0.22807017543859648,0.08771929824561403,12.0,10.0,0.0,9.75,3.75,3.75,9.75,1.75
