season,player_key,player_name,player_name_en,kbo_team,role_model_family,stat_group,player_id,success,failure,source_player_id,milb_stat_group,milb_season,game_type,sport_id,sport_level,sport_abbreviation,team_id,team_name,league_id,league_name,source_url,collected_at,age,games_played,games_started,ground_outs,air_outs,runs,doubles,triples,home_runs,strike_outs,base_on_balls,intentional_walks,hits,hit_by_pitch,avg,at_bats,obp,slg,ops,caught_stealing,stolen_bases,stolen_base_percentage,caught_stealing_percentage,ground_into_double_play,number_of_pitches,era,innings_pitched,wins,losses,saves,save_opportunities,holds,blown_saves,earned_runs,whip,batters_faced,outs,games_pitched,complete_games,shutouts,strikes,strike_percentage,hit_batsmen,balks,wild_pitches,pickoffs,total_bases,ground_outs_to_airouts,win_percentage,pitches_per_inning,games_finished,strikeout_walk_ratio,strikeouts_per9_inn,walks_per9_inn,hits_per9_inn,runs_scored_per9,home_runs_per9,inherited_runners,inherited_runners_scored,catchers_interference,sac_bunts,sac_flies,plate_appearances,rbi,left_on_base,babip,at_bats_per_home_run
2023,댄스트레일리,댄 스트레일리,Dan Straily,롯데,pitcher,pitching,573185,0,1,573185,pitching,2012,R,11,AAA,AAA,105.0,Sacramento River Cats,112.0,Pacific Coast League,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00,23,11,11.0,55,58,15,14,0,3,82,19,0,40,1,.172,233,.237,.270,.507,1,7,.875,.125,6,993,2.03,66.2,6.0,3.0,0.0,0.0,0.0,0.0,15.0,0.89,255.0,200.0,11.0,0.0,0.0,649.0,.650,1.0,0.0,3.0,0.0,63,0.95,.667,14.90,0.0,4.32,11.07,2.57,5.40,2.02,0.40,0.0,0.0,0,2,0,,,,,
2023,댄스트레일리,댄 스트레일리,Dan Straily,롯데,pitcher,pitching,573185,0,1,573185,pitching,2013,R,11,AAA,AAA,105.0,Sacramento River Cats,112.0,Pacific Coast League,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00,24,5,5.0,32,32,11,4,0,1,33,9,1,24,0,.202,119,.258,.261,.519,1,4,.800,.200,3,503,1.14,31.2,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.04,130.0,95.0,5.0,0.0,0.0,319.0,.630,0.0,0.0,2.0,0.0,31,1.00,.750,15.88,0.0,3.67,9.38,2.56,6.82,3.13,0.28,0.0,0.0,0,2,0,,,,,
2023,댄스트레일리,댄 스트레일리,Dan Straily,롯데,pitcher,pitching,573185,0,1,573185,pitching,2014,R,11,AAA,AAA,105.0,Sacramento River Cats,112.0,Pacific Coast League,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00,25,10,10.0,41,66,33,12,0,9,67,26,0,54,2,.241,224,.323,.415,.738,5,4,.444,.556,6,982,4.71,63.0,4.0,3.0,0.0,0.0,0.0,0.0,33.0,1.27,257.0,189.0,10.0,0.0,0.0,626.0,.640,2.0,0.0,3.0,2.0,93,0.62,.571,15.59,0.0,2.58,9.57,3.71,7.71,4.71,1.29,0.0,0.0,1,2,2,,,,,
2023,댄스트레일리,댄 스트레일리,Dan Straily,롯데,pitcher,pitching,573185,0,1,573185,pitching,2014,R,11,AAA,AAA,451.0,Iowa Cubs,112.0,Pacific Coast League,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00,25,10,10.0,38,69,34,11,2,7,56,20,1,59,3,.273,216,.339,.440,.779,3,1,.250,.750,1,945,4.09,55.0,3.0,5.0,0.0,0.0,0.0,0.0,25.0,1.44,245.0,165.0,10.0,0.0,0.0,576.0,.610,3.0,0.0,2.0,0.0,95,0.55,.375,17.18,0.0,2.80,9.16,3.27,9.65,5.56,1.15,0.0,0.0,0,3,3,,,,,
2023,댄스트레일리,댄 스트레일리,Dan Straily,롯데,pitcher,pitching,573185,0,1,573185,pitching,2014,R,11,AAA,AAA,,,112.0,Pacific Coast League,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00,25,20,20.0,79,135,67,23,2,16,123,46,1,113,5,.257,440,.331,.427,.758,8,5,.385,.615,7,1927,4.42,118.0,7.0,8.0,0.0,0.0,0.0,0.0,58.0,1.35,502.0,354.0,20.0,0.0,0.0,1202.0,.620,5.0,0.0,5.0,2.0,188,0.59,.467,16.33,0.0,2.67,9.38,3.51,8.62,5.11,1.22,0.0,0.0,1,5,5,,,,,
2023,댄스트레일리,댄 스트레일리,Dan Straily,롯데,pitcher,pitching,573185,0,1,573185,pitching,2015,R,11,AAA,AAA,259.0,Fresno Grizzlies,112.0,Pacific Coast League,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00,26,22,22.0,85,157,69,43,4,13,124,25,0,147,4,.289,508,.325,.467,.792,2,12,.857,.143,1,2041,4.77,122.2,10.0,9.0,0.0,0.0,0.0,0.0,65.0,1.40,542.0,368.0,22.0,1.0,0.0,1372.0,.670,4.0,2.0,7.0,1.0,237,0.54,.526,16.64,0.0,4.96,9.10,1.83,10.79,5.06,0.95,0.0,0.0,0,0,5,,,,,
2023,댄스트레일리,댄 스트레일리,Dan Straily,롯데,pitcher,pitching,573185,0,1,573185,pitching,2019,R,11,AAA,AAA,568.0,Norfolk Tides,117.0,International League,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00,30,6,6.0,23,30,9,11,1,4,38,8,0,24,3,.195,123,.259,.398,.657,2,0,.000,1.000,0,509,2.38,34.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.94,136.0,102.0,6.0,0.0,0.0,338.0,.660,3.0,0.0,0.0,0.0,49,0.77,1.000,14.97,0.0,4.75,10.06,2.12,6.35,2.38,1.06,0.0,0.0,0,1,1,,,,,
2023,댄스트레일리,댄 스트레일리,Dan Straily,롯데,pitcher,pitching,573185,0,1,573185,pitching,2019,R,11,AAA,AAA,1410.0,Lehigh Valley IronPigs,117.0,International League,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00,30,6,6.0,0,32,22,4,1,5,30,9,1,33,0,.254,130,.302,.415,.717,1,6,.857,.143,3,531,5.18,33.0,1.0,4.0,0.0,0.0,0.0,0.0,19.0,1.27,139.0,99.0,6.0,0.0,0.0,346.0,.650,0.0,0.0,1.0,0.0,54,0.00,.200,16.09,0.0,3.33,8.18,2.45,9.00,6.00,1.36,0.0,0.0,0,0,0,,,,,
2023,댄스트레일리,댄 스트레일리,Dan Straily,롯데,pitcher,pitching,573185,0,1,573185,pitching,2019,R,11,AAA,AAA,,,117.0,International League,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00,30,12,12.0,23,62,31,15,2,9,68,17,1,57,3,.225,253,.281,.407,.688,3,6,.667,.333,3,1040,3.76,67.0,5.0,4.0,0.0,0.0,0.0,0.0,28.0,1.10,275.0,201.0,12.0,0.0,0.0,684.0,.660,3.0,0.0,1.0,0.0,103,0.37,.556,15.52,0.0,4.00,9.13,2.28,7.66,4.16,1.21,0.0,0.0,0,1,1,,,,,
2023,댄스트레일리,댄 스트레일리,Dan Straily,롯데,pitcher,pitching,573185,0,1,573185,pitching,2022,R,11,AAA,AAA,2310.0,Reno Aces,112.0,Pacific Coast League,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00,33,15,12.0,55,77,46,10,4,14,53,30,0,63,1,.257,245,.337,.502,.839,2,4,.667,.333,3,1119,6.35,62.1,3.0,3.0,1.0,2.0,0.0,1.0,44.0,1.49,279.0,187.0,15.0,0.0,0.0,683.0,.610,1.0,0.0,1.0,0.0,123,0.71,.500,17.95,3.0,1.77,7.65,4.33,9.10,6.64,2.02,0.0,0.0,0,0,3,,,,,
