player_id,stat_group,sport_id,sport_level,status_code,split_count,error,source_url,collected_at
628338,hitting,13,High-A,200,0,,https://statsapi.mlb.com/api/v1/people/628338/stats?stats=yearByYear&group=hitting&sportId=13,2026-06-22T11:43:51+09:00
573185,pitching,11,AAA,200,11,,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
573185,pitching,12,AA,200,2,,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
608384,hitting,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/608384/stats?stats=yearByYear&group=hitting&sportId=13,2026-06-22T11:43:51+09:00
628338,hitting,12,AA,200,1,,https://statsapi.mlb.com/api/v1/people/628338/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-22T11:43:51+09:00
608384,hitting,16,Rookie,200,2,,https://statsapi.mlb.com/api/v1/people/608384/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-22T11:43:51+09:00
608384,hitting,11,AAA,200,4,,https://statsapi.mlb.com/api/v1/people/608384/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-22T11:43:51+09:00
608384,hitting,12,AA,200,4,,https://statsapi.mlb.com/api/v1/people/608384/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-22T11:43:51+09:00
628338,hitting,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/628338/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-22T11:43:51+09:00
628338,hitting,14,Single-A,200,0,,https://statsapi.mlb.com/api/v1/people/628338/stats?stats=yearByYear&group=hitting&sportId=14,2026-06-22T11:43:51+09:00
608384,hitting,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/608384/stats?stats=yearByYear&group=hitting&sportId=14,2026-06-22T11:43:51+09:00
628338,hitting,11,AAA,200,4,,https://statsapi.mlb.com/api/v1/people/628338/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-22T11:43:51+09:00
573185,pitching,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
573185,pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
573185,pitching,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/573185/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
668766,pitching,11,AAA,200,5,,https://statsapi.mlb.com/api/v1/people/668766/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
593417,pitching,11,AAA,200,3,,https://statsapi.mlb.com/api/v1/people/593417/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
668766,pitching,16,Rookie,200,2,,https://statsapi.mlb.com/api/v1/people/668766/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
668766,pitching,12,AA,200,3,,https://statsapi.mlb.com/api/v1/people/668766/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
593417,pitching,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/593417/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
593417,pitching,14,Single-A,200,2,,https://statsapi.mlb.com/api/v1/people/593417/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
668766,pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/668766/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
593417,pitching,12,AA,200,2,,https://statsapi.mlb.com/api/v1/people/593417/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
593417,pitching,16,Rookie,200,3,,https://statsapi.mlb.com/api/v1/people/593417/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
668766,pitching,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/668766/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
645307,pitching,12,AA,200,2,,https://statsapi.mlb.com/api/v1/people/645307/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
645307,pitching,11,AAA,200,4,,https://statsapi.mlb.com/api/v1/people/645307/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
645307,pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/645307/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
645307,pitching,14,Single-A,200,2,,https://statsapi.mlb.com/api/v1/people/645307/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
657434,hitting,11,AAA,200,3,,https://statsapi.mlb.com/api/v1/people/657434/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-22T11:43:51+09:00
532936,pitching,12,AA,200,3,,https://statsapi.mlb.com/api/v1/people/532936/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
532936,pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/532936/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
657434,hitting,12,AA,200,2,,https://statsapi.mlb.com/api/v1/people/657434/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-22T11:43:51+09:00
532936,pitching,11,AAA,200,3,,https://statsapi.mlb.com/api/v1/people/532936/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
532936,pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/532936/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
645307,pitching,16,Rookie,200,4,,https://statsapi.mlb.com/api/v1/people/645307/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
657434,hitting,16,Rookie,200,1,,https://statsapi.mlb.com/api/v1/people/657434/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-22T11:43:51+09:00
532936,pitching,16,Rookie,200,5,,https://statsapi.mlb.com/api/v1/people/532936/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
657434,hitting,13,High-A,200,3,,https://statsapi.mlb.com/api/v1/people/657434/stats?stats=yearByYear&group=hitting&sportId=13,2026-06-22T11:43:51+09:00
