role_model_family,signal_type,rule,target,support_rows,total_role_rows,support_share,target_rate_inside_rule,role_base_target_rate,rate_delta_vs_role_base,lift_vs_role_base,permutation_p_value,semantic_alignment,rule_gate,rule_stability_score,rule_stability_tier,candidate_release_allowed,release_policy
hitter,single_family,hitter_quality_of_contact=low_bottom_tercile,injury_exit_flag,9,22,0.4090909090909091,0.0,0.0909090909090909,-0.0909090909090909,0.0,0.4850299401197604,counterintuitive_or_negative_control,watch_small_sample_signal,39.96516058791508,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_quality_of_contact=low_bottom_tercile,performance_exit_flag,9,22,0.4090909090909091,0.0,0.0909090909090909,-0.0909090909090909,0.0,0.4910179640718562,counterintuitive_or_negative_control,watch_small_sample_signal,39.81545998911268,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_contact_discipline_floor=low_bottom_tercile,injury_exit_flag,8,22,0.3636363636363636,0.0,0.0909090909090909,-0.0909090909090909,0.0,0.467065868263473,counterintuitive_or_negative_control,watch_small_sample_signal,38.414262384322264,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_contact_discipline_floor=low_bottom_tercile,performance_exit_flag,8,22,0.3636363636363636,0.0,0.0909090909090909,-0.0909090909090909,0.0,0.4710578842315369,counterintuitive_or_negative_control,watch_small_sample_signal,38.314461985120666,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_milb_surface_power=low_bottom_tercile,injury_exit_flag,7,22,0.3181818181818182,0.0,0.0909090909090909,-0.0909090909090909,0.0,0.4870259481037924,counterintuitive_or_negative_control,watch_small_sample_signal,35.91526038831428,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_track_continuity=low_bottom_tercile,injury_exit_flag,7,22,0.3181818181818182,0.0,0.0909090909090909,-0.0909090909090909,0.0,0.530938123752495,counterintuitive_or_negative_control,watch_small_sample_signal,34.817455997096715,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_quality_of_contact=high_top_tercile,performance_exit_flag,7,22,0.3181818181818182,0.0,0.0909090909090909,-0.0909090909090909,0.0,0.5409181636726547,semantically_aligned,watch_small_sample_signal,34.56795499909272,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_milb_surface_power=low_bottom_tercile,performance_exit_flag,7,22,0.3181818181818182,0.0,0.0909090909090909,-0.0909090909090909,0.0,0.5409181636726547,counterintuitive_or_negative_control,watch_small_sample_signal,34.56795499909272,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_track_continuity=high_top_tercile,performance_exit_flag,7,22,0.3181818181818182,0.0,0.0909090909090909,-0.0909090909090909,0.0,0.5768463073852296,semantically_aligned,watch_small_sample_signal,33.66975140627835,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_track_continuity=low_bottom_tercile,in_season_replaced,7,22,0.3181818181818182,0.1428571428571428,0.2272727272727272,-0.0844155844155844,0.6285714285714286,0.6187624750499002,counterintuitive_or_negative_control,watch_small_sample_signal,31.972496565310934,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_milb_surface_power=low_bottom_tercile,in_season_replaced,7,22,0.3181818181818182,0.1428571428571428,0.2272727272727272,-0.0844155844155844,0.6285714285714286,0.6427145708582834,counterintuitive_or_negative_control,watch_small_sample_signal,31.373694170101356,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_contact_discipline_floor=low_bottom_tercile,strong_success,8,22,0.3636363636363636,0.25,0.3181818181818182,-0.0681818181818181,0.7857142857142857,0.6646706586826348,semantically_aligned,watch_small_sample_signal,31.20141535111594,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_track_continuity=low_bottom_tercile,failure,7,22,0.3181818181818182,0.2857142857142857,0.3636363636363636,-0.0779220779220779,0.7857142857142857,0.6726546906187625,counterintuitive_or_negative_control,watch_small_sample_signal,29.97584052673873,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_quality_of_contact=high_top_tercile,failure,7,22,0.3181818181818182,0.4285714285714285,0.3636363636363636,0.0649350649350649,1.1785714285714284,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,20.49350649350649,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_contact_discipline_floor=high_top_tercile,failure,7,22,0.3181818181818182,0.4285714285714285,0.3636363636363636,0.0649350649350649,1.1785714285714284,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,20.49350649350649,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_milb_surface_power=high_top_tercile,failure,7,22,0.3181818181818182,0.4285714285714285,0.3636363636363636,0.0649350649350649,1.1785714285714284,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,20.49350649350649,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_track_continuity=high_top_tercile,failure,7,22,0.3181818181818182,0.4285714285714285,0.3636363636363636,0.0649350649350649,1.1785714285714284,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,20.49350649350649,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_quality_of_contact=high_top_tercile,in_season_replaced,7,22,0.3181818181818182,0.2857142857142857,0.2272727272727272,0.0584415584415584,1.2571428571428571,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,19.84415584415584,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_track_continuity=high_top_tercile,in_season_replaced,7,22,0.3181818181818182,0.2857142857142857,0.2272727272727272,0.0584415584415584,1.2571428571428571,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,19.84415584415584,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_quality_of_contact=low_bottom_tercile,strong_success,9,22,0.4090909090909091,0.3333333333333333,0.3181818181818182,0.0151515151515151,1.0476190476190477,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,19.51515151515151,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_quality_of_contact=high_top_tercile,injury_exit_flag,7,22,0.3181818181818182,0.1428571428571428,0.0909090909090909,0.0519480519480519,1.5714285714285714,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,19.19480519480519,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_contact_discipline_floor=high_top_tercile,injury_exit_flag,7,22,0.3181818181818182,0.1428571428571428,0.0909090909090909,0.0519480519480519,1.5714285714285714,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,19.19480519480519,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_milb_surface_power=high_top_tercile,injury_exit_flag,7,22,0.3181818181818182,0.1428571428571428,0.0909090909090909,0.0519480519480519,1.5714285714285714,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,19.19480519480519,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_track_continuity=high_top_tercile,injury_exit_flag,7,22,0.3181818181818182,0.1428571428571428,0.0909090909090909,0.0519480519480519,1.5714285714285714,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,19.19480519480519,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,single_family,hitter_track_continuity=low_bottom_tercile,performance_exit_flag,7,22,0.3181818181818182,0.1428571428571428,0.0909090909090909,0.0519480519480519,1.5714285714285714,1.0,semantically_aligned,watch_small_sample_signal,19.19480519480519,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_contact_discipline_floor=low_bottom_tercile,injury_exit_flag,5,22,0.2272727272727272,0.0,0.0909090909090909,-0.0909090909090909,0.0,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,19.09090909090909,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,injury_exit_flag,5,22,0.2272727272727272,0.0,0.0909090909090909,-0.0909090909090909,0.0,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,19.09090909090909,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_contact_discipline_floor=low_bottom_tercile,performance_exit_flag,5,22,0.2272727272727272,0.0,0.0909090909090909,-0.0909090909090909,0.0,1.0,counterintuitive_or_negative_control,watch_small_sample_signal,19.09090909090909,do_not_promote_rule,False,layer2_4_validation_sprint_research_only_no_candidate_release
