locked_fit_id,fit_slot,source_pool,position_or_role_bucket,failure_risk_band_v0_3,source_gap_band,translation_uncertainty_policy,medical_risk_bucket,contract_control_bucket,manual_review_tier_v0_3,candidate_release_allowed,score_release_allowed,rank_release_allowed,shortlist_label_allowed,is_final_recommendation,release_policy
LOCKED-AQ-V03-AB1A4C3FE728,asian_quota,,Pitchers,watch_source_context,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P2_source_context_watch,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-F04A7F8ED9BB,asian_quota,,Infielders,watch_source_context,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P2_source_context_watch,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-D0D5912B2780,asian_quota,,Pitchers,watch_source_context,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P2_source_context_watch,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-ECAF9E9F4560,asian_quota,,Third-Base Man,watch_source_context,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P2_source_context_watch,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-BFB6F2B8E226,asian_quota,,Shortstop,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-5E4E8668D760,asian_quota,,Shortstop,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-4F212B544314,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-15133A4678AB,asian_quota,,Second-Base Man,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-30B07688B4D3,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-166E83C51E8D,asian_quota,,Center-Fielder,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-29EB3FEF5013,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-2190A3A6E924,asian_quota,,Infielders,watch_source_context,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P2_source_context_watch,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-B4C98AC234EA,asian_quota,,Infielders,watch_source_context,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P2_source_context_watch,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-1D891865FCEB,asian_quota,,Outfielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-FDDA1FA3EC7D,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-F3641E55EB71,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-47A0411D9508,asian_quota,,First-Base Man,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-91459E676BA0,asian_quota,,Catcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-6D61337797BD,asian_quota,,First-Base Man,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-A3EDAE4F1D37,asian_quota,,Left-Fielder,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-79B12F788DFB,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-90BD9DBB57F8,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-1551C2342F20,asian_quota,,Outfielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-C05C0DEF94D0,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
