locked_card_id,fit_slot,card_title,card_release_policy,card_stage,source_fill_readiness_bucket,sensitivity_band,fit_thesis_public_safe,ssg_fit_band,translation_band,market_realism_band,tool_process_band,surplus_access_band,failure_risk_band,source_confidence_band,primary_risk_focus,source_status_summary,manual_review_questions,next_source_actions,usable_article_rows_band,korean_article_rows_band,candidate_name_release_allowed,score_release_allowed,rank_release_allowed,shortlist_label_allowed,is_final_recommendation,scouting_card_release_allowed,recommendation_label
LOCKED-FH-08E3B8989A,foreign_hitter,Locked OF/DH fit review card,locked_scouting_card_template_no_candidate_name_no_score_no_rank,scouting_card_template_locked_no_candidate_name,source_supported_scouting_card_next_locked,stable_top25_locked,OF/DH profile: translation-risk band is favorable; market-access band is favorable; tool/process band is favorable,above_average,strong,strong,strong,above_average,lower_current_risk,watch,no_primary_high_risk_bucket_after_source_fill,contract:not_required|medical:not_required|korea:not_required|nationality:not_required,"foreign_hitter_outfield_priority || Can this OF/DH profile improve SSG's RHP game-script and run-kill avoidance problem without creating a contact-floor issue? || Check whether candidate-side signals align with promoted KBO archetype rules and do not trigger a known failure mode. || Confirm swing decisions, two-strike survival, OF defense/run value, platoon usability, and whether batted-ball quality is playable in KBO. || Review risk focus: no_primary_high_risk_bucket_after_source_fill. || Verify current contract, option status, salary expectation, agent openness, and whether the player is realistically movable midseason. || Verify the most recent injury, rehab, workload, and current availability status from a source stronger than metadata snippets. || Look for direct or indirect evidence of Korea/overseas openness, role acceptance, timing, family/visa constraints, and agent/team posture. || Open sources for: contract:not_required|medical:not_required|korea:not_required|nationality:not_required. Next actions: ready_for_manual_scouting_card_review_locked. || Advance only if OF/role fit, contact floor, medical availability, and contract feasibility are all source-supported.",ready_for_manual_scouting_card_review_locked,none,none,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-112F9F0F27,foreign_hitter,Locked OF/DH fit review card,locked_scouting_card_template_no_candidate_name_no_score_no_rank,scouting_card_template_locked_no_candidate_name,source_supported_scouting_card_next_locked,stable_top25_locked,OF/DH profile: translation-risk band is favorable; market-access band is favorable; tool/process band is favorable,strong,strong,strong,above_average,above_average,lower_current_risk,watch,contract/access,contract:not_required|medical:not_required|korea:not_required|nationality:not_required,"foreign_hitter_outfield_priority || Can this OF/DH profile improve SSG's RHP game-script and run-kill avoidance problem without creating a contact-floor issue? || Check whether candidate-side signals align with promoted KBO archetype rules and do not trigger a known failure mode. || Confirm swing decisions, two-strike survival, OF defense/run value, platoon usability, and whether batted-ball quality is playable in KBO. || Review risk focus: contract/access. || Verify current contract, option status, salary expectation, agent openness, and whether the player is realistically movable midseason. || Verify the most recent injury, rehab, workload, and current availability status from a source stronger than metadata snippets. || Look for direct or indirect evidence of Korea/overseas openness, role acceptance, timing, family/visa constraints, and agent/team posture. || Open sources for: contract:not_required|medical:not_required|korea:not_required|nationality:not_required. Next actions: ready_for_manual_scouting_card_review_locked. || Advance only if OF/role fit, contact floor, medical availability, and contract feasibility are all source-supported.",ready_for_manual_scouting_card_review_locked,none,none,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-12A9D17009,foreign_hitter,Locked OF/DH fit review card,locked_scouting_card_template_no_candidate_name_no_score_no_rank,scouting_card_template_locked_no_candidate_name,source_supported_scouting_card_next_locked,stable_top25_locked,OF/DH profile: translation-risk band is favorable; market-access band is favorable,above_average,strong,strong,above_average,above_average,lower_current_risk,watch,contract/access,contract:not_required|medical:not_required|korea:not_required|nationality:not_required,"foreign_hitter_outfield_priority || Can this OF/DH profile improve SSG's RHP game-script and run-kill avoidance problem without creating a contact-floor issue? || Check whether candidate-side signals align with promoted KBO archetype rules and do not trigger a known failure mode. || Confirm swing decisions, two-strike survival, OF defense/run value, platoon usability, and whether batted-ball quality is playable in KBO. || Review risk focus: contract/access. || Verify current contract, option status, salary expectation, agent openness, and whether the player is realistically movable midseason. || Verify the most recent injury, rehab, workload, and current availability status from a source stronger than metadata snippets. || Look for direct or indirect evidence of Korea/overseas openness, role acceptance, timing, family/visa constraints, and agent/team posture. || Open sources for: contract:not_required|medical:not_required|korea:not_required|nationality:not_required. Next actions: ready_for_manual_scouting_card_review_locked. || Advance only if OF/role fit, contact floor, medical availability, and contract feasibility are all source-supported.",ready_for_manual_scouting_card_review_locked,none,none,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-223F6F34FF,foreign_hitter,Locked OF/DH fit review card,locked_scouting_card_template_no_candidate_name_no_score_no_rank,scouting_card_template_locked_no_candidate_name,source_supported_scouting_card_next_locked,stable_top50_review_locked,OF/DH profile: translation-risk band is favorable; market-access band is favorable,watch,strong,strong,watch,above_average,manageable_risk,watch,contract/access,contract:not_required|medical:not_required|korea:not_required|nationality:not_required,"foreign_hitter_outfield_priority || Can this OF/DH profile improve SSG's RHP game-script and run-kill avoidance problem without creating a contact-floor issue? || Check whether candidate-side signals align with promoted KBO archetype rules and do not trigger a known failure mode. || Confirm swing decisions, two-strike survival, OF defense/run value, platoon usability, and whether batted-ball quality is playable in KBO. || Review risk focus: contract/access. || Verify current contract, option status, salary expectation, agent openness, and whether the player is realistically movable midseason. || Verify the most recent injury, rehab, workload, and current availability status from a source stronger than metadata snippets. || Look for direct or indirect evidence of Korea/overseas openness, role acceptance, timing, family/visa constraints, and agent/team posture. || Open sources for: contract:not_required|medical:not_required|korea:not_required|nationality:not_required. Next actions: ready_for_manual_scouting_card_review_locked. || Advance only if OF/role fit, contact floor, medical availability, and contract feasibility are all source-supported.",ready_for_manual_scouting_card_review_locked,none,none,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-34DB089555,foreign_hitter,Locked OF/DH fit review card,locked_scouting_card_template_no_candidate_name_no_score_no_rank,scouting_card_template_locked_no_candidate_name,source_supported_scouting_card_next_locked,stable_top50_review_locked,OF/DH profile: translation-risk band is favorable; market-access band is favorable,above_average,above_average,strong,weak_or_unknown,above_average,manageable_risk,watch,contract/access,contract:not_required|medical:not_required|korea:not_required|nationality:not_required,"foreign_hitter_outfield_priority || Can this OF/DH profile improve SSG's RHP game-script and run-kill avoidance problem without creating a contact-floor issue? || Check whether candidate-side signals align with promoted KBO archetype rules and do not trigger a known failure mode. || Confirm swing decisions, two-strike survival, OF defense/run value, platoon usability, and whether batted-ball quality is playable in KBO. || Review risk focus: contract/access. || Verify current contract, option status, salary expectation, agent openness, and whether the player is realistically movable midseason. || Verify the most recent injury, rehab, workload, and current availability status from a source stronger than metadata snippets. || Look for direct or indirect evidence of Korea/overseas openness, role acceptance, timing, family/visa constraints, and agent/team posture. || Open sources for: contract:not_required|medical:not_required|korea:not_required|nationality:not_required. Next actions: ready_for_manual_scouting_card_review_locked. || Advance only if OF/role fit, contact floor, medical availability, and contract feasibility are all source-supported.",ready_for_manual_scouting_card_review_locked,none,none,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-438C64D126,foreign_hitter,Locked OF/DH fit review card,locked_scouting_card_template_no_candidate_name_no_score_no_rank,scouting_card_template_locked_no_candidate_name,source_supported_scouting_card_next_locked,stable_top50_review_locked,OF/DH profile: translation-risk band is favorable; market-access band is favorable; tool/process band is favorable,above_average,above_average,strong,above_average,above_average,manageable_risk,watch,contract/access,contract:not_required|medical:not_required|korea:not_required|nationality:not_required,"foreign_hitter_outfield_priority || Can this OF/DH profile improve SSG's RHP game-script and run-kill avoidance problem without creating a contact-floor issue? || Check whether candidate-side signals align with promoted KBO archetype rules and do not trigger a known failure mode. || Confirm swing decisions, two-strike survival, OF defense/run value, platoon usability, and whether batted-ball quality is playable in KBO. || Review risk focus: contract/access. || Verify current contract, option status, salary expectation, agent openness, and whether the player is realistically movable midseason. || Verify the most recent injury, rehab, workload, and current availability status from a source stronger than metadata snippets. || Look for direct or indirect evidence of Korea/overseas openness, role acceptance, timing, family/visa constraints, and agent/team posture. || Open sources for: contract:not_required|medical:not_required|korea:not_required|nationality:not_required. Next actions: ready_for_manual_scouting_card_review_locked. || Advance only if OF/role fit, contact floor, medical availability, and contract feasibility are all source-supported.",ready_for_manual_scouting_card_review_locked,none,none,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-6CE4F17560,foreign_hitter,Locked OF/DH fit review card,locked_scouting_card_template_no_candidate_name_no_score_no_rank,scouting_card_template_locked_no_candidate_name,source_supported_scouting_card_next_locked,stable_top50_review_locked,OF/DH profile: translation-risk band is favorable; market-access band is favorable,above_average,above_average,strong,watch,strong,lower_current_risk,strong,contract/access,contract:not_required|medical:not_required|korea:not_required|nationality:not_required,"foreign_hitter_outfield_priority || Can this OF/DH profile improve SSG's RHP game-script and run-kill avoidance problem without creating a contact-floor issue? || Check whether candidate-side signals align with promoted KBO archetype rules and do not trigger a known failure mode. || Confirm swing decisions, two-strike survival, OF defense/run value, platoon usability, and whether batted-ball quality is playable in KBO. || Review risk focus: contract/access. || Verify current contract, option status, salary expectation, agent openness, and whether the player is realistically movable midseason. || Verify the most recent injury, rehab, workload, and current availability status from a source stronger than metadata snippets. || Look for direct or indirect evidence of Korea/overseas openness, role acceptance, timing, family/visa constraints, and agent/team posture. || Open sources for: contract:not_required|medical:not_required|korea:not_required|nationality:not_required. Next actions: ready_for_manual_scouting_card_review_locked. || Advance only if OF/role fit, contact floor, medical availability, and contract feasibility are all source-supported.",ready_for_manual_scouting_card_review_locked,rich_6_plus,none,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-6F3A88188E,foreign_hitter,Locked OF/DH fit review card,locked_scouting_card_template_no_candidate_name_no_score_no_rank,scouting_card_template_locked_no_candidate_name,source_supported_scouting_card_next_locked,stable_top50_review_locked,OF/DH profile: market-access band is favorable,above_average,above_average,strong,watch,above_average,manageable_risk,watch,contract/access,contract:not_required|medical:not_required|korea:not_required|nationality:not_required,"foreign_hitter_outfield_priority || Can this OF/DH profile improve SSG's RHP game-script and run-kill avoidance problem without creating a contact-floor issue? || Check whether candidate-side signals align with promoted KBO archetype rules and do not trigger a known failure mode. || Confirm swing decisions, two-strike survival, OF defense/run value, platoon usability, and whether batted-ball quality is playable in KBO. || Review risk focus: contract/access. || Verify current contract, option status, salary expectation, agent openness, and whether the player is realistically movable midseason. || Verify the most recent injury, rehab, workload, and current availability status from a source stronger than metadata snippets. || Look for direct or indirect evidence of Korea/overseas openness, role acceptance, timing, family/visa constraints, and agent/team posture. || Open sources for: contract:not_required|medical:not_required|korea:not_required|nationality:not_required. Next actions: ready_for_manual_scouting_card_review_locked. || Advance only if OF/role fit, contact floor, medical availability, and contract feasibility are all source-supported.",ready_for_manual_scouting_card_review_locked,none,none,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-7FE398D061,foreign_hitter,Locked OF/DH fit review card,locked_scouting_card_template_no_candidate_name_no_score_no_rank,scouting_card_template_locked_no_candidate_name,source_supported_scouting_card_next_locked,stable_top25_locked,OF/DH profile: translation-risk band is favorable; market-access band is favorable,above_average,above_average,strong,watch,above_average,lower_current_risk,watch,contract/access,contract:not_required|medical:not_required|korea:not_required|nationality:not_required,"foreign_hitter_outfield_priority || Can this OF/DH profile improve SSG's RHP game-script and run-kill avoidance problem without creating a contact-floor issue? || Check whether candidate-side signals align with promoted KBO archetype rules and do not trigger a known failure mode. || Confirm swing decisions, two-strike survival, OF defense/run value, platoon usability, and whether batted-ball quality is playable in KBO. || Review risk focus: contract/access. || Verify current contract, option status, salary expectation, agent openness, and whether the player is realistically movable midseason. || Verify the most recent injury, rehab, workload, and current availability status from a source stronger than metadata snippets. || Look for direct or indirect evidence of Korea/overseas openness, role acceptance, timing, family/visa constraints, and agent/team posture. || Open sources for: contract:not_required|medical:not_required|korea:not_required|nationality:not_required. Next actions: ready_for_manual_scouting_card_review_locked. || Advance only if OF/role fit, contact floor, medical availability, and contract feasibility are all source-supported.",ready_for_manual_scouting_card_review_locked,none,none,False,False,False,False,False,False,locked_not_allowed
LOCKED-FH-837BF7072E,foreign_hitter,Locked OF/DH fit review card,locked_scouting_card_template_no_candidate_name_no_score_no_rank,scouting_card_template_locked_no_candidate_name,source_supported_scouting_card_next_locked,stable_top25_locked,OF/DH profile: translation-risk band is favorable; market-access band is favorable; tool/process band is favorable,strong,strong,strong,above_average,above_average,lower_current_risk,watch,contract/access,contract:not_required|medical:not_required|korea:not_required|nationality:not_required,"foreign_hitter_outfield_priority || Can this OF/DH profile improve SSG's RHP game-script and run-kill avoidance problem without creating a contact-floor issue? || Check whether candidate-side signals align with promoted KBO archetype rules and do not trigger a known failure mode. || Confirm swing decisions, two-strike survival, OF defense/run value, platoon usability, and whether batted-ball quality is playable in KBO. || Review risk focus: contract/access. || Verify current contract, option status, salary expectation, agent openness, and whether the player is realistically movable midseason. || Verify the most recent injury, rehab, workload, and current availability status from a source stronger than metadata snippets. || Look for direct or indirect evidence of Korea/overseas openness, role acceptance, timing, family/visa constraints, and agent/team posture. || Open sources for: contract:not_required|medical:not_required|korea:not_required|nationality:not_required. Next actions: ready_for_manual_scouting_card_review_locked. || Advance only if OF/role fit, contact floor, medical availability, and contract feasibility are all source-supported.",ready_for_manual_scouting_card_review_locked,none,none,False,False,False,False,False,False,locked_not_allowed
