fit_slot,source_rebuild_priority,source_type,required_rows,cards,not_started_rows,url_filled_rows,release_allowed
foreign_hitter,P0_read_existing_source_now,contract_access_source,1,1,1,0,False
foreign_hitter,P0_read_existing_source_now,current_stat_page,1,1,1,0,False
foreign_hitter,P0_read_existing_source_now,korea_or_overseas_willingness_source_if_available,1,1,1,0,False
foreign_hitter,P0_read_existing_source_now,medical_current_status_source,1,1,1,0,False
foreign_hitter,P0_read_existing_source_now,of_dh_role_and_defense_source,1,1,1,0,False
foreign_hitter,P0_read_existing_source_now,recent_video_or_scouting_report,1,1,1,0,False
foreign_hitter,P1_rebuild_source_file_before_video,contract_access_source,29,29,29,0,False
foreign_hitter,P1_rebuild_source_file_before_video,current_stat_page,29,29,29,0,False
foreign_hitter,P1_rebuild_source_file_before_video,korea_or_overseas_willingness_source_if_available,29,29,29,0,False
foreign_hitter,P1_rebuild_source_file_before_video,medical_current_status_source,29,29,29,0,False
foreign_hitter,P1_rebuild_source_file_before_video,of_dh_role_and_defense_source,29,29,29,0,False
foreign_hitter,P1_rebuild_source_file_before_video,recent_video_or_scouting_report,29,29,29,0,False
foreign_hitter,P2_hold_until_core_source_file_exists,contract_access_source,1,1,1,0,False
foreign_hitter,P2_hold_until_core_source_file_exists,current_stat_page,1,1,1,0,False
foreign_hitter,P2_hold_until_core_source_file_exists,korea_or_overseas_willingness_source_if_available,1,1,1,0,False
foreign_hitter,P2_hold_until_core_source_file_exists,medical_current_status_source,1,1,1,0,False
foreign_hitter,P2_hold_until_core_source_file_exists,of_dh_role_and_defense_source,1,1,1,0,False
foreign_hitter,P2_hold_until_core_source_file_exists,recent_video_or_scouting_report,1,1,1,0,False
foreign_pitcher,P1_rebuild_source_file_before_video,contract_access_source,40,40,40,0,False
foreign_pitcher,P1_rebuild_source_file_before_video,current_stat_page,40,40,40,0,False
foreign_pitcher,P1_rebuild_source_file_before_video,korea_or_overseas_willingness_source_if_available,40,40,40,0,False
foreign_pitcher,P1_rebuild_source_file_before_video,medical_current_status_source,40,40,40,0,False
foreign_pitcher,P1_rebuild_source_file_before_video,recent_video_or_scouting_report,40,40,40,0,False
foreign_pitcher,P1_rebuild_source_file_before_video,transaction_or_roster_status_source,40,40,40,0,False
foreign_pitcher,P1_rebuild_source_file_before_video,workload_starter_runway_source,40,40,40,0,False
foreign_pitcher,P2_hold_until_core_source_file_exists,contract_access_source,1,1,1,0,False
foreign_pitcher,P2_hold_until_core_source_file_exists,current_stat_page,1,1,1,0,False
foreign_pitcher,P2_hold_until_core_source_file_exists,korea_or_overseas_willingness_source_if_available,1,1,1,0,False
foreign_pitcher,P2_hold_until_core_source_file_exists,medical_current_status_source,1,1,1,0,False
foreign_pitcher,P2_hold_until_core_source_file_exists,recent_video_or_scouting_report,1,1,1,0,False
foreign_pitcher,P2_hold_until_core_source_file_exists,transaction_or_roster_status_source,1,1,1,0,False
foreign_pitcher,P2_hold_until_core_source_file_exists,workload_starter_runway_source,1,1,1,0,False
