fit_slot,source_type,target_manual_field,required_rows,cards
foreign_hitter,contract_access_source,contract_source_url,31,31
foreign_hitter,current_stat_page,stat_source_url_1,31,31
foreign_hitter,korea_or_overseas_willingness_source_if_available,korea_willingness_source_url,31,31
foreign_hitter,medical_current_status_source,medical_source_url,31,31
foreign_hitter,of_dh_role_and_defense_source,video_source_url_2,31,31
foreign_hitter,recent_video_or_scouting_report,video_source_url_1,31,31
foreign_pitcher,contract_access_source,contract_source_url,41,41
foreign_pitcher,current_stat_page,stat_source_url_1,41,41
foreign_pitcher,korea_or_overseas_willingness_source_if_available,korea_willingness_source_url,41,41
foreign_pitcher,medical_current_status_source,medical_source_url,41,41
foreign_pitcher,recent_video_or_scouting_report,video_source_url_1,41,41
foreign_pitcher,transaction_or_roster_status_source,stat_source_url_2,41,41
foreign_pitcher,workload_starter_runway_source,stat_source_url_2,41,41
