slot,candidate_release_policy_v2,milb_role_continuity_bucket,rows,has_milb_track,median_milb_role_context_score,median_market_access_score_v2,median_final_priority_score
regular_foreign_hitter_outfield_priority,market_watch_low_access,no_2026_milb_track,243,243,42.75,10.0,29.347370443599388
regular_foreign_hitter_outfield_priority,research_lead_only_manual_check_required,current_aaa_regular,83,83,75.073,75.0,42.37851947120379
regular_foreign_hitter_outfield_priority,hold_medical_context_required,no_2026_milb_track,68,68,36.625,15.0,24.976529338557597
regular_foreign_hitter_outfield_priority,research_lead_only_manual_check_required,current_aaa_part_time,59,59,62.277,75.0,45.532025906652166
regular_foreign_hitter_outfield_priority,hold_medical_context_required,current_aaa_tiny_sample,56,56,54.4705,15.0,25.774349906593653
regular_foreign_hitter_outfield_priority,market_watch_manual_check_required,no_2026_milb_track,51,51,46.25,45.0,32.05027234271573
regular_foreign_hitter_outfield_priority,market_watch_low_access,current_aaa_part_time,42,42,66.5585,14.0,23.309372735983516
regular_foreign_hitter_outfield_priority,market_watch_low_access,current_aaa_regular,39,39,78.316,14.0,22.22499878442909
regular_foreign_hitter_outfield_priority,hold_medical_context_required,current_aaa_part_time,20,20,62.680499999999995,17.0,21.419848871880532
regular_foreign_hitter_outfield_priority,research_lead_only_manual_check_required,current_aaa_tiny_sample,20,20,57.575,39.0,45.101078683331366
regular_foreign_hitter_outfield_priority,market_watch_low_access,current_aaa_tiny_sample,12,12,58.2785,14.0,20.31292556316061
regular_foreign_hitter_outfield_priority,research_lead_only_manual_check_required,no_2026_milb_track,10,10,46.25,65.0,35.92765447284573
regular_foreign_hitter_outfield_priority,hold_medical_context_required,recent_2025_2026_track_noncurrent,9,9,54.43,14.0,23.843594127012835
regular_foreign_hitter_outfield_priority,hold_medical_context_required,current_aaa_regular,5,5,79.119,19.0,18.78407200695534
regular_foreign_hitter_outfield_priority,market_watch_low_access,no_milb_stats_found,4,0,20.0,10.0,20.345685718311465
regular_foreign_hitter_outfield_priority,hold_medical_context_required,current_lower_level_risk,3,3,57.33,14.0,27.7361171044982
regular_foreign_hitter_outfield_priority,market_watch_manual_check_required,current_aaa_part_time,3,3,56.394,45.0,33.26027131987209
regular_foreign_hitter_outfield_priority,hold_medical_context_required,no_milb_stats_found,2,0,20.0,12.5,33.660161666870515
regular_foreign_hitter_outfield_priority,research_lead_only_manual_check_required,recent_2025_2026_track_noncurrent,2,2,64.324,75.0,48.789812564567306
regular_foreign_hitter_outfield_priority,market_watch_low_access,current_lower_level_risk,1,1,66.1,30.0,48.19388625833841
regular_foreign_hitter_outfield_priority,market_watch_low_access,recent_2025_2026_track_noncurrent,1,1,80.836,14.0,29.82649966493568
regular_foreign_hitter_outfield_priority,market_watch_manual_check_required,current_aaa_regular,1,1,67.339,35.0,31.450080312922267
regular_foreign_hitter_outfield_priority,research_lead_only_manual_check_required,current_lower_level_risk,1,1,25.03,75.0,45.906996397046626
regular_foreign_hitter_outfield_priority,research_lead_only_manual_check_required,no_milb_stats_found,1,0,20.0,75.0,34.19242527173913
regular_foreign_pitcher,market_watch_low_access,no_2026_milb_track,228,228,43.0,10.0,35.46495468302959
regular_foreign_pitcher,hold_medical_context_required,no_2026_milb_track,120,120,43.0,15.0,25.162295442695495
