slot,market_availability_bucket,candidate_release_policy_v2,rows,median_market_access_score_v2,median_final_priority_score,recent_release_or_dfa,recent_minor_contract,recent_medical_signal
regular_foreign_hitter_outfield_priority,active_or_mlb_locked_low_access,market_watch_low_access,261,10.0,28.858648459014404,0,0,0
regular_foreign_hitter_outfield_priority,medical_watch_hold,hold_medical_context_required,163,15.0,24.083919459306895,0,1,154
regular_foreign_hitter_outfield_priority,optional_movement_watch,research_lead_only_manual_check_required,68,39.0,40.17375454402977,0,0,0
regular_foreign_hitter_outfield_priority,non40man_org_candidate,research_lead_only_manual_check_required,51,75.0,44.15481279917364,0,0,0
regular_foreign_hitter_outfield_priority,optional_movement_watch,market_watch_low_access,49,14.0,24.94546366443288,0,0,0
regular_foreign_hitter_outfield_priority,recently_released_or_dfa_high_access,research_lead_only_manual_check_required,48,100.0,44.782184741571136,10,12,0
regular_foreign_hitter_outfield_priority,no_recent_transaction_unknown,market_watch_manual_check_required,33,45.0,32.05027234271573,0,0,0
regular_foreign_hitter_outfield_priority,recently_released_or_dfa_high_access,market_watch_low_access,25,30.0,18.040410791322984,3,4,4
regular_foreign_hitter_outfield_priority,transaction_seen_no_access_signal,market_watch_manual_check_required,19,45.0,31.718787265989928,0,0,0
regular_foreign_hitter_outfield_priority,minor_contract_or_outright_follow,research_lead_only_manual_check_required,9,85.0,47.4689525629658,0,7,0
regular_foreign_hitter_outfield_priority,non40man_org_candidate,market_watch_low_access,4,30.0,42.93537056430712,0,0,0
regular_foreign_hitter_outfield_priority,40man_locked_medium_low_access,market_watch_manual_check_required,3,35.0,45.99158700523016,0,0,0
regular_foreign_hitter_outfield_priority,minor_contract_or_outright_follow,market_watch_low_access,2,20.0,17.26430698221647,0,2,0
regular_foreign_hitter_outfield_priority,40man_locked_medium_low_access,market_watch_low_access,1,30.0,56.59354315227834,0,0,0
regular_foreign_pitcher,medical_watch_hold,hold_medical_context_required,279,15.0,25.63052956249921,0,5,234
regular_foreign_pitcher,active_or_mlb_locked_low_access,market_watch_low_access,252,10.0,30.746902620789175,0,0,0
regular_foreign_pitcher,optional_movement_watch,research_lead_only_manual_check_required,121,39.0,40.60988577242446,0,0,0
regular_foreign_pitcher,recently_released_or_dfa_high_access,research_lead_only_manual_check_required,71,100.0,48.72528311995044,11,25,0
regular_foreign_pitcher,optional_movement_watch,market_watch_low_access,68,14.0,26.68594189445637,0,0,0
regular_foreign_pitcher,non40man_org_candidate,research_lead_only_manual_check_required,60,75.0,46.609892359358824,0,0,0
regular_foreign_pitcher,transaction_seen_no_access_signal,market_watch_manual_check_required,57,45.0,36.71898128162151,0,0,0
regular_foreign_pitcher,no_recent_transaction_unknown,market_watch_manual_check_required,42,45.0,34.982549859715185,0,0,0
regular_foreign_pitcher,recently_released_or_dfa_high_access,market_watch_low_access,38,30.0,23.953081055436314,3,7,9
regular_foreign_pitcher,minor_contract_or_outright_follow,research_lead_only_manual_check_required,13,85.0,46.260296391778695,0,12,0
regular_foreign_pitcher,minor_contract_or_outright_follow,market_watch_low_access,4,20.0,17.36810204411152,0,4,0
regular_foreign_pitcher,non40man_org_candidate,market_watch_low_access,3,30.0,48.442486785308176,0,0,0
regular_foreign_pitcher,40man_locked_medium_low_access,market_watch_manual_check_required,1,35.0,43.16574196242002,0,0,0
