type_code,type_desc,rows,players,first_date,last_date,released,declared_free_agency,dfa,minor_contract,injured_list
ASG,Assigned,3009,2710,2025-10-08,2026-06-13,0,0,0,0,0
SC,Status Change,2172,1325,2025-10-01,2026-06-13,0,0,0,0,909
SFA,Signed as Free Agent,1958,1852,2025-10-02,2026-06-12,0,0,0,1772,0
NUM,Number Change,1651,822,2025-12-08,2026-05-20,0,0,0,0,0
OPT,Optioned,790,480,2025-12-05,2026-06-12,0,0,0,0,0
CU,Recalled,420,286,2025-10-03,2026-06-13,0,0,0,0,0
TR,Trade,353,259,2025-11-03,2026-06-11,0,0,0,0,0
DES,Designated for Assignment,353,251,2025-10-13,2026-06-12,0,0,353,0,0
SE,Selected,318,303,2025-11-03,2026-06-12,0,0,0,0,0
DFA,Declared Free Agency,260,253,2025-10-06,2026-06-01,0,260,0,0,0
OUT,Outrighted,219,191,2025-10-01,2026-06-12,0,0,0,0,0
CLW,Claimed Off Waivers,122,72,2025-10-13,2026-06-12,0,0,0,0,0
REL,Released,61,60,2025-11-04,2026-06-12,61,0,0,0,0
R5M,Rule 5 Draft Minors,55,55,2025-12-10,2025-12-10,0,0,0,0,0
R5,Rule 5 Selection,13,13,2025-12-10,2025-12-10,0,0,0,0,0
RTN,Returned,12,11,2025-11-12,2026-06-03,0,0,0,0,0
SGN,Signed,8,8,2026-05-07,2026-06-10,0,0,0,0,0
ACQ,Acquired,7,7,2026-02-12,2026-06-12,0,0,0,0,0
OBT,Obtained,7,7,2026-05-11,2026-06-06,0,0,0,0,0
RET,Retired,4,4,2025-11-02,2026-04-25,0,0,0,0,0
PUR,Purchase,3,3,2026-03-12,2026-05-01,0,0,0,0,0
SU,Suspension,3,3,2026-04-08,2026-05-05,0,0,0,0,0
CP,Contract Purchased,1,1,2026-05-01,2026-05-01,0,0,0,0,0
