Player,Position,Debut season,NPB Team(s),Nationality,Notes,source_url,source_league,normalized_player_name
Albert Abreu,RHP,2024,Saitama Seibu Lions (2024) Chunichi Dragons (2026–present),Dominican Republic,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,albert abreu
Stiven Acevedo,OF,2025,Chiba Lotte Marines (2025–present),Dominican Republic,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,stiven acevedo
Alberto Baldonado,LHP,2023,Yomiuri Giants (2023–present),Panama,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,alberto baldonado
Trey Cabbage,OF/1B,2025,Yomiuri Giants (2025–present),United States of America,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,trey cabbage
Orlando Calixte,UTL,2023,Chunichi Dragons (2023–present),Dominican Republic,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,orlando calixte
Sung Chia-hao,RHP,2017,Tohoku Rakuten Golden Eagles (2017–present),Taiwan,NPB All-Star (2021),https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,sung chia hao
Johan Domínguez,RHP,2025,Hiroshima Carp (2025),Dominican Republic,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,johan dominguez
Jeter Downs,IF,2024,Fukuoka SoftBank Hawks (2024–present),Colombia,Japan Series champion (2025),https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,jeter downs
Jon Duplantier,RHP,2025,Hanshin Tigers (2025) Yokohama DeNA BayStars (2026–present),United States of America,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,jon duplantier
Anderson Espinoza,RHP,2024,Orix Buffaloes (2024–present),Venezuela,NPB All-Star (2024),https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,anderson espinoza
Sandro Fabian,OF,2025,Hiroshima Toyo Carp (2025–present),Dominican Republic,NPB All-Star (2025),https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,sandro fabian
Oscar González,OF,2025,Tohoku Rakuten Golden Eagles (2025–present),Dominican Republic,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,oscar gonzalez
Ruei Yang Gu Lin,RHP,2025,Hokkaido Nippon-Ham Fighters (2025–present),Taiwan,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,ruei yang gu lin
Taylor Hearn,LHP,2024,Hiroshima Toyo Carp (2024–present),United States of America,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,taylor hearn
Darwinzon Hernández,LHP,2023,Fukuoka SoftBank Hawks (2023–present),Venezuela,Japan Series champion (2025),https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,darwinzon hernandez
Spencer Howard,RHP,2025,Tohoku Rakuten Golden Eagles (2025) Yomiuri Giants (2026–present),United States of America,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,spencer howard
Andre Jackson,RHP,2024,Yokohama DeNA BayStars (2024–2025) Chiba Lotte Marines (2026–present),United States of America,Japan Series champion (2024) NPB All-Star (2025),https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,andre jackson
Andrés Machado,RHP,2024,Orix Buffaloes (2024–present),Venezuela,NPB All-Star (2024),https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,andres machado
Ariel Martínez,C/OF,2020,Chunichi Dragons (2018–2022) Hokkaido Nippon-Ham Fighters (2023–present),Cuba,"2x NPB All-Star (2023, 2024) NPB All-Star Game Fighting Spirit Award (2023)",https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,ariel martinez
Raidel Martínez,RHP,2018,Chunichi Dragons (2018–2024) Yomiuri Giants (2025–present),Cuba,"4× NPB All-Star (2022–2025) 3× NPB Saves Leader (2022, 2024–2025)",https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,raidel martinez
Humberto Mejía,RHP,2023,Chunichi Dragons (2023–present),Panama,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,humberto mejia
Liván Moinelo,LHP,2017,Fukuoka SoftBank Hawks (2017–present),Cuba,"PL MVP (2025) PL Best Relief Pitcher Award (2020) PL hold leader (2020) NPB Golden Glove Award (2024) PL ERA leader (2024) 5× Japan Series champion (2017–2020, 2025) 2x NPB All-Star (2022, 2025)",https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,livan moinelo
Elehuris Montero,IF,2025,Hiroshima Toyo Carp (2025–present),Dominican Republic,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,elehuris montero
Kyle Muller,LHP,2025,Chunichi Dragons (2025–present),United States of America,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,kyle muller
Tyler Nevin,IF,2025,Saitama Seibu Lions (2025–present),United States of America,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,tyler nevin
José Osuna,UTL,2021,Tokyo Yakult Swallows (2021–present),Venezuela,Japan Series champion (2021),https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,jose osuna
Luis Perdomo,RHP,2023,Chiba Lotte Marines (2023) Orix Buffaloes (2024–present),Dominican Republic,NPB All-Star (2023),https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,luis perdomo
Gregory Polanco,OF,2022,Yomiuri Giants (2022) Chiba Lotte Marines (2023–present),Dominican Republic,NPB All-Star (2024),https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,gregory polanco
Emmanuel Ramírez,RHP,2025,Saitama Seibu Lions (2025–present),Dominican Republic,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,emmanuel ramirez
Carson Ragsdale,RHP,2026,Hanshin Tigers (2026–present),United States of America,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,carson ragsdale
