level,stat_type,npb_league,npb_market_role_bucket,rows,unique_players,known_foreign_seed,known_asian_quota_pass
npb_farm,batting,PL,inventory_only,309,309,8,2
npb_farm,batting,CL,inventory_only,274,274,10,0
npb_farm,batting,PL,npb_part_time_batter,75,75,3,0
npb_farm,batting,CL,npb_part_time_batter,69,69,2,0
npb_farm,batting,CL,npb_regular_batter,58,58,0,0
npb_farm,batting,PL,npb_regular_batter,50,50,2,1
npb_farm,pitching,PL,inventory_only,104,104,3,0
npb_farm,pitching,CL,npb_pitcher_10_30ip,91,91,2,0
npb_farm,pitching,CL,inventory_only,85,85,4,0
npb_farm,pitching,PL,npb_pitcher_10_30ip,81,81,3,1
npb_farm,pitching,PL,npb_pitcher_30ip_plus,31,31,1,1
npb_farm,pitching,CL,npb_pitcher_30ip_plus,29,29,1,0
npb_first_team,batting,CL,inventory_only,219,219,8,0
npb_first_team,batting,PL,inventory_only,215,215,12,3
npb_first_team,batting,PL,npb_regular_batter,61,61,4,0
npb_first_team,batting,CL,npb_regular_batter,57,57,6,0
npb_first_team,batting,CL,npb_part_time_batter,35,35,2,0
npb_first_team,batting,PL,npb_part_time_batter,30,30,1,0
npb_first_team,pitching,CL,npb_pitcher_10_30ip,72,72,3,0
npb_first_team,pitching,PL,npb_pitcher_10_30ip,62,62,3,0
npb_first_team,pitching,PL,inventory_only,56,56,4,2
npb_first_team,pitching,CL,inventory_only,53,53,4,0
npb_first_team,pitching,PL,npb_pitcher_30ip_plus,38,38,2,0
npb_first_team,pitching,CL,npb_pitcher_30ip_plus,32,32,1,0
