Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,raw_player_name,player_name,npb_left_marker,normalized_player_name,source_league,npb_league,team_code,team_name,level,stat_type,source_url,source_confidence,ops,iso,bb_pct,so_pct,hr_per_pa,sb_attempts,sb_success_pct,run_kill_proxy,regular_playing_time_flag,Pitcher,W,L,SV,HLD,CG,SHO,NWG,PCT,BF,IP,HB,WP,BK,ER,ERA,ip_float,whip_calc,k_pct,k_minus_bb_pct,k_per_9,bb_per_9,hr_per_9,starter_workload_proxy,traffic_command_proxy
"Akahoshi, Yuji",18,2.0,2.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,"Akahoshi, Yuji","Akahoshi, Yuji",False,yuji akahoshi,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,0.0,0.5,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Asano, Shogo",3,10.0,10.0,0,1,1.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2,0.0,0.1,0.2,0.1,"Asano, Shogo","Asano, Shogo",False,shogo asano,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.30000000000000004,0.1,0.0,0.2,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Cabbage, Trey",62,239.0,230.0,25,57,9.0,0.0,12,102.0,26.0,4.0,3.0,0.0,0.0,6,0,3.0,82,3.0,0.248,0.443,0.276,"*Cabbage, Trey","Cabbage, Trey",True,trey cabbage,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.7190000000000001,0.195,0.02510460251046025,0.34309623430962344,0.0502092050209205,7.0,0.5714285714285714,6.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
"Dalbec, Bobby",60,242.0,213.0,29,53,11.0,1.0,11,99.0,33.0,0.0,0.0,0.0,1.0,27,0,1.0,77,3.0,0.249,0.465,0.335,"Dalbec, Bobby","Dalbec, Bobby",False,bobby dalbec,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.8,0.21600000000000003,0.1115702479338843,0.3181818181818182,0.045454545454545456,0.0,,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
"*Funabasama, Hiromasa",20,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"*Funabasama, Hiromasa","Funabasama, Hiromasa",True,hiromasa funabasama,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,,,,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Hagio, Masaya",4,3.0,2.0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0.333,"Hagio, Masaya","Hagio, Masaya",False,masaya hagio,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.333,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Hirayama, Kota",25,83.0,79.0,11,23,3.0,1.0,2,34.0,9.0,3.0,0.0,0.0,0.0,3,0,1.0,16,0.0,0.291,0.43,0.325,"Hirayama, Kota","Hirayama, Kota",False,kota hirayama,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.755,0.139,0.03614457831325301,0.1927710843373494,0.024096385542168676,3.0,1.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Hotta, Kenshin",9,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"Hotta, Kenshin","Hotta, Kenshin",False,kenshin hotta,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,,,,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Howard, Spencer",2,2.0,2.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,"Howard, Spencer","Howard, Spencer",False,spencer howard,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Inoue, Haruto",9,17.0,15.0,0,1,0.0,0.0,0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0.0,6,0.0,0.067,0.067,0.063,"*Inoue, Haruto","Inoue, Haruto",True,haruto inoue,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.13,0.0,0.0,0.35294117647058826,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Ishikawa, Tatsuya",6,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"Ishikawa, Tatsuya","Ishikawa, Tatsuya",False,tatsuya ishikawa,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,,,,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Ishizuka, Yusei",3,11.0,11.0,1,1,0.0,1.0,0,3.0,2.0,0.0,0.0,0.0,0.0,0,0,0.0,4,0.0,0.091,0.273,0.091,"Ishizuka, Yusei","Ishizuka, Yusei",False,yusei ishizuka,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.364,0.18200000000000002,0.0,0.36363636363636365,0.0,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Izuguchi, Yuta",49,198.0,176.0,21,37,6.0,1.0,3,54.0,12.0,4.0,0.0,1.0,1.0,17,0,3.0,29,3.0,0.21,0.307,0.289,"*Izuguchi, Yuta","Izuguchi, Yuta",True,yuta izuguchi,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.596,0.097,0.08585858585858586,0.14646464646464646,0.015151515151515152,4.0,1.0,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
"Izumi, Keisuke",2,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"Izumi, Keisuke","Izumi, Keisuke",False,keisuke izumi,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,,,,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Kadowaki, Makoto",38,32.0,31.0,6,4,1.0,1.0,0,7.0,0.0,1.0,1.0,1.0,0.0,0,0,0.0,4,0.0,0.129,0.226,0.129,"*Kadowaki, Makoto","Kadowaki, Makoto",True,makoto kadowaki,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.355,0.097,0.0,0.125,0.0,2.0,0.5,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Kishida, Yukinori",36,124.0,108.0,9,31,1.0,0.0,3,41.0,13.0,0.0,0.0,4.0,2.0,9,1,1.0,20,3.0,0.287,0.38,0.342,"Kishida, Yukinori","Kishida, Yukinori",False,yukinori kishida,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.722,0.09300000000000003,0.07258064516129033,0.16129032258064516,0.024193548387096774,0.0,,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
"*Kitaura, Ryuji",11,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"*Kitaura, Ryuji","Kitaura, Ryuji",True,ryuji kitaura,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,,,,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobayashi, Seiji",6,7.0,6.0,0,1,1.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1,1.0,0.167,0.333,0.286,"Kobayashi, Seiji","Kobayashi, Seiji",False,seiji kobayashi,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.619,0.166,0.14285714285714285,0.14285714285714285,0.0,0.0,,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Kohama, Yuto",9,28.0,26.0,2,5,1.0,0.0,0,6.0,5.0,0.0,0.0,0.0,0.0,2,0,0.0,6,1.0,0.192,0.231,0.25,"Kohama, Yuto","Kohama, Yuto",False,yuto kohama,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.481,0.03900000000000001,0.07142857142857142,0.21428571428571427,0.0,0.0,,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"Luciano, Elvis",11,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"Luciano, Elvis","Luciano, Elvis",False,elvis luciano,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,,,,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Martinez, Raidel",24,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,"*Martinez, Raidel","Martinez, Raidel",True,raidel martinez,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.0,0.0,,,,0.0,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
"*Maru, Yoshihiro",26,55.0,48.0,4,8,1.0,0.0,2,15.0,12.0,0.0,1.0,0.0,0.0,7,0,0.0,11,0.0,0.167,0.313,0.273,"*Maru, Yoshihiro","Maru, Yoshihiro",True,yoshihiro maru,NPB,CL,g,Yomiuri Giants,npb_first_team,batting,https://npb.jp/bis/eng/2026/stats/idb1_g.html,4,0.5860000000000001,0.146,0.12727272727272726,0.2,0.03636363636363636,1.0,0.0,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,
