source_league,team_code,team_name,roster_no,player_name,normalized_player_name,position_group,position,born,height_cm,weight_kg,throws,bats,note,person_url,source_url,source_confidence
NPB,g,Yomiuri Giants,31,"Akahoshi, Yuji",yuji akahoshi,Pitchers,Pitcher,"Jul. 2, 1999",175,82,R,R,,https://npb.jp/bis/eng/players/51155155.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,49,"Baldonado, Alberto",alberto baldonado,Pitchers,Pitcher,"Feb. 1, 1993",196,122,L,L,,https://npb.jp/bis/eng/players/23225157.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,58,"Funabasama, Hiromasa",hiromasa funabasama,Pitchers,Pitcher,"Oct. 16, 1996",174,80,R,L,,https://npb.jp/bis/eng/players/31835157.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,66,"Heinai, Ryuta",ryuta heinai,Pitchers,Pitcher,"Aug. 1, 1998",185,95,R,R,,https://npb.jp/bis/eng/players/21825153.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,91,"Hotta, Kenshin",kenshin hotta,Pitchers,Pitcher,"May 21, 2001",186,90,R,R,,https://npb.jp/bis/eng/players/21625151.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,28,"Howard, Spencer",spencer howard,Pitchers,Pitcher,"Jul. 28, 1996",190,95,R,R,,https://npb.jp/bis/eng/players/23725150.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,97,"Inoue, Haruto",haruto inoue,Pitchers,Pitcher,"May 13, 2001",176,86,L,L,,https://npb.jp/bis/eng/players/51355151.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,65,"Ishikawa, Tatsuya",tatsuya ishikawa,Pitchers,Pitcher,"Apr. 15, 1998",178,83,L,R,,https://npb.jp/bis/eng/players/61165153.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,63,"Izumi, Keisuke",keisuke izumi,Pitchers,Pitcher,"Mar. 2, 1997",188,87,R,R,,https://npb.jp/bis/eng/players/01105138.html,https://npb.jp/bis/eng/teams/rst_g.html,4
NPB,g,Yomiuri Giants,56,"Kitaura, Ryuji",ryuji kitaura,Pitchers,Pitcher,"Jan. 12, 2000",184,103,L,L,,https://npb.jp/bis/eng/players/01505136.html,https://npb.jp/bis/eng/teams/rst_g.html,4
