path,source_group,extension,size_bytes,size_mb,row_count_estimate,sha256_1mb_prefix,git_tracked,git_ignored_or_untracked,publish_policy,note
data/external/kbo_abs_paper/result/2021_umpire_params_and_intervals.csv,External ABS paper replication data,csv,11502,0.011,31,5449b0b2b72fcf44,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/kbo_abs_paper/result/2022_umpire_params_and_intervals.csv,External ABS paper replication data,csv,12206,0.012,33,d1d6b664ffec5d70,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/kbo_abs_paper/result/2023_umpire_params_and_intervals.csv,External ABS paper replication data,csv,12216,0.012,33,a51d1c67d7362d80,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/kbo_abs_paper/result/2024_umpire_params_and_intervals.csv,External ABS paper replication data,csv,13220,0.013,36,476c4b9b5c780101,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/kbo_abs_paper/result/mlb_kbo.csv,External ABS paper replication data,csv,398,0.0,6,aa3b17f3aaee3a0c,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/kbo_foreign_players/wiki_templates/ko_wiki_kbo_foreign_players_2017.html,Wikipedia templates,html,68740,0.066,,d65ab2186e283aea,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/kbo_foreign_players/wiki_templates/ko_wiki_kbo_foreign_players_2018.html,Wikipedia templates,html,67980,0.065,,da101b73026bfc55,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/kbo_foreign_players/wiki_templates/ko_wiki_kbo_foreign_players_2019.html,Wikipedia templates,html,70005,0.067,,84578e43cff57d42,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/kbo_foreign_players/wiki_templates/ko_wiki_kbo_foreign_players_2020.html,Wikipedia templates,html,68010,0.065,,ff0fbd935727a97f,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/kbo_foreign_players/wiki_templates/ko_wiki_kbo_foreign_players_2021.html,Wikipedia templates,html,69417,0.066,,4482f3c4932fbe9d,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/kbo_foreign_players/wiki_templates/ko_wiki_kbo_foreign_players_2022.html,Wikipedia templates,html,70275,0.067,,34664bafaf323419,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/kbo_foreign_players/wiki_templates/ko_wiki_kbo_foreign_players_2023.html,Wikipedia templates,html,70271,0.067,,8d6255da4ccf3668,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/kbo_foreign_players/wiki_templates/ko_wiki_kbo_foreign_players_2024.html,Wikipedia templates,html,70931,0.068,,519443698f4750cf,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/kbo_foreign_players/wiki_templates/ko_wiki_kbo_foreign_players_2025.html,Wikipedia templates,html,70938,0.068,,fe8984a3f27d2cb5,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/kbo_foreign_players/wiki_templates/ko_wiki_kbo_foreign_players_2026.html,Wikipedia templates,html,71669,0.068,,b888470d6be3fa5a,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/external/literature/kbo_abs_impact_arxiv_2024.pdf,Literature PDFs,pdf,4486472,4.279,,839dcbd7e8a50e05,False,True,do_not_public_git,PDF redistribution may be copyright-sensitive; cite source and share links.
data/external/literature/kbo_abs_impact_scientific_reports_2025.pdf,Literature PDFs,pdf,4999123,4.768,,97df39b5d955801a,False,True,do_not_public_git,PDF redistribution may be copyright-sensitive; cite source and share links.
data/external/literature/kbo_foreign_pitcher_renewal_ml_2022_jkdi.pdf,Literature PDFs,pdf,1112526,1.061,,0633ac8a6cef18fb,False,True,do_not_public_git,PDF redistribution may be copyright-sensitive; cite source and share links.
data/external/literature/kbo_foreign_player_adaptation_snu_thesis.pdf,Literature PDFs,pdf,1759197,1.678,,839a60db6262d2ad,False,True,do_not_public_git,PDF redistribution may be copyright-sensitive; cite source and share links.
data/external/literature/kbo_market_inefficiency_2022_kais.pdf,Literature PDFs,pdf,402495,0.384,,fbee6b185edf1d1b,False,True,do_not_public_git,PDF redistribution may be copyright-sensitive; cite source and share links.
data/processed/kbo/kbo_foreign_player_season_labels_v0_1.csv,Processed KBO labels,csv,210376,0.201,406,d33a5761abc72744,False,True,private_or_regenerate,"Not tracked in public repo; use source log, scripts, or shared drive."
data/processed/mlb_milb/savant/savant_statcast_2022.parquet,Baseball Savant/Statcast,parquet,86732305,82.714,0,ba81b12213a27171,False,True,large_or_regenerable,"Large generated/downloaded file; use Git LFS, Release, or shared drive if raw access is required."
