game_year,pitcher,player_name,pa,pitch,hit,walk,hbp,strikeout,home_run,swing,whiff,zone_pitch,out_zone_pitch,chase_swing,first_pitch,first_pitch_nonball,three_ball_pitch,bbe,hardhit,barrel,woba_num,woba_den,xwoba_num,xslg_num,x_metric_den,early_1_3_pa,early_1_3_woba_num,early_1_3_woba_den,early_1_3_bbe,early_1_3_xwoba_num,early_1_3_x_metric_den,runner_on_base_pa,runner_on_base_woba_num,runner_on_base_woba_den,runner_on_base_bbe,runner_on_base_xwoba_num,runner_on_base_x_metric_den,risp_pa,risp_woba_num,risp_woba_den,risp_bbe,risp_xwoba_num,risp_x_metric_den,third_time_pa,third_time_woba_num,third_time_woba_den,third_time_bbe,third_time_xwoba_num,third_time_x_metric_den,games,start_proxy_games,avg_game_pitches,avg_game_pa,max_game_pitches,games_80plus_pitches,games_90plus_pitches,games_100plus_pitches,games_20plus_pa,games_reached_third_time,bb_pct,bb_hbp_pct,k_pct,hr_pct,woba_allowed,xwoba_allowed_bbe,xslg_allowed_bbe,whiff_per_swing,chase_rate,zone_rate,first_pitch_nonball_rate,three_ball_pitch_rate,hardhit_rate,barrel_rate,start_proxy_rate,games_80plus_rate,games_20plus_pa_rate,third_time_game_rate,early_1_3_woba_allowed,early_1_3_xwoba_allowed_bbe,early_1_3_pa_rate,runner_on_base_woba_allowed,runner_on_base_xwoba_allowed_bbe,runner_on_base_pa_rate,risp_woba_allowed,risp_xwoba_allowed_bbe,risp_pa_rate,third_time_woba_allowed,third_time_xwoba_allowed_bbe,third_time_pa_rate,starter_stabilizer_score,starter_stabilizer_eligible
2025,669373,"Skubal, Tarik",748,2849,141,33,5,241,18,1561,474,1566,1283,451,750,535,154,468,155,38,185.8,745.0,165.78865795547168,242.382,466,346,74.9,345.0,212,71.15350478696581,211,228,69.9,226.0,135,54.319979955354825,133,115,27.75,114.0,64,22.722575595238094,63,193,57.45,191.0,124,48.332253103368245,123,31,31,91.90322580645162,24.129032258064516,105,29,26,3,30,30,0.04411764705882353,0.05080213903743316,0.32219251336898397,0.02406417112299465,0.24939597315436243,0.35576965226496066,0.5201330472103004,0.3036515054452274,0.35151987529228373,0.5496665496665497,0.7133333333333334,0.05405405405405406,0.3311965811965812,0.0811965811965812,1.0,0.9354838709677419,0.967741935483871,0.967741935483871,0.21710144927536235,0.3372204018339612,0.4625668449197861,0.30929203539823014,0.4084209019199611,0.3048128342245989,0.24342105263157895,0.36067580309901737,0.1537433155080214,0.3007853403141361,0.39294514718185564,0.2580213903743315,86.25763206134818,True
2025,650911,"Sánchez, Cristopher",807,2897,171,44,6,212,12,1433,408,1499,1397,442,809,529,159,542,217,31,220.15,802.0,183.5580763162207,259.004,540,375,95.05,372.0,233,83.46130358311258,232,318,84.85,314.0,213,67.79248733600454,211,150,36.4,148.0,89,25.15674318652362,88,238,66.05,236.0,171,58.32243440542672,170,32,32,90.53125,25.21875,106,30,18,5,30,30,0.05452292441140025,0.061957868649318466,0.26270136307311026,0.01486988847583643,0.27450124688279304,0.33992236354855687,0.4796370370370371,0.2847173761339846,0.31639226914817464,0.5174318260269244,0.65389369592089,0.05488436313427684,0.4003690036900369,0.05719557195571956,1.0,0.9375,0.9375,0.9375,0.255510752688172,0.3597469982030715,0.4646840148698885,0.2702229299363057,0.32129140917537696,0.3940520446096654,0.24594594594594593,0.28587208166504113,0.18587360594795538,0.2798728813559322,0.3430731435613336,0.2949194547707559,84.66307235854602,True
2025,694973,"Skenes, Paul",733,2997,136,42,6,216,11,1488,415,1520,1477,451,733,446,243,466,188,27,188.75,730.0,152.8710891933115,218.681,466,375,94.35,374.0,234,74.06909572538684,234,268,64.7,267.0,170,49.209117517738726,170,137,33.1,137.0,93,27.92293001773873,93,159,47.85,157.0,105,39.92954068021484,105,32,32,93.65625,22.90625,108,28,24,8,30,31,0.0572987721691678,0.06548431105047749,0.2946793997271487,0.015006821282401092,0.2585616438356164,0.32804954762513194,0.46927253218884124,0.27889784946236557,0.3053486797562627,0.5071738405071738,0.6084583901773534,0.08108108108108109,0.4034334763948498,0.05793991416309013,1.0,0.875,0.9375,0.96875,0.25227272727272726,0.3165345971170378,0.5115961800818554,0.24232209737827717,0.289465397163169,0.3656207366984993,0.2416058394160584,0.30024655933052397,0.1869031377899045,0.30477707006369426,0.3802813398115699,0.21691678035470668,82.56570435536327,True
2026,660271,"Ohtani, Shohei",233,943,30,18,4,67,2,438,129,468,475,145,233,132,74,144,54,5,48.5,232.0,41.18,55.939,143,109,18.75,109.0,65,16.602,65,77,17.15,76.0,51,17.036,50,38,4.8,38.0,23,6.622,23,53,12.0,52.0,33,12.257,32,10,10,94.3,23.3,105,10,6,2,9,10,0.07725321888412018,0.0944206008583691,0.2875536480686695,0.008583690987124463,0.20905172413793102,0.287972027972028,0.3911818181818182,0.2945205479452055,0.30526315789473685,0.49628844114528103,0.5665236051502146,0.0784729586426299,0.375,0.034722222222222224,1.0,1.0,0.9,1.0,0.1720183486238532,0.2554153846153846,0.4678111587982833,0.22565789473684209,0.34072,0.33047210300429186,0.12631578947368421,0.28791304347826085,0.1630901287553648,0.23076923076923078,0.38303125,0.22746781115879827,81.87869283140998,True
2026,694819,"Misiorowski, Jacob",302,1184,41,22,7,116,4,569,197,608,574,177,303,199,94,156,50,4,65.7,301.0,50.983000000000004,68.822,156,147,30.349999999999998,147.0,68,22.458000000000002,68,108,22.85,107.0,60,18.821,60,48,8.35,47.0,25,6.6370000000000005,25,68,14.25,67.0,38,10.766,38,13,13,91.07692307692308,23.23076923076923,101,11,9,1,12,12,0.0728476821192053,0.09602649006622517,0.3841059602649007,0.013245033112582781,0.21827242524916945,0.3268141025641026,0.4411666666666667,0.3462214411247803,0.3083623693379791,0.5135135135135135,0.6567656765676567,0.07939189189189189,0.32051282051282054,0.02564102564102564,1.0,0.8461538461538461,0.9230769230769231,0.9230769230769231,0.2064625850340136,0.33026470588235296,0.4867549668874172,0.21355140186915889,0.31368333333333337,0.3576158940397351,0.17765957446808509,0.26548,0.15894039735099338,0.2126865671641791,0.2833157894736842,0.2251655629139073,81.59586264241727,True
2025,543135,"Eovaldi, Nathan",496,1924,90,21,7,129,10,973,245,1026,893,267,496,308,144,338,130,25,122.8,493.0,114.5829741908022,165.751,336,255,69.85,253.0,182,60.34544787486522,181,169,37.2,166.0,119,42.692996399617925,117,84,18.3,82.0,60,20.90192070707071,59,113,23.65,112.0,73,23.635071637574413,72,22,22,87.45454545454545,22.545454545454547,105,18,13,3,19,19,0.04233870967741935,0.056451612903225805,0.2600806451612903,0.020161290322580645,0.24908722109533468,0.34102075652024466,0.49330654761904763,0.2517985611510791,0.2989921612541993,0.5332640332640333,0.6209677419354839,0.07484407484407485,0.38461538461538464,0.07396449704142012,1.0,0.8181818181818182,0.8636363636363636,0.8636363636363636,0.2760869565217391,0.3334002645020178,0.5141129032258065,0.22409638554216868,0.3648974051249395,0.3407258064516129,0.22317073170731708,0.35426984249272386,0.1693548387096774,0.21116071428571428,0.3282648838552002,0.22782258064516128,80.87287330246302,True
2025,519242,"Sale, Chris",510,2031,102,32,11,165,11,993,271,1065,966,312,515,344,121,302,107,19,142.45,508.0,104.30327659765905,148.375,300,253,72.45,253.0,155,52.985071732499144,155,203,43.1,201.0,109,30.82609347442681,107,115,26.5,114.0,58,16.982975308641976,57,132,40.95,130.0,77,30.506112911136917,75,21,20,96.71428571428571,24.285714285714285,116,20,16,8,21,21,0.06274509803921569,0.08431372549019608,0.3235294117647059,0.021568627450980392,0.2804133858267716,0.3476775886588635,0.4945833333333333,0.2729103726082578,0.32298136645962733,0.5243722304283605,0.6679611650485436,0.05957656326932546,0.3543046357615894,0.06291390728476821,0.9523809523809523,0.9523809523809523,1.0,1.0,0.2863636363636364,0.34183917246773643,0.49607843137254903,0.21442786069651742,0.28809433153669917,0.3980392156862745,0.2324561403508772,0.2979469352393329,0.22549019607843138,0.315,0.40674817214849224,0.25882352941176473,80.83785158614415,True
2025,660271,"Ohtani, Shohei",187,753,40,8,0,62,3,375,106,398,355,103,188,118,52,116,36,4,48.6,186.0,40.8916905934026,56.294,116,139,32.65,139.0,85,27.335878093402606,85,66,16.45,66.0,39,13.569,39,33,8.4,33.0,20,6.674,20,8,3.95,8.0,7,3.564,7,14,14,53.785714285714285,13.357142857142858,91,3,1,0,2,4,0.0427807486631016,0.0427807486631016,0.3315508021390374,0.016042780748663103,0.26129032258064516,0.3525145740810569,0.4852931034482758,0.2826666666666667,0.29014084507042254,0.5285524568393094,0.6276595744680851,0.06905710491367861,0.3103448275862069,0.034482758620689655,1.0,0.21428571428571427,0.14285714285714285,0.2857142857142857,0.23489208633093525,0.32159856580473656,0.7433155080213903,0.24924242424242424,0.34792307692307695,0.35294117647058826,0.2545454545454546,0.3337,0.17647058823529413,0.49375,0.5091428571428571,0.0427807486631016,80.72214923461082,True
2026,650911,"Sánchez, Cristopher",375,1344,81,18,1,113,4,681,210,642,702,269,375,253,84,242,105,21,99.8,373.0,85.096,121.784,241,175,48.7,175.0,116,40.528,116,150,35.85,148.0,98,25.879,97,82,16.3,82.0,52,15.163,52,123,33.7,122.0,77,26.549,76,14,14,96.0,26.785714285714285,108,14,11,4,14,14,0.048,0.050666666666666665,0.30133333333333334,0.010666666666666666,0.2675603217158177,0.3530954356846473,0.5053278008298755,0.30837004405286345,0.3831908831908832,0.47767857142857145,0.6746666666666666,0.0625,0.43388429752066116,0.08677685950413223,1.0,1.0,1.0,1.0,0.2782857142857143,0.34937931034482755,0.4666666666666667,0.24222972972972973,0.2667938144329897,0.4,0.19878048780487806,0.29159615384615384,0.21866666666666668,0.2762295081967213,0.34932894736842107,0.328,80.10535836304604,True
2026,693645,"Schlittler, Cam",317,1249,57,14,1,89,4,672,166,623,623,222,317,202,91,212,88,15,75.8,314.0,71.955,102.413,210,157,35.15,154.0,103,35.704,101,101,23.65,98.0,62,21.419,60,50,10.55,49.0,29,6.823,28,66,21.25,66.0,48,17.688,48,14,14,89.21428571428571,22.642857142857142,106,10,8,2,13,13,0.04416403785488959,0.0473186119873817,0.2807570977917981,0.012618296529968454,0.24140127388535032,0.34264285714285714,0.4876809523809524,0.24702380952380953,0.3563402889245586,0.49879903923138513,0.637223974763407,0.07285828662930344,0.41509433962264153,0.07075471698113207,1.0,0.7142857142857143,0.9285714285714286,0.9285714285714286,0.22824675324675323,0.3535049504950495,0.4952681388012618,0.24132653061224488,0.3569833333333333,0.3186119873817035,0.21530612244897962,0.24367857142857144,0.15772870662460567,0.32196969696969696,0.3685,0.2082018927444795,79.96349890550447,True
