s_no_filled,game_dt,opponent_name,home_away,team_score,opp_score,win,starter_games,starter_appearances,starter_pitchers,starter_starts,starter_outs,starter_er,starter_r,starter_h,starter_hr,starter_bb,starter_hbp,starter_so,starter_tb,starter_ab,starter_sf,starter_tbf,starter_np,starter_gdp,starter_ip,starter_era,starter_ra9,starter_whip,starter_k9,starter_bb9,starter_hr9,starter_kbb,starter_avg_allowed,starter_obp_allowed,starter_slg_allowed,starter_ops_allowed,starter_ip_per_game,starter_outs_per_start,starter_pitches_per_ip,bullpen_games,bullpen_appearances,bullpen_pitchers,bullpen_starts,bullpen_outs,bullpen_er,bullpen_r,bullpen_h,bullpen_hr,bullpen_bb,bullpen_hbp,bullpen_so,bullpen_tb,bullpen_ab,bullpen_sf,bullpen_tbf,bullpen_np,bullpen_gdp,bullpen_ip,bullpen_era,bullpen_ra9,bullpen_whip,bullpen_k9,bullpen_bb9,bullpen_hr9,bullpen_kbb,bullpen_avg_allowed,bullpen_obp_allowed,bullpen_slg_allowed,bullpen_ops_allowed,bullpen_ip_per_game,bullpen_outs_per_start,bullpen_pitches_per_ip,starter_short_lt5,starter_quality_6ip_3er,starter_disaster,bullpen_ip_after_start,team_margin
20260002.0,2026-03-28,KIA,home,7.0,6.0,1,1,1,1,1,12.0,5.0,5,9,0,2,0,4,10,21,0,23.0,91,0.0,4.0,11.25,11.25,2.75,9.0,4.5,0.0,2.0,0.42857142857142855,0.4782608695652174,0.47619047619047616,0.9544513457556936,4.0,12.0,22.75,1,5,5,0,15.0,1.0,1,3,0,2,0,9,4,18,0,20.0,83,0.0,5.0,1.8,1.8,1.0,16.2,3.6,0.0,4.5,0.16666666666666666,0.25,0.2222222222222222,0.4722222222222222,5.0,,16.6,True,False,True,5.0,1.0
20260007.0,2026-03-29,KIA,home,11.0,6.0,1,1,1,1,1,15.0,2.0,2,5,0,3,0,4,8,19,0,22.0,95,0.0,5.0,3.6,3.6,1.6,7.2,5.4,0.0,1.3333333333333333,0.2631578947368421,0.36363636363636365,0.42105263157894735,0.784688995215311,5.0,15.0,19.0,1,5,5,0,12.0,4.0,4,3,2,5,0,3,9,13,0,18.0,78,0.0,4.0,9.0,9.0,2.0,6.75,11.25,4.5,0.6,0.23076923076923078,0.4444444444444444,0.6923076923076923,1.1367521367521367,4.0,,19.5,False,False,False,4.0,5.0
20260012.0,2026-03-31,키움,home,9.0,3.0,1,1,1,1,1,16.0,2.0,2,6,0,1,0,3,6,21,0,23.0,86,0.0,5.333333333333333,3.375,3.375,1.3125,5.0625,1.6875,0.0,3.0,0.2857142857142857,0.3181818181818182,0.2857142857142857,0.6038961038961039,5.333333333333333,16.0,16.125,1,4,4,0,11.0,0.0,1,3,0,1,0,4,3,13,1,15.0,76,0.0,3.6666666666666665,0.0,2.4545454545454546,1.0909090909090908,9.818181818181818,2.4545454545454546,0.0,4.0,0.23076923076923078,0.26666666666666666,0.23076923076923078,0.49743589743589745,3.6666666666666665,,20.727272727272727,False,False,False,3.6666666666666665,6.0
20260017.0,2026-04-01,키움,home,2.0,11.0,0,1,1,1,1,14.0,5.0,5,9,0,1,0,5,12,23,0,24.0,90,0.0,4.666666666666667,9.642857142857142,9.642857142857142,2.142857142857143,9.642857142857142,1.9285714285714286,0.0,5.0,0.391304347826087,0.4166666666666667,0.5217391304347826,0.9384057971014492,4.666666666666667,14.0,19.285714285714285,1,3,3,0,13.0,4.0,6,6,0,4,1,3,9,20,0,25.0,104,0.0,4.333333333333333,8.307692307692308,12.461538461538462,2.3076923076923075,6.230769230769231,8.307692307692308,0.0,0.75,0.3,0.44,0.45,0.89,4.333333333333333,,24.0,True,False,True,4.333333333333333,-9.0
20260022.0,2026-04-02,키움,home,11.0,1.0,1,1,1,1,1,15.0,0.0,0,1,0,3,0,5,1,15,0,18.0,81,0.0,5.0,0.0,0.0,0.8,9.0,5.4,0.0,1.6666666666666667,0.06666666666666667,0.2222222222222222,0.06666666666666667,0.28888888888888886,5.0,15.0,16.2,1,3,3,0,12.0,1.0,1,6,0,1,1,4,8,17,0,19.0,76,0.0,4.0,2.25,2.25,1.75,9.0,2.25,0.0,4.0,0.35294117647058826,0.42105263157894735,0.47058823529411764,0.891640866873065,4.0,,19.0,False,False,False,4.0,10.0
20260030.0,2026-04-03,롯데,away,17.0,2.0,1,1,1,1,1,21.0,2.0,2,6,0,4,0,4,7,26,0,30.0,101,0.0,7.0,2.5714285714285716,2.5714285714285716,1.4285714285714286,5.142857142857143,5.142857142857143,0.0,1.0,0.23076923076923078,0.3333333333333333,0.2692307692307692,0.6025641025641025,7.0,21.0,14.428571428571429,1,1,1,0,6.0,0.0,0,1,0,1,0,1,2,7,0,8.0,28,0.0,2.0,0.0,0.0,1.0,4.5,4.5,0.0,1.0,0.14285714285714285,0.25,0.2857142857142857,0.5357142857142857,2.0,,14.0,False,True,False,2.0,15.0
20260035.0,2026-04-04,롯데,away,7.0,6.0,1,1,1,1,1,4.0,4.0,4,3,1,3,0,0,6,5,1,9.0,38,0.0,1.3333333333333333,27.0,27.0,4.5,0.0,20.25,6.75,0.0,0.6,0.6666666666666666,1.2,1.8666666666666667,1.3333333333333333,4.0,28.5,1,6,6,0,23.0,2.0,2,4,1,6,0,6,8,27,0,33.0,133,0.0,7.666666666666667,2.347826086956522,2.347826086956522,1.3043478260869565,7.043478260869565,7.043478260869565,1.173913043478261,1.0,0.14814814814814814,0.30303030303030304,0.2962962962962963,0.5993265993265993,7.666666666666667,,17.34782608695652,True,False,True,7.666666666666667,1.0
20260040.0,2026-04-05,롯데,away,4.0,3.0,1,1,1,1,1,15.0,3.0,3,8,1,2,0,4,14,22,0,24.0,90,0.0,5.0,5.4,5.4,2.0,7.2,3.6,1.8,2.0,0.36363636363636365,0.4166666666666667,0.6363636363636364,1.053030303030303,5.0,15.0,18.0,1,4,4,0,12.0,0.0,0,2,0,1,0,1,3,14,0,15.0,63,0.0,4.0,0.0,0.0,0.75,2.25,2.25,0.0,1.0,0.14285714285714285,0.2,0.21428571428571427,0.41428571428571426,4.0,,15.75,False,False,False,4.0,1.0
20260042.0,2026-04-07,한화,home,2.0,6.0,0,1,1,1,1,9.0,4.0,4,4,0,4,0,2,5,13,0,17.0,71,0.0,3.0,12.0,12.0,2.6666666666666665,6.0,12.0,0.0,0.5,0.3076923076923077,0.47058823529411764,0.38461538461538464,0.8552036199095023,3.0,9.0,23.666666666666668,1,4,4,0,18.0,2.0,2,4,0,3,1,7,4,21,0,26.0,88,0.0,6.0,3.0,3.0,1.1666666666666667,10.5,4.5,0.0,2.3333333333333335,0.19047619047619047,0.32,0.19047619047619047,0.5104761904761905,6.0,,14.666666666666666,True,False,True,6.0,-4.0
20260047.0,2026-04-08,한화,home,3.0,4.0,0,1,1,1,1,13.0,0.0,4,4,1,3,0,2,8,17,0,20.0,75,0.0,4.333333333333333,0.0,8.307692307692308,1.6153846153846154,4.153846153846154,6.230769230769231,2.076923076923077,0.6666666666666666,0.23529411764705882,0.35,0.47058823529411764,0.8205882352941176,4.333333333333333,13.0,17.30769230769231,1,4,4,0,14.0,0.0,0,1,0,0,0,5,1,15,0,15.0,48,0.0,4.666666666666667,0.0,0.0,0.21428571428571427,9.642857142857142,0.0,0.0,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,4.666666666666667,,10.285714285714285,True,False,False,4.666666666666667,-1.0
