context_value,role_value,t_code,t_code_name,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_pa,r_pa,rbi_pa,context_type,role_type,ops_rank,obp_rank,slg_rank,iso_rank,bb_pct_rank,hr_pa_rank,r_pa_rank,rbi_pa_rank,k_pct_rank,team_count,hidden_signal
두산,1-2_table_setters,9002,SSG,6,7,56.0,47,9,0,0,1,8,1,0,9,12,4,4.0,1.0,0.19148936170212766,0.32142857142857145,0.2553191489361702,0.5767477203647416,0.06382978723404253,0.14285714285714285,0.16071428571428573,0.017857142857142856,0.07142857142857142,0.07142857142857142,opponent_name,lineup_group,8.0,7.0,8.0,6.0,1.0,3.0,8.0,5.0,3.0,9,contextual_weakness+walks_not_converting_to_damage
mild_20_25,1-2_table_setters,9002,SSG,27,11,259.0,215,58,8,3,2,35,1,4,40,78,33,23.0,5.0,0.26976744186046514,0.3686274509803922,0.3627906976744186,0.7314181486548108,0.09302325581395349,0.13513513513513514,0.15444015444015444,0.007722007722007722,0.1274131274131274,0.0888030888030888,temp_bucket,lineup_group,7.0,5.0,7.0,6.0,2.0,9.0,7.0,6.0,4.0,10,walks_not_converting_to_damage
wind_1_3,1-2_table_setters,9002,SSG,40,13,380.0,324,94,13,3,5,44,1,6,55,128,47,39.0,9.0,0.29012345679012347,0.37066666666666664,0.3950617283950617,0.7657283950617284,0.10493827160493824,0.11578947368421053,0.14473684210526316,0.013157894736842105,0.12368421052631579,0.10263157894736842,wind_bucket,lineup_group,6.0,4.0,8.0,8.0,2.0,8.0,7.0,8.0,3.0,10,contextual_weakness
home,3-5_run_production,9002,SSG,30,16,394.0,341,77,13,0,19,43,5,5,105,147,42,60.0,1.0,0.22580645161290322,0.31725888324873097,0.4310850439882698,0.7483439272370007,0.20527859237536658,0.10913705583756345,0.26649746192893403,0.048223350253807105,0.1065989847715736,0.15228426395939088,home_away,lineup_group,7.0,10.0,6.0,2.0,6.0,2.0,7.0,6.0,10.0,10,power_without_full_run_value+contextual_weakness
dry_<=40,3-5_run_production,9002,SSG,24,17,325.0,284,67,10,0,12,33,4,4,76,113,30,40.0,3.0,0.23591549295774647,0.32,0.397887323943662,0.7178873239436621,0.16197183098591553,0.10153846153846154,0.23384615384615384,0.036923076923076927,0.09230769230769231,0.12307692307692308,humidity_bucket,lineup_group,7.0,9.0,7.0,5.0,7.0,3.0,8.0,7.0,9.0,10,contextual_weakness
humid_60+,3-5_run_production,9002,SSG,12,9,152.0,135,27,7,0,1,15,1,1,35,37,11,13.0,1.0,0.2,0.28289473684210525,0.2740740740740741,0.5569688109161793,0.07407407407407407,0.09868421052631579,0.23026315789473684,0.006578947368421052,0.07236842105263158,0.08552631578947369,humidity_bucket,lineup_group,10.0,10.0,10.0,9.0,6.0,10.0,10.0,9.0,8.0,10,contextual_weakness
normal_40_60,3-5_run_production,9002,SSG,25,15,343.0,279,76,9,1,19,51,7,6,75,144,52,68.0,4.0,0.2724014336917563,0.39067055393586003,0.5161290322580645,0.9067995861939245,0.2437275985663082,0.14868804664723032,0.21865889212827988,0.05539358600583091,0.15160349854227406,0.19825072886297376,humidity_bucket,lineup_group,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,9.0,10,contextual_weakness
0,3-5_run_production,9002,SSG,39,19,527.0,446,104,19,1,20,66,7,8,117,185,59,77.0,3.0,0.23318385650224216,0.33586337760910817,0.4147982062780269,0.7506615838871351,0.18161434977578472,0.1252371916508539,0.222011385199241,0.03795066413662239,0.11195445920303605,0.1461100569259962,is_weekend,lineup_group,7.0,7.0,7.0,4.0,2.0,3.0,7.0,6.0,9.0,10,contextual_weakness+walks_not_converting_to_damage
1,3-5_run_production,9002,SSG,22,13,293.0,252,66,7,0,12,33,5,3,69,109,34,44.0,5.0,0.2619047619047619,0.35494880546075086,0.43253968253968256,0.7874884880004334,0.17063492063492064,0.11262798634812286,0.2354948805460751,0.040955631399317405,0.11604095563139932,0.15017064846416384,is_weekend,lineup_group,6.0,7.0,6.0,5.0,5.0,2.0,8.0,5.0,10.0,10,contextual_weakness
03,3-5_run_production,9002,SSG,3,5,42.0,35,11,1,0,3,4,1,2,9,21,9,7.0,0.0,0.3142857142857143,0.38095238095238093,0.6,0.9809523809523809,0.2857142857142857,0.09523809523809523,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.16666666666666666,month,lineup_group,6.0,6.0,4.0,3.0,8.0,2.0,3.0,5.0,8.0,10,power_without_full_run_value+contextual_weakness
04,3-5_run_production,9002,SSG,24,15,329.0,275,63,13,1,11,46,5,3,70,111,37,43.0,5.0,0.2290909090909091,0.3465045592705167,0.4036363636363636,0.7501409229068803,0.17454545454545453,0.1398176291793313,0.2127659574468085,0.03343465045592705,0.11246200607902736,0.13069908814589665,month,lineup_group,7.0,5.0,7.0,4.0,3.0,4.0,7.0,6.0,8.0,10,contextual_weakness+walks_not_converting_to_damage
05,3-5_run_production,9002,SSG,26,12,346.0,303,73,9,0,12,34,4,5,83,118,33,53.0,2.0,0.24092409240924093,0.3208092485549133,0.38943894389438943,0.7102481924493027,0.1485148514851485,0.09826589595375723,0.2398843930635838,0.03468208092485549,0.0953757225433526,0.1531791907514451,month,lineup_group,8.0,9.0,8.0,7.0,7.0,4.0,10.0,6.0,10.0,10,contextual_weakness
06,3-5_run_production,9002,SSG,8,8,103.0,85,23,3,0,6,15,2,1,24,44,14,18.0,1.0,0.27058823529411763,0.3883495145631068,0.5176470588235295,0.9059965733866362,0.24705882352941183,0.14563106796116504,0.23300970873786409,0.05825242718446602,0.13592233009708737,0.17475728155339806,month,lineup_group,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,8.0,10,contextual_weakness
KIA,3-5_run_production,9002,SSG,5,7,63.0,53,11,0,0,2,8,1,1,18,17,6,5.0,1.0,0.20754716981132076,0.31746031746031744,0.32075471698113206,0.6382150344414494,0.1132075471698113,0.12698412698412698,0.2857142857142857,0.031746031746031744,0.09523809523809523,0.07936507936507936,opponent_name,lineup_group,7.0,7.0,7.0,7.0,4.0,5.0,7.0,7.0,9.0,9,contextual_weakness
LG,3-5_run_production,9002,SSG,8,8,108.0,95,25,3,0,4,11,0,2,19,40,10,11.0,1.0,0.2631578947368421,0.3333333333333333,0.42105263157894735,0.7543859649122806,0.15789473684210525,0.10185185185185185,0.17592592592592593,0.037037037037037035,0.09259259259259259,0.10185185185185185,opponent_name,lineup_group,5.0,5.0,4.0,2.0,3.0,2.0,6.0,4.0,6.0,9,power_without_full_run_value
NC,3-5_run_production,9002,SSG,5,12,77.0,64,10,1,0,3,12,1,0,24,20,8,11.0,2.0,0.15625,0.2987012987012987,0.3125,0.6112012987012987,0.15625,0.15584415584415584,0.3116883116883117,0.03896103896103896,0.1038961038961039,0.14285714285714285,opponent_name,lineup_group,9.0,9.0,9.0,6.0,2.0,4.0,6.0,4.0,9.0,9,contextual_weakness+walks_not_converting_to_damage
두산,3-5_run_production,9002,SSG,6,8,76.0,72,18,3,0,2,2,1,1,25,27,8,7.0,0.0,0.25,0.27631578947368424,0.375,0.6513157894736843,0.125,0.02631578947368421,0.32894736842105265,0.02631578947368421,0.10526315789473684,0.09210526315789473,opponent_name,lineup_group,8.0,9.0,6.0,6.0,9.0,4.0,6.0,8.0,9.0,9,contextual_weakness
삼성,3-5_run_production,9002,SSG,5,8,64.0,54,9,2,1,1,7,2,1,12,16,4,4.0,1.0,0.16666666666666666,0.28125,0.2962962962962963,0.5775462962962963,0.12962962962962962,0.109375,0.1875,0.015625,0.0625,0.0625,opponent_name,lineup_group,9.0,9.0,9.0,6.0,5.0,6.0,9.0,9.0,5.0,9,contextual_weakness
한화,3-5_run_production,9002,SSG,8,10,112.0,93,21,5,0,4,15,2,2,25,38,11,22.0,1.0,0.22580645161290322,0.3392857142857143,0.40860215053763443,0.7478878648233487,0.18279569892473121,0.13392857142857142,0.22321428571428573,0.03571428571428571,0.09821428571428571,0.19642857142857142,opponent_name,lineup_group,6.0,5.0,6.0,4.0,3.0,4.0,6.0,2.0,8.0,9,contextual_weakness
back_to_back,3-5_run_production,9002,SSG,48,16,641.0,551,136,21,1,26,74,8,8,146,237,77,102.0,8.0,0.24682395644283123,0.34009360374414976,0.4301270417422868,0.7702206454864365,0.18330308529945555,0.11544461778471139,0.22776911076443057,0.0405616224648986,0.12012480499219969,0.15912636505460218,rest_bucket,lineup_group,7.0,7.0,7.0,4.0,3.0,3.0,7.0,4.0,10.0,10,contextual_weakness+walks_not_converting_to_damage
one_day_rest,3-5_run_production,9002,SSG,11,14,154.0,127,30,5,0,6,22,2,3,33,53,13,19.0,0.0,0.23622047244094488,0.35064935064935066,0.41732283464566927,0.7679721852950199,0.1811023622047244,0.14285714285714285,0.21428571428571427,0.03896103896103896,0.08441558441558442,0.12337662337662338,rest_bucket,lineup_group,5.0,5.0,5.0,2.0,2.0,2.0,9.0,8.0,6.0,10,power_without_full_run_value
cold_<=15,3-5_run_production,9002,SSG,7,11,92.0,80,13,3,0,2,12,0,0,21,22,5,11.0,0.0,0.1625,0.2717391304347826,0.275,0.5467391304347826,0.11250000000000002,0.13043478260869565,0.22826086956521738,0.021739130434782608,0.05434782608695652,0.11956521739130435,temp_bucket,lineup_group,10.0,10.0,10.0,8.0,3.0,7.0,10.0,8.0,5.0,10,contextual_weakness+walks_not_converting_to_damage
