candidate,context_type,context_value,role_type,role_value,pa,ops,ops_rank,obp,obp_rank,slg,slg_rank,iso,iso_rank,bb_pct,bb_pct_rank,k_pct,k_pct_rank,team_count
DH_slot_collapse,home_away,home,position_group,DH,123.0,0.5437494969009096,10.0,0.2764227642276423,9.0,0.26732673267326734,10.0,0.12871287128712872,5.0,0.15447154471544716,2.0,0.3252032520325203,10.0,10
DH_slot_collapse,home_away,away,position_group,DH,136.0,0.6922268907563025,6.0,0.35294117647058826,6.0,0.3392857142857143,7.0,0.12500000000000003,5.0,0.16911764705882354,2.0,0.2426470588235294,10.0,10
OF_table_setter_mismatch,home_away,home,role_group,OF_1-2_table_setters,53.0,0.7618867924528302,4.0,0.3018867924528302,8.0,0.46,3.0,0.18,1.0,0.03773584905660377,10.0,0.20754716981132076,8.0,10
OF_table_setter_mismatch,home_away,away,role_group,OF_1-2_table_setters,50.0,0.4453061224489796,10.0,0.18,10.0,0.2653061224489796,10.0,0.0816326530612245,8.0,0.0,10.0,0.2,8.0,10
OF_middle_order_mismatch,home_away,home,role_group,OF_3-5_run_production,139.0,0.641546762589928,9.0,0.31654676258992803,9.0,0.325,9.0,0.11666666666666667,8.0,0.11510791366906475,5.0,0.2302158273381295,7.0,10
OF_middle_order_mismatch,home_away,away,role_group,OF_3-5_run_production,138.0,0.7775730778678458,8.0,0.36231884057971014,5.0,0.4152542372881356,8.0,0.1271186440677966,8.0,0.09420289855072464,5.0,0.15942028985507245,4.0,10
May_OF_slump,month,05,position_group,OF,329.0,0.6684773679454531,8.0,0.3069908814589666,9.0,0.3614864864864865,7.0,0.12162162162162166,6.0,0.08206686930091185,8.0,0.182370820668693,5.0,10
June_OF_rebound,month,06,position_group,OF,98.0,0.9419719695106958,2.0,0.3877551020408163,3.0,0.5542168674698795,2.0,0.25301204819277107,1.0,0.12244897959183673,3.0,0.12244897959183673,3.0,10
back_to_back_role_stress,rest_bucket,back_to_back,role_group,OF_3-5_run_production,230.0,0.7379607150739351,8.0,0.3521739130434783,7.0,0.38578680203045684,9.0,0.12182741116751267,9.0,0.10434782608695652,4.0,0.20434782608695654,7.0,10
humid_game_signal,humidity_bucket,humid_60+,position_group,OF,143.0,0.5304442036836403,9.0,0.2535211267605634,9.0,0.27692307692307694,8.0,0.08461538461538462,8.0,0.06993006993006994,9.0,0.16783216783216784,4.0,10
