month,humidity_bucket,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct
3,dry_<=40,1,3,13.0,10,2,0,0,1,3,0,0,3,5,3,3.0,1.0,0.2,0.38461538461538464,0.5,0.8846153846153846,0.3,0.23076923076923078,0.23076923076923078
3,normal_40_60,2,6,27.0,25,8,1,0,1,2,0,0,4,12,6,5.0,2.0,0.32,0.37037037037037035,0.48,0.8503703703703703,0.15999999999999998,0.07407407407407407,0.14814814814814814
4,dry_<=40,11,8,137.0,124,27,5,0,5,8,3,2,25,47,13,16.0,2.0,0.21774193548387097,0.2773722627737226,0.3790322580645161,0.6564045208382387,0.16129032258064516,0.058394160583941604,0.18248175182481752
4,humid_60+,2,5,28.0,25,8,1,0,0,2,0,0,4,9,2,4.0,0.0,0.32,0.37037037037037035,0.36,0.7303703703703703,0.03999999999999998,0.07142857142857142,0.14285714285714285
4,normal_40_60,11,8,149.0,128,32,5,1,3,14,3,4,35,48,27,25.0,2.0,0.25,0.3288590604026846,0.375,0.7038590604026846,0.125,0.09395973154362416,0.2348993288590604
5,dry_<=40,10,8,134.0,116,33,6,1,2,14,2,2,21,47,17,11.0,1.0,0.28448275862068967,0.3656716417910448,0.4051724137931034,0.7708440555841483,0.12068965517241376,0.1044776119402985,0.15671641791044777
5,humid_60+,9,6,107.0,98,16,4,0,2,7,1,1,20,26,9,7.0,2.0,0.16326530612244897,0.22429906542056074,0.2653061224489796,0.4896051878695403,0.10204081632653064,0.06542056074766354,0.18691588785046728
5,normal_40_60,7,8,88.0,82,22,4,1,2,6,0,0,19,34,12,18.0,2.0,0.2682926829268293,0.3181818181818182,0.4146341463414634,0.7328159645232816,0.1463414634146341,0.06818181818181818,0.2159090909090909
6,dry_<=40,2,4,27.0,21,7,0,0,0,6,0,0,2,7,4,1.0,0.0,0.3333333333333333,0.48148148148148145,0.3333333333333333,0.8148148148148148,0.0,0.2222222222222222,0.07407407407407407
6,humid_60+,1,4,8.0,7,1,0,0,0,1,0,0,0,1,0,0.0,0.0,0.14285714285714285,0.25,0.14285714285714285,0.39285714285714285,0.0,0.125,0.0
6,normal_40_60,5,7,63.0,55,17,0,0,7,5,1,2,10,38,11,15.0,3.0,0.3090909090909091,0.36507936507936506,0.6909090909090909,1.055988455988456,0.38181818181818183,0.07936507936507936,0.15873015873015872
