p_no,p_name,pitch_role,import_slot_group,games,appearances,pitchers,starts,outs,er,r,h,hr,bb,hbp,so,tb,ab,sf,tbf,np,gdp,ip,era,ra9,whip,k9,bb9,hr9,kbb,avg_allowed,obp_allowed,slg_allowed,ops_allowed,ip_per_game,outs_per_start,pitches_per_ip,short_starts,quality_starts,disaster_starts,short_start_rate,quality_start_rate,disaster_start_rate
16446,베니지아노,starter,import_slot_pitcher,12,12,1,12,179.0,34.0,38,66,10,24,5,49,106,238,0,273.0,1083,0.0,59.666666666666664,5.128491620111732,5.731843575418995,1.5083798882681565,7.391061452513966,3.6201117318435756,1.5083798882681565,2.0416666666666665,0.2773109243697479,0.35580524344569286,0.44537815126050423,0.801183394706197,4.972222222222222,14.916666666666666,18.150837988826815,4,1,2,0.3333333333333333,0.08333333333333333,0.16666666666666666
14803,김건우,starter,domestic_pitcher,12,12,1,12,176.0,30.0,32,55,8,31,3,47,89,220,2,258.0,1084,0.0,58.666666666666664,4.6022727272727275,4.909090909090909,1.4659090909090908,7.2102272727272725,4.755681818181818,1.2272727272727273,1.5161290322580645,0.25,0.34765625,0.40454545454545454,0.7522017045454545,4.888888888888888,14.666666666666666,18.477272727272727,2,2,3,0.16666666666666666,0.16666666666666666,0.25
13126,최민준,starter,domestic_pitcher,12,12,1,12,160.0,29.0,34,50,8,26,3,45,79,202,2,234.0,908,0.0,53.333333333333336,4.89375,5.7375,1.425,7.59375,4.3875,1.35,1.7307692307692308,0.24752475247524752,0.33905579399141633,0.3910891089108911,0.7301449029023075,4.444444444444445,13.333333333333334,17.025,5,0,4,0.4166666666666667,0.0,0.3333333333333333
16456,타케다,starter,import_slot_pitcher,11,11,1,11,145.0,41.0,42,66,4,28,1,40,90,206,1,237.0,913,0.0,48.333333333333336,7.63448275862069,7.820689655172414,1.9448275862068964,7.448275862068965,5.213793103448276,0.7448275862068966,1.4285714285714286,0.32038834951456313,0.4025423728813559,0.4368932038834951,0.839435576764851,4.3939393939393945,13.181818181818182,18.889655172413793,5,1,5,0.45454545454545453,0.09090909090909091,0.45454545454545453
16324,화이트,starter,import_slot_pitcher,6,6,1,6,92.0,14.0,15,37,1,15,2,29,45,124,1,142.0,557,0.0,30.666666666666668,4.108695652173913,4.4021739130434785,1.6956521739130435,8.51086956521739,4.4021739130434785,0.29347826086956524,1.9333333333333333,0.29838709677419356,0.38028169014084506,0.3629032258064516,0.7431849159472967,5.111111111111112,15.333333333333334,18.163043478260867,3,3,2,0.5,0.5,0.3333333333333333
16637,긴지로,starter,import_slot_pitcher,4,4,1,4,48.0,17.0,17,18,5,14,1,18,35,62,2,81.0,357,0.0,16.0,9.5625,9.5625,2.0,10.125,7.875,2.8125,1.2857142857142858,0.2903225806451613,0.4177215189873418,0.5645161290322581,0.9822376480195999,4.0,12.0,22.3125,3,0,1,0.75,0.0,0.25
14145,백승건,starter,domestic_pitcher,2,2,1,2,15.0,3.0,3,2,0,5,0,4,3,16,1,22.0,94,0.0,5.0,5.4,5.4,1.4,7.2,9.0,0.0,0.8,0.125,0.3181818181818182,0.1875,0.5056818181818181,2.5,7.5,18.8,2,0,1,1.0,0.0,0.5
16440,김민준,starter,domestic_pitcher,1,1,1,1,11.0,5.0,5,3,0,3,0,2,4,14,0,17.0,70,0.0,3.6666666666666665,12.272727272727273,12.272727272727273,1.6363636363636365,4.909090909090909,7.363636363636363,0.0,0.6666666666666666,0.21428571428571427,0.35294117647058826,0.2857142857142857,0.6386554621848739,3.6666666666666665,11.0,19.09090909090909,1,0,1,1.0,0.0,1.0
15028,이기순,starter,domestic_pitcher,1,1,1,1,6.0,2.0,2,2,0,0,1,1,3,7,0,8.0,28,0.0,2.0,9.0,9.0,1.0,4.5,0.0,0.0,,0.2857142857142857,0.375,0.42857142857142855,0.8035714285714286,2.0,6.0,14.0,1,0,1,1.0,0.0,1.0
13167,김민,bullpen,domestic_pitcher,31,31,1,0,93.0,15.0,18,27,1,17,1,32,33,114,1,133.0,466,0.0,31.0,4.354838709677419,5.225806451612903,1.4193548387096775,9.290322580645162,4.935483870967742,0.2903225806451613,1.8823529411764706,0.23684210526315788,0.3383458646616541,0.2894736842105263,0.6278195488721805,1.0,,15.03225806451613,0,0,0,,,
