context_value,p_no,p_name,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_pa,r_pa,rbi_pa,context_type
away,12922,박성한,31,1,141.0,118,42,6,0,1,22,0,1,14,51,25,13.0,2.0,0.3559322033898305,0.45390070921985815,0.4322033898305085,0.8861040990503666,0.07627118644067798,0.15602836879432624,0.09929078014184398,0.0070921985815602835,0.1773049645390071,0.09219858156028368,home_away
away,15530,에레디아,31,1,136.0,122,37,7,0,4,8,3,3,21,56,16,24.0,1.0,0.30327868852459017,0.35294117647058826,0.45901639344262296,0.8119575699132112,0.1557377049180328,0.058823529411764705,0.15441176470588236,0.029411764705882353,0.11764705882352941,0.17647058823529413,home_away
away,14587,최지훈,31,1,135.0,123,28,7,3,2,7,1,3,17,47,20,17.0,4.0,0.22764227642276422,0.26865671641791045,0.3821138211382114,0.6507705375561219,0.1544715447154472,0.05185185185185185,0.1259259259259259,0.014814814814814815,0.14814814814814814,0.1259259259259259,home_away
away,10643,김재환,28,1,117.0,97,20,2,0,4,19,1,0,32,34,11,16.0,1.0,0.20618556701030927,0.3418803418803419,0.35051546391752575,0.6923958057978676,0.14432989690721648,0.1623931623931624,0.27350427350427353,0.03418803418803419,0.09401709401709402,0.13675213675213677,home_away
away,16042,정준재,29,1,112.0,94,29,4,4,0,11,0,1,14,41,15,15.0,3.0,0.30851063829787234,0.37735849056603776,0.43617021276595747,0.8135287033319952,0.12765957446808512,0.09821428571428571,0.125,0.0,0.13392857142857142,0.13392857142857142,home_away
away,10106,최정,24,1,105.0,86,26,4,1,5,15,2,2,17,47,14,17.0,2.0,0.3023255813953488,0.4095238095238095,0.5465116279069767,0.9560354374307862,0.2441860465116279,0.14285714285714285,0.1619047619047619,0.047619047619047616,0.13333333333333333,0.1619047619047619,home_away
away,10249,오태곤,28,1,89.0,81,17,4,0,4,5,2,1,26,33,13,15.0,1.0,0.20987654320987653,0.2696629213483146,0.4074074074074074,0.677070328755722,0.19753086419753085,0.056179775280898875,0.29213483146067415,0.0449438202247191,0.14606741573033707,0.16853932584269662,home_away
away,12613,안상현,22,1,67.0,56,16,2,0,1,8,1,0,11,21,9,6.0,3.0,0.2857142857142857,0.38461538461538464,0.375,0.7596153846153846,0.0892857142857143,0.11940298507462686,0.16417910447761194,0.014925373134328358,0.13432835820895522,0.08955223880597014,home_away
away,14806,조형우,18,1,66.0,54,12,2,0,0,6,3,2,10,14,6,9.0,0.0,0.2222222222222222,0.3230769230769231,0.25925925925925924,0.5823361823361823,0.037037037037037035,0.09090909090909091,0.15151515151515152,0.0,0.09090909090909091,0.13636363636363635,home_away
away,10815,한유섬,19,1,59.0,46,10,1,0,0,11,1,1,12,11,5,3.0,1.0,0.21739130434782608,0.3728813559322034,0.2391304347826087,0.6120117907148122,0.021739130434782622,0.1864406779661017,0.2033898305084746,0.0,0.0847457627118644,0.05084745762711865,home_away
