p_no,p_name,total_pa,games,of_pa,dh_pa,ifc_pa,of_12_pa,of_35_pa,of_69_pa,of_high_leverage_pa,of_pa_share,dh_pa_share,of_high_leverage_share_of_of,role_segment,replacement_relevant
10643,김재환,219.0,53,16.0,201.0,0.0,0.0,16.0,0.0,16.0,0.0730593607305936,0.9178082191780822,1.0,DH_primary_or_bridge,True
12922,박성한,272.0,61,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,,IF_C_core,False
16042,정준재,226.0,58,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,,IF_C_core,False
10106,최정,213.0,49,0.0,12.0,200.0,0.0,0.0,0.0,0.0,0.0,0.056338028169014086,,IF_C_core,False
10249,오태곤,171.0,55,14.0,0.0,154.0,6.0,0.0,8.0,6.0,0.08187134502923976,0.0,0.42857142857142855,IF_C_core,False
14806,조형우,139.0,39,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,,IF_C_core,False
12613,안상현,107.0,40,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,,IF_C_core,False
10312,이지영,68.0,32,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,,IF_C_core,False
14807,고명준,68.0,17,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,,IF_C_core,False
14699,전의산,30.0,8,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,,IF_C_core,False
10707,김민식,28.0,14,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,,IF_C_core,False
15530,에레디아,267.0,61,262.0,5.0,0.0,71.0,191.0,0.0,262.0,0.9812734082397003,0.018726591760299626,1.0,OF_high_leverage_usage,True
14587,최지훈,249.0,60,249.0,0.0,0.0,21.0,19.0,209.0,40.0,1.0,0.0,0.1606425702811245,OF_lower_or_mixed_usage,True
10815,한유섬,116.0,35,86.0,25.0,0.0,0.0,35.0,51.0,35.0,0.7413793103448276,0.21551724137931033,0.4069767441860465,OF_lower_or_mixed_usage,True
11153,김성욱,68.0,35,64.0,0.0,0.0,1.0,11.0,52.0,12.0,0.9411764705882353,0.0,0.1875,OF_lower_or_mixed_usage,True
14153,채현우,42.0,36,39.0,0.0,0.0,4.0,1.0,34.0,5.0,0.9285714285714286,0.0,0.1282051282051282,OF_lower_or_mixed_usage,True
13128,최준우,38.0,17,36.0,1.0,0.0,0.0,3.0,33.0,3.0,0.9473684210526315,0.02631578947368421,0.08333333333333333,OF_lower_or_mixed_usage,True
16321,홍대인,23.0,28,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,depth_other,False
14586,류효승,18.0,7,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,,depth_other,False
13194,이정범,13.0,6,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,depth_other,False
15463,김정민,10.0,14,10.0,0.0,0.0,0.0,1.0,9.0,1.0,1.0,0.0,0.1,depth_other,False
15467,김민준,7.0,5,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,depth_other,False
14146,김창평,5.0,6,5.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,depth_other,False
16318,최윤석,5.0,2,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,depth_other,False
15121,석정우,3.0,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,depth_other,False
12541,신범수,2.0,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,depth_other,False
15122,임근우,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,depth_other,False
