query_p_no,p_name,role_segment,split_family,split_label,bucket_path,players,pa,ab,r,h,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,sf,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_per_pa,rbi_per_pa,context_need_score
10643,김재환,DH_primary_or_bridge,terminal_count,2B_2S,ballCount/0/2B_2S,1,31,31,1,3,0,0,0,3,3,0,0,21,0,0,0.0,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.1935483870967742,0.0,0.0,0.6774193548387096,0.0,0.0967741935483871,4.504623655913978
11153,김성욱,OF_lower_or_mixed_usage,terminal_count,1B_2S,ballCount/0/1B_2S,1,16,16,1,1,0,0,0,1,1,0,0,10,0,0,0.0,0.0625,0.0625,0.0625,0.125,0.0,0.0,0.625,0.0,0.0625,4.155833333333334
10815,한유섬,OF_lower_or_mixed_usage,terminal_count,1B_2S,ballCount/0/1B_2S,1,22,22,1,2,0,0,0,2,0,0,0,14,0,0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.0,0.6363636363636364,0.0,0.0,4.134242424242425
11153,김성욱,OF_lower_or_mixed_usage,terminal_count,0B_2S,ballCount/0/0B_2S,1,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4.01
14153,채현우,OF_lower_or_mixed_usage,terminal_count,0B_2S,ballCount/0/0B_2S,1,6,5,0,0,0,0,0,0,1,0,0,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,4.01
10643,김재환,DH_primary_or_bridge,runner_context,no_runner,runner/9/no_runner,1,97,82,11,12,2,0,4,26,4,13,2,35,0,0,0.0,0.14634146341463414,0.27835051546391754,0.3170731707317073,0.5954236861956248,0.17073170731707318,0.13402061855670103,0.36082474226804123,0.041237113402061855,0.041237113402061855,3.8098742770932867
10815,한유섬,OF_lower_or_mixed_usage,pitcher_type,vs_right,type/0/vs_right,1,100,82,5,13,1,0,0,14,3,15,2,28,6,1,0.0,0.15853658536585366,0.3,0.17073170731707318,0.47073170731707314,0.012195121951219523,0.15,0.28,0.0,0.03,3.7085365853658536
10643,김재환,DH_primary_or_bridge,score_context,within_one_run,situation/2/within_one_run,1,93,78,4,14,1,0,1,18,8,12,2,29,0,1,0.0,0.1794871794871795,0.3010752688172043,0.23076923076923078,0.5318444995864351,0.051282051282051294,0.12903225806451613,0.3118279569892473,0.010752688172043012,0.08602150537634409,3.6764185277088504
10815,한유섬,OF_lower_or_mixed_usage,terminal_count,2B_2S,ballCount/0/2B_2S,1,13,12,1,1,0,0,0,1,1,0,0,7,1,1,0.0,0.08333333333333333,0.07692307692307693,0.08333333333333333,0.16025641025641024,0.0,0.0,0.5384615384615384,0.0,0.07692307692307693,3.6535897435897438
10643,김재환,DH_primary_or_bridge,pitcher_type,vs_right_orthdodx,type/1/vs_right_orthdodx,1,162,134,12,22,2,0,5,39,16,26,1,54,2,1,0.0,0.16417910447761194,0.30246913580246915,0.291044776119403,0.5935139119218722,0.12686567164179105,0.16049382716049382,0.3333333333333333,0.030864197530864196,0.09876543209876543,3.61062649714391
10815,한유섬,OF_lower_or_mixed_usage,pitcher_type,vs_right_orthdodx,type/1/vs_right_orthdodx,1,97,79,5,13,1,0,0,14,3,15,2,26,6,1,0.0,0.16455696202531644,0.30927835051546393,0.17721518987341772,0.48649354038888165,0.012658227848101278,0.15463917525773196,0.26804123711340205,0.0,0.030927835051546393,3.5947448779851228
10643,김재환,DH_primary_or_bridge,location,Home,location/Home,1,102,83,10,14,0,0,4,26,12,17,1,35,2,1,0.0,0.1686746987951807,0.3137254901960784,0.3132530120481928,0.6269785022442712,0.14457831325301207,0.16666666666666666,0.3431372549019608,0.0392156862745098,0.11764705882352941,3.5168273092369478
