role_segment,split_family,split_label,bucket_path,players,pa,hr,bb,so,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_per_pa,rbi_per_pa,context_need_score,candidate_screen_hint
DH_primary_or_bridge,terminal_count,2B_2S,ballCount/0/2B_2S,1,31,0,0,21,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.1935483870967742,0.0,0.0,0.6774193548387096,0.0,0.0967741935483871,4.091290322580646,screen_for_two_strike_contact_survival
OF_lower_or_mixed_usage,terminal_count,1B_2S,ballCount/0/1B_2S,5,87,2,0,42,0.16091954022988506,0.16091954022988506,0.22988505747126436,0.3908045977011494,0.06896551724137931,0.0,0.4827586206896552,0.022988505747126436,0.10344827586206896,3.9120689655172414,screen_for_two_strike_contact_survival
DH_primary_or_bridge,pitcher_type,vs_right_orthdodx,type/1/vs_right_orthdodx,1,162,5,26,54,0.16417910447761194,0.30246913580246915,0.291044776119403,0.5935139119218722,0.12686567164179105,0.16049382716049382,0.3333333333333333,0.030864197530864196,0.09876543209876543,3.61062649714391,screen_for_RHP_damage_with_OBP
DH_primary_or_bridge,pitcher_type,vs_right,type/0/vs_right,1,165,6,26,55,0.17518248175182483,0.3090909090909091,0.32116788321167883,0.630258792302588,0.145985401459854,0.15757575757575756,0.3333333333333333,0.03636363636363636,0.10909090909090909,3.5040278699402787,screen_for_RHP_damage_with_OBP
DH_primary_or_bridge,score_context,within_two_run,situation/3/within_two_run,1,138,4,21,46,0.18421052631578946,0.3188405797101449,0.2982456140350877,0.6170861937452325,0.11403508771929824,0.15217391304347827,0.3333333333333333,0.028985507246376812,0.11594202898550725,3.24162471395881,screen_for_close_game_plate_quality
OF_high_leverage_usage,pitcher_type,vs_right_orthdodx,type/1/vs_right_orthdodx,1,194,7,9,38,0.24861878453038674,0.28717948717948716,0.39779005524861877,0.6849695424281059,0.14917127071823202,0.04639175257731959,0.1958762886597938,0.03608247422680412,0.15979381443298968,3.1941634792463525,screen_for_RHP_damage_with_OBP
OF_high_leverage_usage,pitcher_type,vs_right,type/0/vs_right,1,200,7,10,39,0.24864864864864866,0.2935323383084577,0.3945945945945946,0.6881269329030524,0.14594594594594595,0.05,0.195,0.035,0.155,3.156084442651607,screen_for_RHP_damage_with_OBP
OF_high_leverage_usage,score_context,within_two_run,situation/3/within_two_run,1,178,6,12,36,0.2392638036809816,0.29608938547486036,0.38650306748466257,0.6825924529595229,0.14723926380368096,0.06741573033707865,0.20224719101123595,0.033707865168539325,0.15730337078651685,3.1543681667066523,screen_for_close_game_plate_quality
OF_lower_or_mixed_usage,location,Home,location/Home,5,230,8,28,45,0.20100502512562815,0.30869565217391304,0.35175879396984927,0.6604544461437623,0.15075376884422112,0.12173913043478261,0.1956521739130435,0.034782608695652174,0.06956521739130435,3.13561284684291,screen_for_context_stability
OF_lower_or_mixed_usage,runner_context,runner_on_base,runner/8/runner_on_base,5,242,6,28,38,0.22058823529411764,0.3112033195020747,0.3480392156862745,0.6592425351883492,0.12745098039215685,0.11570247933884298,0.15702479338842976,0.024793388429752067,0.17355371900826447,3.1254983321129277,screen_for_runner_context_run_conversion
