role_segment,split_label,players,pa,h,hr,rbi,gdp,gdp_per_pa,avg,obp,slg,ops,bb_pct,k_pct,rbi_per_pa
DH_primary_or_bridge,lt2_out_on_first,1,45,11,3,14,3,0.06666666666666667,0.2682926829268293,0.3333333333333333,0.4878048780487805,0.8211382113821137,0.0888888888888888,0.2888888888888888,0.3111111111111111
IF_C_core,lt2_out_on_first,9,269,69,8,60,22,0.08178438661710037,0.3270142180094786,0.3992094861660079,0.5450236966824644,0.9442331828484724,0.104089219330855,0.137546468401487,0.2230483271375464
OF_high_leverage_usage,lt2_out_on_first,1,58,7,0,12,6,0.10344827586206896,0.1428571428571428,0.2203389830508474,0.1632653061224489,0.3836042891732964,0.0862068965517241,0.1551724137931034,0.2068965517241379
OF_lower_or_mixed_usage,lt2_out_on_first,5,111,26,3,21,11,0.0990990990990991,0.2708333333333333,0.3090909090909091,0.3958333333333333,0.7049242424242423,0.072072072072072,0.1351351351351351,0.1891891891891892
DH_primary_or_bridge,on_first,1,55,7,1,2,3,0.05454545454545454,0.1458333333333333,0.2545454545454545,0.2083333333333333,0.4628787878787879,0.1272727272727272,0.3454545454545454,0.0363636363636363
IF_C_core,on_first,10,241,56,5,16,17,0.07053941908713693,0.2666666666666666,0.3333333333333333,0.4238095238095238,0.7571428571428571,0.0788381742738589,0.1327800829875518,0.0663900414937759
OF_high_leverage_usage,on_first,1,52,6,0,0,3,0.057692307692307696,0.1333333333333333,0.25,0.1333333333333333,0.3833333333333333,0.0961538461538461,0.2115384615384615,0.0
OF_lower_or_mixed_usage,on_first,5,100,23,2,5,5,0.05,0.2473118279569892,0.2929292929292929,0.3440860215053763,0.6370153144346693,0.05,0.15,0.05
DH_primary_or_bridge,risp,1,67,15,3,22,0,0.0,0.3,0.4626865671641791,0.48,0.9426865671641792,0.2388059701492537,0.1940298507462686,0.3283582089552239
IF_C_core,risp,10,374,91,7,127,5,0.013368983957219251,0.3204225352112676,0.4301369863013699,0.4753521126760563,0.9054890989774262,0.160427807486631,0.1737967914438502,0.339572192513369
OF_high_leverage_usage,risp,1,89,27,4,44,3,0.033707865168539325,0.3375,0.3666666666666666,0.5125,0.8791666666666667,0.0674157303370786,0.1573033707865168,0.4943820224719101
OF_lower_or_mixed_usage,risp,5,142,22,4,37,6,0.04225352112676056,0.1981981981981982,0.323943661971831,0.3513513513513513,0.6752950133231823,0.1619718309859155,0.1619718309859155,0.2605633802816901
DH_primary_or_bridge,runner_on_base,1,122,22,4,24,3,0.02459016393442623,0.2244897959183673,0.3688524590163934,0.3469387755102041,0.7157912345265975,0.1885245901639344,0.2622950819672131,0.1967213114754098
IF_C_core,runner_on_base,10,615,147,12,143,22,0.03577235772357724,0.2975708502024291,0.3926174496644295,0.4534412955465587,0.8460587452109882,0.1284552845528455,0.1577235772357723,0.232520325203252
OF_high_leverage_usage,runner_on_base,1,141,33,4,44,6,0.0425531914893617,0.264,0.323943661971831,0.376,0.699943661971831,0.0780141843971631,0.1773049645390071,0.3120567375886525
OF_lower_or_mixed_usage,runner_on_base,5,242,45,6,42,11,0.045454545454545456,0.2205882352941176,0.3112033195020747,0.3480392156862745,0.6592425351883492,0.1157024793388429,0.1570247933884297,0.1735537190082644
