t_code,t_code_name,OPS_risp,risp_ops_rank,OPS_on_first,on_first_ops_rank,OBP_on_first,on_first_obp_rank,risp_minus_on_first_ops,risp_minus_on_first_obp,risp_to_on_first_gap_rank,GDP_on_first,PA_on_first,on_first_gdp_per_pa,on_first_gdp_per_pa_rank_high,HR_on_first,on_first_hr_per_pa
9002,SSG,0.831,1.0,0.649,10.0,0.304,10.0,0.18199999999999994,0.08800000000000002,1.0,29,462,0.06277056277056277,5.0,8,0.017316017316017316
5002,LG,0.82,3.0,0.751,5.0,0.348,4.0,0.06899999999999995,0.038000000000000034,2.0,34,504,0.06746031746031746,2.0,11,0.021825396825396824
11001,NC,0.749,7.0,0.708,7.0,0.321,9.0,0.041000000000000036,0.059,3.0,38,495,0.07676767676767676,1.0,14,0.028282828282828285
7002,한화,0.823,2.0,0.798,3.0,0.348,4.0,0.02499999999999991,0.03400000000000003,4.0,34,519,0.06551059730250482,3.0,15,0.028901734104046242
6002,두산,0.72,8.0,0.708,7.0,0.323,8.0,0.01200000000000001,0.022999999999999965,5.0,31,491,0.06313645621181263,4.0,10,0.020366598778004074
1001,삼성,0.779,6.0,0.771,4.0,0.36,3.0,0.008000000000000007,0.01100000000000001,6.0,23,504,0.04563492063492063,9.0,11,0.021825396825396824
12001,KT,0.806,4.0,0.809,2.0,0.396,1.0,-0.0030000000000000027,-0.01200000000000001,7.0,30,502,0.05976095617529881,7.0,7,0.013944223107569721
10001,키움,0.652,10.0,0.665,9.0,0.327,6.0,-0.013000000000000012,0.007000000000000006,8.0,21,504,0.041666666666666664,10.0,6,0.011904761904761904
2002,KIA,0.788,5.0,0.818,1.0,0.365,2.0,-0.029999999999999916,-0.008000000000000007,9.0,29,471,0.06157112526539278,6.0,15,0.03184713375796178
3001,롯데,0.655,9.0,0.74,6.0,0.325,7.0,-0.08499999999999996,-0.008000000000000007,10.0,24,453,0.052980132450331126,8.0,11,0.024282560706401765
