role_segment,replacement_relevant,split_family,query_si,si_name,bucket_group,split_label,bucket_path,players,pa,ab,r,h,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,sf,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_per_pa,rbi_per_pa
DH_primary_or_bridge,True,after_count,4,ball_count,after_ballCount,after_0B_0S,after_ballCount/1/after_0B_0S,1,219,180,21,34,2,0,8,60,28,36,2,67,3,1,0.0,0.18888888888888888,0.3287671232876712,0.3333333333333333,0.6621004566210045,0.14444444444444443,0.1643835616438356,0.3059360730593607,0.0365296803652968,0.1278538812785388
DH_primary_or_bridge,True,after_count,4,ball_count,after_ballCount,after_0B_1S,after_ballCount/2/after_0B_1S,1,177,144,16,26,2,0,5,43,19,30,2,67,2,1,0.0,0.18055555555555555,0.327683615819209,0.2986111111111111,0.6262947269303201,0.11805555555555555,0.1694915254237288,0.3785310734463277,0.02824858757062147,0.10734463276836158
DH_primary_or_bridge,True,after_count,4,ball_count,after_ballCount,after_0B_2S,after_ballCount/3/after_0B_2S,1,130,110,9,16,1,0,1,20,10,20,0,67,1,0,0.0,0.14545454545454545,0.27692307692307694,0.18181818181818182,0.45874125874125876,0.036363636363636376,0.15384615384615385,0.5153846153846153,0.007692307692307693,0.07692307692307693
DH_primary_or_bridge,True,after_count,4,ball_count,after_ballCount,after_1B_0S,after_ballCount/4/after_1B_0S,1,167,131,19,26,1,0,8,51,25,36,0,59,1,0,0.0,0.1984732824427481,0.3712574850299401,0.3893129770992366,0.7605704621291767,0.19083969465648853,0.2155688622754491,0.3532934131736527,0.04790419161676647,0.1497005988023952
DH_primary_or_bridge,True,after_count,4,ball_count,after_ballCount,after_1B_1S,after_ballCount/5/after_1B_1S,1,145,115,15,21,1,0,5,37,17,30,0,59,1,0,0.0,0.1826086956521739,0.35172413793103446,0.3217391304347826,0.673463268365817,0.13913043478260867,0.20689655172413793,0.4068965517241379,0.034482758620689655,0.11724137931034483
DH_primary_or_bridge,True,after_count,4,ball_count,after_ballCount,after_1B_2S,after_ballCount/6/after_1B_2S,1,115,95,9,14,1,0,1,18,10,20,0,59,1,0,0.0,0.14736842105263157,0.2956521739130435,0.18947368421052632,0.4851258581235698,0.04210526315789476,0.17391304347826086,0.5130434782608696,0.008695652173913044,0.08695652173913043
DH_primary_or_bridge,True,after_count,4,ball_count,after_ballCount,after_2B_0S,after_ballCount/7/after_2B_0S,1,108,72,14,13,1,0,4,26,11,36,0,37,0,0,0.0,0.18055555555555555,0.4537037037037037,0.3611111111111111,0.8148148148148149,0.18055555555555555,0.3333333333333333,0.3425925925925926,0.037037037037037035,0.10185185185185185
DH_primary_or_bridge,True,after_count,4,ball_count,after_ballCount,after_2B_1S,after_ballCount/8/after_2B_1S,1,97,67,12,11,1,0,3,21,9,30,0,37,0,0,0.0,0.16417910447761194,0.422680412371134,0.31343283582089554,0.7361132481920296,0.1492537313432836,0.30927835051546393,0.38144329896907214,0.030927835051546393,0.09278350515463918
DH_primary_or_bridge,True,after_count,4,ball_count,after_ballCount,after_2B_2S,after_ballCount/9/after_2B_2S,1,77,57,7,7,1,0,0,8,4,20,0,37,0,0,0.0,0.12280701754385964,0.35064935064935066,0.14035087719298245,0.4910002278423331,0.017543859649122806,0.2597402597402597,0.4805194805194805,0.0,0.05194805194805195
DH_primary_or_bridge,True,after_count,4,ball_count,after_ballCount,after_3B_0S,after_ballCount/10/after_3B_0S,1,64,28,9,5,1,0,1,9,3,36,0,16,0,0,0.0,0.17857142857142858,0.640625,0.32142857142857145,0.9620535714285714,0.14285714285714288,0.5625,0.25,0.015625,0.046875
