year,t_code,t_code_name,split_value,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,split_type,pa_rank,r_rank,rbi_rank,hr_rank,avg_rank,obp_rank,slg_rank,ops_rank,iso_rank,bb_pct_rank,k_pct_rank,team_count_in_split
2023,9002,SSG,1-2_table_setters,144,21,1359.0,1198,302,57,8,23,124,18,7,200,444,183,97.0,34.0,0.25208681135225375,0.32962138084632514,0.37061769616026713,0.7002390770065923,0.11853088480801338,0.09124356144223694,0.14716703458425312,lineup_group,6.0,5.0,9.0,1.0,7.0,8.0,3.0,5.0,1.0,5.0,4.0,10
2023,9002,SSG,3-5_run_production,144,24,1923.0,1690,477,94,3,61,173,32,17,328,760,245,272.0,26.0,0.2822485207100592,0.35669456066945604,0.44970414201183434,0.8063987026812904,0.16745562130177516,0.08996359854394176,0.1705668226729069,lineup_group,4.0,3.0,5.0,2.0,5.0,4.0,2.0,2.0,1.0,10.0,6.0,10
2023,9002,SSG,6-9_lower_lineup,144,26,2348.0,2035,500,78,5,41,210,28,21,415,711,229,242.0,36.0,0.2457002457002457,0.3217088055797733,0.3493857493857494,0.6710945549655227,0.1036855036855037,0.08943781942078365,0.17674616695059625,lineup_group,4.0,9.0,4.0,3.0,6.0,5.0,4.0,4.0,5.0,4.0,2.0,10
2023,9002,SSG,bench_or_pinch,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,lineup_group,1.0,1.0,1.0,1.0,,,,,,,,3
2023,9002,SSG,OF_1-2_table_setters,115,10,653.0,583,158,29,7,6,51,7,4,78,219,90,44.0,21.0,0.27101200686106347,0.33488372093023255,0.37564322469982847,0.710526945630061,0.104631217838765,0.0781010719754977,0.11944869831546708,of_lineup_group,6.0,6.0,7.0,3.0,4.0,7.0,4.0,4.0,3.0,7.0,2.0,10
2023,9002,SSG,OF_3-5_run_production,120,10,700.0,630,187,35,0,14,49,15,4,124,264,78,98.0,14.0,0.2968253968253968,0.35959885386819485,0.41904761904761906,0.7786464729158139,0.12222222222222223,0.07,0.17714285714285713,of_lineup_group,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,9.0,6.0,10
2023,9002,SSG,OF_6-9_lower_lineup,113,10,538.0,466,126,16,2,13,47,13,6,111,185,70,66.0,17.0,0.2703862660944206,0.34962406015037595,0.3969957081545064,0.7466197683048823,0.1266094420600858,0.08736059479553904,0.20631970260223048,of_lineup_group,7.0,5.0,3.0,2.0,6.0,2.0,2.0,2.0,2.0,5.0,5.0,10
2023,9002,SSG,non_OF,144,28,3739.0,3244,808,149,7,92,360,43,31,630,1247,419,403.0,44.0,0.24907521578298397,0.32925502990755845,0.3844019728729963,0.7136570027805548,0.13532675709001235,0.09628242845680664,0.1684942497994116,of_lineup_group,5.0,5.0,6.0,1.0,9.0,9.0,2.0,4.0,1.0,4.0,2.0,10
2023,9002,SSG,DH,140,20,635.0,536,134,21,3,17,80,10,7,120,212,84,69.0,6.0,0.25,0.353870458135861,0.39552238805970147,0.7493928461955625,0.14552238805970147,0.12598425196850394,0.1889763779527559,position_group,2.0,4.0,6.0,4.0,9.0,4.0,7.0,5.0,5.0,2.0,6.0,10
2023,9002,SSG,IF_C,144,18,2991.0,2617,660,124,3,75,262,31,23,480,1015,329,327.0,36.0,0.25219717233473443,0.3249232867371292,0.38784868169659914,0.7127719684337284,0.1356515093618647,0.08759612169842862,0.160481444332999,position_group,5.0,7.0,4.0,1.0,9.0,9.0,2.0,3.0,2.0,6.0,2.0,10
