candidate_key,candidate_news_scope,fit_slot,player_id,player_name,search_name,team_or_org,position_or_role,market_realism_status,contract_control_bucket,medical_risk_bucket,market_realism_fit_blend_for_triage_only,person_url,source_url,provider,query,query_language,title,description,pubDate,originallink,link,source_name,provider_url,article_id,collected_at,candidate_name_match,source_raw_dir,published_at,days_since_article,recent_180d_article,news_tags_list,news_tags,article_relevance_score,article_use_status,source_article_layer,source_fill_candidate_key,source_fill_scope_label,fit_review_lane,fit_review_order_within_slot,sensitivity_band,risk_adjusted_fit_score_internal,failure_risk_index,failure_risk_review_tier,manual_source_lanes,fit_review_tags,current_status_description,nationality,nationality_source
0238c02ba635ca07,run026_market_realism_priority_expanded,asian_quota,,LIN Dai An,LIN Dai An,Guardians,Catcher,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000001606,https://en.cpbl.com.tw/team?ClubNo=AEO,google_news_rss,"""LIN Dai An"" NPB OR CPBL OR injury OR contract OR KBO",en,Rakuten Monkeys beat Uni-President 7-Eleven Lions in CPBL Playoff; Will Face CTBC Brothers in Taiwan Series - World Baseball Network,Rakuten Monkeys beat Uni-President 7-Eleven Lions in CPBL Playoff; Will Face CTBC Brothers in Taiwan Series World Baseball Network,"Mon, 13 Oct 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMizgFBVV95cUxNVGRBSXJWXzRaeVFNSGw0eU52cDRDbnhzSXVUUzRNYXpxVEdlWjNHa2lRcUg2NXJ2dXo0dXpNTWNsVmFSZjJjZkhRSDY1bmVqRmg2Q1MxeWhhVXlaeTF4V3AwSmwzb245NmZfVk14OXRJX0VObXpoYXlmcDExb1ZUR1NTaVRDdHFza1ZKNHhpTGEzcjV4MU11SXBCUHV4Z190Wl9uSnVEWVpURHBnU1NmVDFLMFoyNWNyYnFGWm5aaHQ5WWYydl8wUkdsSWpJQQ?oc=5,https://news.google.com/rss/articles/CBMizgFBVV95cUxNVGRBSXJWXzRaeVFNSGw0eU52cDRDbnhzSXVUUzRNYXpxVEdlWjNHa2lRcUg2NXJ2dXo0dXpNTWNsVmFSZjJjZkhRSDY1bmVqRmg2Q1MxeWhhVXlaeTF4V3AwSmwzb245NmZfVk14OXRJX0VObXpoYXlmcDExb1ZUR1NTaVRDdHFza1ZKNHhpTGEzcjV4MU11SXBCUHV4Z190Wl9uSnVEWVpURHBnU1NmVDFLMFoyNWNyYnFGWm5aaHQ5WWYydl8wUkdsSWpJQQ?oc=5,World Baseball Network,https://news.google.com/rss/search?q=%22LIN+Dai+An%22+NPB+OR+CPBL+OR+injury+OR+contract+OR+KBO&hl=en-US&gl=US&ceid=US%3Aen,1563b4ac629b4927,2026-06-21T17:09:22,False,data/raw/articles/candidate_news_expanded_v0_2,2025-10-13 07:00:00+00:00,250.0,False,"['injury_medical', 'korea_willingness']","injury_medical,korea_willingness",5,usable_candidate_news_signal,candidate_news_article_relevance_v0_5.csv,,,,,,,,,,,,,
0238c02ba635ca07,run026_market_realism_priority_expanded,asian_quota,,LIN Dai An,LIN Dai An,Guardians,Catcher,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000001606,https://en.cpbl.com.tw/team?ClubNo=AEO,google_news_rss,"""LIN Dai An"" ""Guardians"" baseball",en,CPBL Organizations Gearing Up for 2026 Season With New Signings - World Baseball Network,CPBL Organizations Gearing Up for 2026 Season With New Signings World Baseball Network,"Wed, 17 Dec 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMilAFBVV95cUxQbVJGSXNGcjRmUElmcWFkMUw3a1NVWVBJNEdGdFZzdF9fN2xUYUFJc2JwekVvSFJYU3pWQV8wS0lOOENXd2lsTmRnMU5RTjlqV3c5RWt6UXkwOWx2UXhMVU5jWXJDMVFGNEQ4X3dDQ0NhSkMtUl9QZTNDRVR4VlhwLWdUUWFqLWdxYU5aeWRJTVk1Wk43?oc=5,https://news.google.com/rss/articles/CBMilAFBVV95cUxQbVJGSXNGcjRmUElmcWFkMUw3a1NVWVBJNEdGdFZzdF9fN2xUYUFJc2JwekVvSFJYU3pWQV8wS0lOOENXd2lsTmRnMU5RTjlqV3c5RWt6UXkwOWx2UXhMVU5jWXJDMVFGNEQ4X3dDQ0NhSkMtUl9QZTNDRVR4VlhwLWdUUWFqLWdxYU5aeWRJTVk1Wk43?oc=5,World Baseball Network,https://news.google.com/rss/search?q=%22LIN+Dai+An%22+%22Guardians%22+baseball&hl=en-US&gl=US&ceid=US%3Aen,7c3608cff2bf503b,2026-06-21T17:09:22,False,data/raw/articles/candidate_news_expanded_v0_2,2025-12-17 08:00:00+00:00,185.0,False,['korea_willingness'],korea_willingness,2,weak_or_background_news,candidate_news_article_relevance_v0_5.csv,,,,,,,,,,,,,
0238c02ba635ca07,run026_market_realism_priority_expanded,asian_quota,,LIN Dai An,LIN Dai An,Guardians,Catcher,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000001606,https://en.cpbl.com.tw/team?ClubNo=AEO,google_news_rss,"""LIN Dai An"" ""Guardians"" baseball",en,Chinese Professional Baseball League Season Preview 2026: Meet the League’s Six Clubs and Their Notable Offseason Transactions - World Baseball Network,Chinese Professional Baseball League Season Preview 2026: Meet the League’s Six Clubs and Their Notable Offseason Transactions World Baseball Network,"Thu, 26 Mar 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMi5gFBVV95cUxPQVNkZWRvRzJrd3RVSDRVNi12Q21sZjBCQUx3WHFBMnZFZUpiNmpyYkRyOU5NYmdXTzlVdzl0dkdoSXdVWVYxREFJX3V0aGF3cXE4LWtiVWhrYk5vLWNyeFA4ZlNqdjVkVm9NUmRHbG9uOW1VNHdNLXZqbFJLOWs2ajZYVGo2TFlseUh6eHlsRmx6VURFSEFrVXRhWVYyelpYZ25SbFdFUnh3MExkcDBSdnVqWC1aWmh4S1BqaXI3M1l6dTlhMXVDcDczOGxSWXE2R1RsWVlFMm11S2RJR0RBT0p1Vl9XZw?oc=5,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPQVNkZWRvRzJrd3RVSDRVNi12Q21sZjBCQUx3WHFBMnZFZUpiNmpyYkRyOU5NYmdXTzlVdzl0dkdoSXdVWVYxREFJX3V0aGF3cXE4LWtiVWhrYk5vLWNyeFA4ZlNqdjVkVm9NUmRHbG9uOW1VNHdNLXZqbFJLOWs2ajZYVGo2TFlseUh6eHlsRmx6VURFSEFrVXRhWVYyelpYZ25SbFdFUnh3MExkcDBSdnVqWC1aWmh4S1BqaXI3M1l6dTlhMXVDcDczOGxSWXE2R1RsWVlFMm11S2RJR0RBT0p1Vl9XZw?oc=5,World Baseball Network,https://news.google.com/rss/search?q=%22LIN+Dai+An%22+%22Guardians%22+baseball&hl=en-US&gl=US&ceid=US%3Aen,380c8a6cd58c99d9,2026-06-21T17:09:22,False,data/raw/articles/candidate_news_expanded_v0_2,2026-03-26 07:00:00+00:00,86.0,True,[],,1,weak_or_background_news,candidate_news_article_relevance_v0_5.csv,,,,,,,,,,,,,
034265bc8aac7a34,run026_market_realism_priority_expanded,asian_quota,,CHU Yu Hsien,CHU Yu Hsien,DRAGONS,First-Base Man,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000001318,https://en.cpbl.com.tw/team?ClubNo=AAA,google_news_rss,"""CHU Yu Hsien"" NPB OR CPBL OR injury OR contract OR KBO",en,CPBL: Rakuten Monkeys jump on UniLions with early homers - Call To The Pen,CPBL: Rakuten Monkeys jump on UniLions with early homers Call To The Pen,"Fri, 24 Apr 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMijAFBVV95cUxPOHRjTzA3aE8zdHdVVjFXZzRLU2NqTUJnRHlOVG00WXFVQ0Rzd3hvbU1VY3pzUko5V3pqSWpkTENkUGMtLWtVWm9GN3JXTmNPSmdtRm5Cc1RNamo2Ung0ZG1vT2FCcm1Mb0pqM0dPOUJ3eVRLazZfRU00UlBfYVVlM3NPM3c5ZzlYbXBDNA?oc=5,https://news.google.com/rss/articles/CBMijAFBVV95cUxPOHRjTzA3aE8zdHdVVjFXZzRLU2NqTUJnRHlOVG00WXFVQ0Rzd3hvbU1VY3pzUko5V3pqSWpkTENkUGMtLWtVWm9GN3JXTmNPSmdtRm5Cc1RNamo2Ung0ZG1vT2FCcm1Mb0pqM0dPOUJ3eVRLazZfRU00UlBfYVVlM3NPM3c5ZzlYbXBDNA?oc=5,Call To The Pen,https://news.google.com/rss/search?q=%22CHU+Yu+Hsien%22+NPB+OR+CPBL+OR+injury+OR+contract+OR+KBO&hl=en-US&gl=US&ceid=US%3Aen,a9e37ba0fc8bf110,2026-06-21T17:09:22,False,data/raw/articles/candidate_news_expanded_v0_2,2020-04-24 07:00:00+00:00,2248.0,False,"['injury_medical', 'korea_willingness']","injury_medical,korea_willingness",5,usable_candidate_news_signal,candidate_news_article_relevance_v0_5.csv,,,,,,,,,,,,,
034265bc8aac7a34,run026_market_realism_priority_expanded,asian_quota,,CHU Yu Hsien,CHU Yu Hsien,DRAGONS,First-Base Man,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000001318,https://en.cpbl.com.tw/team?ClubNo=AAA,google_news_rss,"""CHU Yu Hsien"" ""DRAGONS"" baseball",en,Kansas City Royals news: Royals have scored 47% of their runs in 2 games - Royals Review,Kansas City Royals news: Royals have scored 47% of their runs in 2 games Royals Review,"Fri, 10 Apr 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiyAFBVV95cUxQb0x5Q0xCbFVZTTZqTnozRE9SRlh4cGp2Y0h4Q3NiUHFET2dLSW90bkpvVnZjU3M2VDZwQkdpcXlKd2FEMFZ1cEptMlJna3Y4Wjd2RE9KaG1WR0hRbUhKZnZTcUJHVHpPRHBqX2hPNGRQZTM3ZEtfbGFta1hXOGcyVUkwNlhqLXFBek5MZUV3YXhZWnlRaFgyc3dfOWItMjBoRzk0dm5sWVRyTTh5UzRLS0UxWkNMenEzMUQyVXNjYzhrRW9qTzBWNA?oc=5,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQb0x5Q0xCbFVZTTZqTnozRE9SRlh4cGp2Y0h4Q3NiUHFET2dLSW90bkpvVnZjU3M2VDZwQkdpcXlKd2FEMFZ1cEptMlJna3Y4Wjd2RE9KaG1WR0hRbUhKZnZTcUJHVHpPRHBqX2hPNGRQZTM3ZEtfbGFta1hXOGcyVUkwNlhqLXFBek5MZUV3YXhZWnlRaFgyc3dfOWItMjBoRzk0dm5sWVRyTTh5UzRLS0UxWkNMenEzMUQyVXNjYzhrRW9qTzBWNA?oc=5,Royals Review,https://news.google.com/rss/search?q=%22CHU+Yu+Hsien%22+%22DRAGONS%22+baseball&hl=en-US&gl=US&ceid=US%3Aen,1848bdd1ea15c533,2026-06-21T17:09:22,False,data/raw/articles/candidate_news_expanded_v0_2,2026-04-10 07:00:00+00:00,71.0,True,[],,1,weak_or_background_news,candidate_news_article_relevance_v0_5.csv,,,,,,,,,,,,,
034265bc8aac7a34,run026_market_realism_priority_expanded,asian_quota,,CHU Yu Hsien,CHU Yu Hsien,DRAGONS,First-Base Man,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000001318,https://en.cpbl.com.tw/team?ClubNo=AAA,google_news_rss,"""CHU Yu Hsien"" ""DRAGONS"" baseball",en,BASEBALL Dragons walk off Hawks 5-4 in home opener - Focus Taiwan,BASEBALL Dragons walk off Hawks 5-4 in home opener Focus Taiwan,"Fri, 03 Apr 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVEFVX3lxTE15SjdGR0hFOHp2d0V5NF8yY2U3VGVKWUpDcnFCOXVIcnN6ei1ESkx2bkt6N0N0QmtKMGplWU9zQzlkTVJKdG1kblphemR5enlfSGk3Mw?oc=5,https://news.google.com/rss/articles/CBMiVEFVX3lxTE15SjdGR0hFOHp2d0V5NF8yY2U3VGVKWUpDcnFCOXVIcnN6ei1ESkx2bkt6N0N0QmtKMGplWU9zQzlkTVJKdG1kblphemR5enlfSGk3Mw?oc=5,Focus Taiwan,https://news.google.com/rss/search?q=%22CHU+Yu+Hsien%22+%22DRAGONS%22+baseball&hl=en-US&gl=US&ceid=US%3Aen,c182ff5733ec228c,2026-06-21T17:09:22,False,data/raw/articles/candidate_news_expanded_v0_2,2026-04-03 07:00:00+00:00,78.0,True,[],,1,weak_or_background_news,candidate_news_article_relevance_v0_5.csv,,,,,,,,,,,,,
034265bc8aac7a34,run026_market_realism_priority_expanded,asian_quota,,CHU Yu Hsien,CHU Yu Hsien,DRAGONS,First-Base Man,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000001318,https://en.cpbl.com.tw/team?ClubNo=AAA,google_news_rss,"""CHU Yu Hsien"" ""DRAGONS"" baseball",en,Monkeys return to winning ways - Taipei Times,Monkeys return to winning ways Taipei Times,"Sat, 11 Nov 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMieEFVX3lxTE92S0stc1Y1b1h4MFdkUy0xLTdpSThhUWY1elhlSHFQVjJmV1RpeTV1cE9iSGE0OVpiTU1DNnkzdmZmMjd1NC1zZTA2WkZrZjg2Q3BETkZwNE1wTVVhblFHa1VIQzAwanppd202c3Rac2o4ZEtQZWw5cg?oc=5,https://news.google.com/rss/articles/CBMieEFVX3lxTE92S0stc1Y1b1h4MFdkUy0xLTdpSThhUWY1elhlSHFQVjJmV1RpeTV1cE9iSGE0OVpiTU1DNnkzdmZmMjd1NC1zZTA2WkZrZjg2Q3BETkZwNE1wTVVhblFHa1VIQzAwanppd202c3Rac2o4ZEtQZWw5cg?oc=5,Taipei Times,https://news.google.com/rss/search?q=%22CHU+Yu+Hsien%22+%22DRAGONS%22+baseball&hl=en-US&gl=US&ceid=US%3Aen,54d516b9351ae795,2026-06-21T17:09:22,False,data/raw/articles/candidate_news_expanded_v0_2,2023-11-11 08:00:00+00:00,952.0,False,[],,0,weak_or_background_news,candidate_news_article_relevance_v0_5.csv,,,,,,,,,,,,,
034265bc8aac7a34,run026_market_realism_priority_expanded,asian_quota,,CHU Yu Hsien,CHU Yu Hsien,DRAGONS,First-Base Man,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000001318,https://en.cpbl.com.tw/team?ClubNo=AAA,google_news_rss,"""CHU Yu Hsien"" ""DRAGONS"" baseball",en,Taiwan’s Chinese Professional Baseball League is the only game in town (and the world) - The China Project,Taiwan’s Chinese Professional Baseball League is the only game in town (and the world) The China Project,"Thu, 16 Apr 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMilgFBVV95cUxPQmgtNG1nRDJ0QWxQM2pIUnpFMEZvVXVlTXRaZko3ZFdqdG1uNWVCZ1VVVEtteUxtcHF4b0pMN1dMVks1OGlMbnpsNTluMVRQU28yMEpKY2FCLXVwM18tZHRmaHhkakF1Wm1sY1UzdzNTc19LWjdtdXFkMEZkeEtYVC0xdnJ4QjZEUzhDM1dMWmVfdjdKOEE?oc=5,https://news.google.com/rss/articles/CBMilgFBVV95cUxPQmgtNG1nRDJ0QWxQM2pIUnpFMEZvVXVlTXRaZko3ZFdqdG1uNWVCZ1VVVEtteUxtcHF4b0pMN1dMVks1OGlMbnpsNTluMVRQU28yMEpKY2FCLXVwM18tZHRmaHhkakF1Wm1sY1UzdzNTc19LWjdtdXFkMEZkeEtYVC0xdnJ4QjZEUzhDM1dMWmVfdjdKOEE?oc=5,The China Project,https://news.google.com/rss/search?q=%22CHU+Yu+Hsien%22+%22DRAGONS%22+baseball&hl=en-US&gl=US&ceid=US%3Aen,dc805e7c1af2af3f,2026-06-21T17:09:22,False,data/raw/articles/candidate_news_expanded_v0_2,2020-04-16 07:00:00+00:00,2256.0,False,[],,0,weak_or_background_news,candidate_news_article_relevance_v0_5.csv,,,,,,,,,,,,,
03bbbec5350be454,run026_market_realism_priority_expanded,foreign_pitcher,641312.0,"Anderson, Shaun",Shaun Anderson,LAA,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,78.535,,,google_news_rss,"""Shaun Anderson"" baseball",en,Angels Re-Sign Shaun Anderson To Minor League Deal - MLB Trade Rumors,Angels Re-Sign Shaun Anderson To Minor League Deal MLB Trade Rumors,"Tue, 09 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMinAFBVV95cUxOM0tFTURlYTFJRnFrZm0yQWt4dWZQTXpmaUJfRWI2X3EyR1BSc0lvWFhULXZEYm9hYm05VGlWbXo2V2FEN3p4M0RaNFFCNVZkeW1oU0JKSDF1T082aXFpV0dXYjUySTRUTkROR09kZ1EzREhOWkE5bkQwNU5vOFlNUUtldW5mYVp3azN0U1hmTmRaQkRLMEVsZGd3c04?oc=5,https://news.google.com/rss/articles/CBMinAFBVV95cUxOM0tFTURlYTFJRnFrZm0yQWt4dWZQTXpmaUJfRWI2X3EyR1BSc0lvWFhULXZEYm9hYm05VGlWbXo2V2FEN3p4M0RaNFFCNVZkeW1oU0JKSDF1T082aXFpV0dXYjUySTRUTkROR09kZ1EzREhOWkE5bkQwNU5vOFlNUUtldW5mYVp3azN0U1hmTmRaQkRLMEVsZGd3c04?oc=5,MLB Trade Rumors,https://news.google.com/rss/search?q=%22Shaun+Anderson%22+baseball&hl=en-US&gl=US&ceid=US%3Aen,92ec7694ab413b87,2026-06-21T17:09:22,True,data/raw/articles/candidate_news_expanded_v0_2,2026-06-09 07:00:00+00:00,11.0,True,['contract_market'],contract_market,8,usable_candidate_news_signal,candidate_news_article_relevance_v0_5.csv,,,,,,,,,,,,,
03bbbec5350be454,run026_market_realism_priority_expanded,foreign_pitcher,641312.0,"Anderson, Shaun",Shaun Anderson,LAA,SP/multi-inning pitcher candidate pool,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,78.535,,,google_news_rss,"""Shaun Anderson"" baseball",en,Angels' Shaun Anderson: DFA'd by Halos - CBS Sports,Angels' Shaun Anderson: DFA'd by Halos CBS Sports,"Fri, 05 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMilwFBVV95cUxNc0hKUWxWdWpBRUxuWFBjM2g5Q0MwQ29UMGNJTUE3OWVtZEQxUnpBYUs4TUlPWE01VFJjd1NWbVZyNzlMa282cWVfTDFVcE1GelJjYktRUDR3dEFOWTFnZFE4MldkSVBRRG93TV9vSDNiTHZTQmwwbFlEcjNmVGdqWDd1RzRmRmxLYXBIZkxRdVRiMzgteHZz?oc=5,https://news.google.com/rss/articles/CBMilwFBVV95cUxNc0hKUWxWdWpBRUxuWFBjM2g5Q0MwQ29UMGNJTUE3OWVtZEQxUnpBYUs4TUlPWE01VFJjd1NWbVZyNzlMa282cWVfTDFVcE1GelJjYktRUDR3dEFOWTFnZFE4MldkSVBRRG93TV9vSDNiTHZTQmwwbFlEcjNmVGdqWDd1RzRmRmxLYXBIZkxRdVRiMzgteHZz?oc=5,CBS Sports,https://news.google.com/rss/search?q=%22Shaun+Anderson%22+baseball&hl=en-US&gl=US&ceid=US%3Aen,1489b9ef7fe84e29,2026-06-21T17:09:22,True,data/raw/articles/candidate_news_expanded_v0_2,2026-06-05 07:00:00+00:00,15.0,True,['contract_market'],contract_market,8,usable_candidate_news_signal,candidate_news_article_relevance_v0_5.csv,,,,,,,,,,,,,
