candidate_key,source_fill_candidate_key,source_fill_scope_label,fit_slot,fit_review_lane,fit_review_order_within_slot,sensitivity_band,player_id,player_name,search_name,team_or_org,position_or_role,risk_adjusted_fit_score_internal,failure_risk_index,failure_risk_review_tier,manual_source_lanes,fit_review_tags,contract_control_bucket,medical_risk_bucket,current_status_description,nationality,nationality_source,person_url,source_url
c58df457ee2acd50,c58df457ee2acd50,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,1,stable_top25_locked,,"Sun, Yi-Lei",Yi-Lei Sun,Hokkaido Nippon-Ham Fighters,Pitchers,62.598,43.184,tier_2_multi_risk_review,asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,Taiwan,wikipedia_foreign_seed,https://npb.jp/bis/eng/players/83785159.html,https://npb.jp/bis/eng/teams/rst_f.html
77fcb317bda63213,77fcb317bda63213,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,2,stable_top25_locked,,"Yang, Po-Hsiang",Po-Hsiang Yang,Tohoku Rakuten Golden Eagles,Infielders,62.104,38.177,tier_2_multi_risk_review,asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,Taiwan,wikipedia_foreign_seed,https://npb.jp/bis/eng/players/53355150.html,https://npb.jp/bis/eng/teams/rst_e.html
dc923c066641a262,dc923c066641a262,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,3,stable_top25_locked,,"Gu Lin, Ruei-Yang",Ruei-Yang Gu Lin,Hokkaido Nippon-Ham Fighters,Pitchers,60.184,43.698,tier_2_multi_risk_review,asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,Taiwan,wikipedia_foreign_seed,https://npb.jp/bis/eng/players/93595150.html,https://npb.jp/bis/eng/teams/rst_f.html
abcd007c02e88802,abcd007c02e88802,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,4,stable_top25_locked,,WANG Wei Chen,WANG Wei Chen,Brothers,Third-Base Man,53.642,42.65,tier_2_multi_risk_review,asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000000929,https://en.cpbl.com.tw/team?ClubNo=ACN
b900cfa1663d7462,b900cfa1663d7462,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,5,stable_top25_locked,,TSENG Tzu Yu,TSENG Tzu Yu,TSG Hawks,Shortstop,53.018,45.77,tier_2_multi_risk_review,korean_news_naver_or_local_search|asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000006927,https://en.cpbl.com.tw/team?ClubNo=AKP
4c25d0dd81e484e7,4c25d0dd81e484e7,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,6,stable_top25_locked,,CHIANG Kun Yu,CHIANG Kun Yu,Brothers,Shortstop,52.346,44.73,tier_2_multi_risk_review,asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|public_contract_market_news_review|korea_overseas_intent_context_review,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000004636,https://en.cpbl.com.tw/team?ClubNo=ACN
674e5533305cb46e,674e5533305cb46e,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,7,stable_top25_locked,,LIN Tzu Wei,LIN Tzu Wei,Monkeys,Pitcher,52.154,45.69,tier_2_multi_risk_review,korean_news_naver_or_local_search|asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000006237,https://en.cpbl.com.tw/team?ClubNo=AJL
674e5533305cb46e,674e5533305cb46e,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,8,stable_top25_locked,,LIN Tzu Wei,LIN Tzu Wei,Monkeys,Second-Base Man,52.154,45.69,tier_2_multi_risk_review,korean_news_naver_or_local_search|asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000006237,https://en.cpbl.com.tw/team?ClubNo=AJL
a96040b69b8259ba,a96040b69b8259ba,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,9,stable_top25_locked,,YOU Jun You,YOU Jun You,Brothers,Pitcher,52.118,50.27,tier_2_multi_risk_review,asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000007281,https://en.cpbl.com.tw/team?ClubNo=ACN
5fe07483eaef76c0,5fe07483eaef76c0,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,10,stable_top25_locked,,CHEN Chieh Hsien,CHEN Chieh Hsien,U-Lions,Center-Fielder,51.974,50.99,tier_2_multi_risk_review,korean_news_naver_or_local_search|asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000001804,https://en.cpbl.com.tw/team?ClubNo=ADD
