season,player_name_ko,role_group,archetype,first_kbo_war,first_kbo_wrc_plus,first_kbo_era,success,failure,in_season_replaced,renewed_next_year
2017,제이미 로맥,hitter,no_statiz,,,,1.0,0.0,0,1.0
2017,메릴 켈리,starter,no_statiz,,,,1.0,0.0,0,1.0
2017,스캇 다이아몬드,starter,no_statiz,,,,0.0,0.0,0,0.0
2017,대니 워스,unknown,no_statiz,,,,0.0,1.0,1,0.0
2018,제이미 로맥,hitter,no_statiz,,,,1.0,0.0,0,1.0
2018,메릴 켈리,starter,no_statiz,,,,0.0,0.0,0,0.0
2018,앙헬 산체스,starter,no_statiz,,,,1.0,0.0,0,1.0
2019,제이미 로맥,hitter,no_statiz,,,,1.0,0.0,0,1.0
2019,앙헬 산체스,starter,no_statiz,,,,0.0,0.0,0,0.0
2019,헨리 소사,starter,no_statiz,,,,0.0,0.0,0,0.0
2019,브록 다익손,unknown,no_statiz,,,,0.0,1.0,1,0.0
2020,제이미 로맥,hitter,no_statiz,,,,1.0,0.0,0,1.0
2020,타일러 화이트,hitter,no_statiz,,,,0.0,0.0,0,0.0
2020,리카르도 핀토,starter,no_statiz,,,,0.0,0.0,0,0.0
2020,닉 킹엄,unknown,no_statiz,,,,0.0,1.0,1,0.0
2021,제이미 로맥,hitter,no_statiz,,,,0.0,0.0,0,0.0
2021,샘 가빌리오,starter,no_statiz,,,,0.0,0.0,0,0.0
2021,윌머 폰트,starter,no_statiz,,,,1.0,0.0,0,1.0
2021,아티 르위키,unknown,no_statiz,,,,0.0,1.0,1,0.0
2022,후안 라가레스,hitter,no_statiz,,,,0.0,0.0,0,0.0
2022,숀 모리만도,starter,no_statiz,,,,0.0,0.0,0,0.0
2022,윌머 폰트,starter,no_statiz,,,,0.0,0.0,0,0.0
2022,이반 노바,unknown,no_statiz,,,,0.0,1.0,1,0.0
2022,케빈 크론,unknown,no_statiz,,,,0.0,1.0,1,0.0
2023,기예르모 에레디아,hitter,B_solid,3.948648452758789,135.85499572753906,,1.0,0.0,0,1.0
2023,로에니스 엘리아스,starter,B_solid_contributor,2.9161509111133435,,3.7,1.0,0.0,0,1.0
2023,커크 맥카티,starter,B_solid_contributor,2.8665549667166377,,3.39,1.0,0.0,0,0.0
2023,에니 로메로,unknown,no_statiz,,,,0.0,1.0,1,0.0
2024,기예르모 에레디아,hitter,A_dominant,4.563113689422607,137.21099853515625,,1.0,0.0,0,1.0
2024,드류 앤더슨,starter,B_solid_contributor,3.4467197298004493,,3.89,1.0,0.0,0,1.0
2024,로버트 더거,starter,D_replaced_blowup,-0.8389506681770665,,12.71,0.0,1.0,1,0.0
2024,로에니스 엘리아스,starter,B_solid_contributor,3.6103183806963983,,4.08,1.0,0.0,0,0.0
2025,기예르모 에레디아,hitter,B_solid,3.5403592586517334,140.99366760253906,,1.0,0.0,0,1.0
2025,라이언 맥브룸,hitter,C_replaced_poor,-0.1659993976354599,62.7510871887207,,0.0,1.0,1,0.0
2025,드류 앤더슨,starter,A_ace_translation,6.539894596237571,,2.25,1.0,0.0,0,0.0
2025,미치 화이트,starter,A_ace_translation,4.239912815042339,,2.87,1.0,0.0,0,0.0
2026,기예르모 에레디아,hitter,no_statiz,,,,,,0,
2026,앤서니 베니지아노,starter,no_statiz,,,,,,0,
2026,타케다 쇼타,starter,no_statiz,,,,,,0,
2026,토머스 해치,starter,no_statiz,,,,,,0,
2026,미치 화이트,unknown,no_statiz,,,,,,1,
2026,히라모토 긴지로,unknown,no_statiz,,,,,,1,
