slot,message_theme,theme_plain_english,source_layer,unit,anomaly_score,metric_snapshot,context_family,context_label,split_family,split_label,role_segment,pitch_role
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,pitcher_type:vs_right_orthodox,11.5,ERA_rank=10.0;WHIP_rank=10.0;OPS_allowed_rank=10.0;TBF=1281,pitcher_type,vs_right_orthodox,,,,
foreign_pitcher,traffic_command_starter,prevent innings from exploding after traffic appears,pitching_team_context_rank,runner:risp,11.38888888888889,ERA_rank=10.0;WHIP_rank=10.0;OPS_allowed_rank=10.0;TBF=754,runner,risp,,,,
foreign_pitcher,abs_native_load_bearing_starter,turn short starts into repeatable 5-6 inning starts,pitching_team_context_rank,inning:early_1_3,11.38888888888889,ERA_rank=10.0;WHIP_rank=10.0;OPS_allowed_rank=10.0;TBF=859,inning,early_1_3,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,home_away:away,11.166666666666668,ERA_rank=10.0;WHIP_rank=10.0;OPS_allowed_rank=8.0;TBF=1269,home_away,away,,,,
foreign_pitcher,traffic_command_starter,prevent innings from exploding after traffic appears,pitching_team_context_rank,runner:runner_on_base,11.166666666666668,ERA_rank=10.0;WHIP_rank=10.0;OPS_allowed_rank=10.0;TBF=1274,runner,runner_on_base,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,outs:0_out,10.944444444444445,ERA_rank=10.0;WHIP_rank=9.0;OPS_allowed_rank=8.0;TBF=873,outs,0_out,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,outs:2_out,10.055555555555554,ERA_rank=10.0;WHIP_rank=8.0;OPS_allowed_rank=7.0;TBF=806,outs,2_out,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,count:3B_1S,9.071666666666665,ERA_rank=10.0;WHIP_rank=8.0;OPS_allowed_rank=10.0;TBF=162,count,3B_1S,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,home_away:home,8.944444444444445,ERA_rank=9.0;WHIP_rank=7.0;OPS_allowed_rank=6.0;TBF=1231,home_away,home,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,inning:middle_4_6,8.61111111111111,ERA_rank=10.0;WHIP_rank=7.0;OPS_allowed_rank=3.0;TBF=830,inning,middle_4_6,,,,
foreign_hitter,first_base_traffic_converter,turn runner-on-first states into scoring-position pressure,batting_team_context_rank,runner:on_first,8.38888888888889,OPS_rank=10.0;OBP_rank=10.0;OPS=0.649;PA=462,runner,on_first,,,,
foreign_pitcher,traffic_command_starter,prevent innings from exploding after traffic appears,pitching_team_context_rank,runner:no_runner,8.277777777777779,ERA_rank=3.0;WHIP_rank=9.0;OPS_allowed_rank=6.0;TBF=1226,runner,no_runner,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,count:1B_2S,8.187222222222221,ERA_rank=10.0;WHIP_rank=6.0;OPS_allowed_rank=8.0;TBF=386,count,1B_2S,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,outs:1_out,8.166666666666666,ERA_rank=10.0;WHIP_rank=6.0;OPS_allowed_rank=5.0;TBF=821,outs,1_out,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,count:3B_2S,8.047222222222222,ERA_rank=10.0;WHIP_rank=6.0;OPS_allowed_rank=4.0;TBF=330,count,3B_2S,,,,
foreign_pitcher,traffic_command_starter,prevent innings from exploding after traffic appears,pitching_team_context_rank,runner:on_second,7.911944444444445,ERA_rank=9.0;WHIP_rank=6.0;OPS_allowed_rank=10.0;TBF=187,runner,on_second,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,inning:late_7_9,7.833333333333333,ERA_rank=7.0;WHIP_rank=7.0;OPS_allowed_rank=6.0;TBF=780,inning,late_7_9,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,overall:all,7.5,ERA_rank=10.0;WHIP_rank=10.0;OPS_allowed_rank=nan;TBF=2500,overall,all,,,,
foreign_pitcher,traffic_command_starter,prevent innings from exploding after traffic appears,pitching_team_context_rank,runner:bases_loaded,7.282499999999999,ERA_rank=8.0;WHIP_rank=10.0;OPS_allowed_rank=7.0;TBF=113,runner,bases_loaded,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,pitcher_type:vs_right_under,7.166666666666666,ERA_rank=9.0;WHIP_rank=6.0;OPS_allowed_rank=1.0;TBF=1131,pitcher_type,vs_right_under,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,count:0B_2S,6.5486111111111125,ERA_rank=5.0;WHIP_rank=9.0;OPS_allowed_rank=9.0;TBF=175,count,0B_2S,,,,
foreign_pitcher,traffic_command_starter,prevent innings from exploding after traffic appears,pitching_team_context_rank,runner:on_first,6.4111111111111105,ERA_rank=5.0;WHIP_rank=5.0;OPS_allowed_rank=5.0;TBF=520,runner,on_first,,,,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,outs:2_out,6.388888888888889,OPS_rank=8.0;OBP_rank=6.0;OPS=0.72;PA=784,outs,2_out,,,,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,inning:early_1_3,6.388888888888888,OPS_rank=8.0;OBP_rank=7.0;OPS=0.699;PA=795,inning,early_1_3,,,,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,home_away:away,6.166666666666666,OPS_rank=7.0;OBP_rank=6.0;OPS=0.736;PA=1292,home_away,away,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_role_rank,total,5.666666666666666,ERA=5.4;WHIP=1.56;OPS_allowed=0.76;outs/start=26.4,,,,,,total
foreign_hitter,rhp_role_stabilizer,stabilize OF/DH production against right-handed pitching,batting_team_context_rank,pitcher_type:vs_right_orthodox,5.611111111111112,OPS_rank=6.0;OBP_rank=8.0;OPS=0.749;PA=1789,pitcher_type,vs_right_orthodox,,,,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,overall:all,5.5,OPS_rank=7.0;OBP_rank=6.0;OPS=0.753;PA=2445,overall,all,,,,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,runner:bases_loaded,5.471111111111112,OPS_rank=6.0;OBP_rank=7.0;OPS=0.627;PA=90,runner,bases_loaded,,,,
foreign_hitter,rhp_role_stabilizer,stabilize OF/DH production against right-handed pitching,batting_team_context_rank,pitcher_type:vs_right_under,5.442222222222223,OPS_rank=6.0;OBP_rank=5.0;OPS=0.712;PA=55,pitcher_type,vs_right_under,,,,
foreign_hitter,rhp_role_stabilizer,stabilize OF/DH production against right-handed pitching,batting_team_context_rank,pitcher_type:vs_right,5.388888888888889,OPS_rank=5.0;OBP_rank=7.0;OPS=0.748;PA=1844,pitcher_type,vs_right,,,,
foreign_hitter,first_base_traffic_converter,turn runner-on-first states into scoring-position pressure,batting_team_context_rank,runner:runner_on_base,5.388888888888888,OPS_rank=6.0;OBP_rank=6.0;OPS=0.756;PA=1162,runner,runner_on_base,,,,
foreign_hitter,two_strike_survival_bat,reduce replacement-slot collapse after two strikes,batting_team_context_rank,count:1B_2S,5.277777777777778,OPS_rank=7.0;OBP_rank=8.0;OPS=0.432;PA=385,count,1B_2S,,,,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,outs:1_out,5.277777777777778,OPS_rank=6.0;OBP_rank=6.0;OPS=0.769;PA=814,outs,1_out,,,,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,inning:middle_4_6,5.166666666666666,OPS_rank=4.0;OBP_rank=5.0;OPS=0.769;PA=828,inning,middle_4_6,,,,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,inning:late_7_9,4.944444444444445,OPS_rank=4.0;OBP_rank=7.0;OPS=0.784;PA=791,inning,late_7_9,,,,
foreign_pitcher,abs_native_load_bearing_starter,turn short starts into repeatable 5-6 inning starts,pitching_role_rank,starter,4.888888888888889,ERA=5.68;WHIP=1.6;OPS_allowed=0.783;outs/start=13.6,,,,,,starter
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,home_away:home,4.833333333333333,OPS_rank=3.0;OBP_rank=8.0;OPS=0.771;PA=1153,home_away,home,,,,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,count:3B_0S,4.775555555555555,OPS_rank=6.0;OBP_rank=7.0;OPS=0.982;PA=55,count,3B_0S,,,,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,outs:0_out,4.722222222222221,OPS_rank=5.0;OBP_rank=7.0;OPS=0.769;PA=845,outs,0_out,,,,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,runner:no_runner,4.611111111111111,OPS_rank=4.0;OBP_rank=7.0;OPS=0.749;PA=1281,runner,no_runner,,,,
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,pitching_team_context_rank,pitcher_type:vs_left_orthodox,4.442222222222222,ERA_rank=3.0;WHIP_rank=6.0;OPS_allowed_rank=4.0;TBF=88,pitcher_type,vs_left_orthodox,,,,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,pitcher_type:vs_left_orthodox,4.277777777777777,OPS_rank=4.0;OBP_rank=5.0;OPS=0.768;PA=599,pitcher_type,vs_left_orthodox,,,,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,batting_team_context_rank,pitcher_type:vs_left,4.277777777777777,OPS_rank=4.0;OBP_rank=5.0;OPS=0.768;PA=599,pitcher_type,vs_left,,,,
