rule_type,rule,rule_description,component_a,component_b,hidden_interaction_lift,loss_rate_lift_vs_baseline,hidden_need_score,games,win_pct,complement_win_pct,win_pct_delta,loss_rate,avg_run_diff,avg_team_runs,avg_opp_runs,avg_starter_outs,avg_bullpen_ip,avg_of_rbi,avg_of_high_obp,avg_replacement_slot_k
pair,bullpen_bb4plus AND of_high_rbi_zero,bullpen issued 4+ walks + high-leverage OF lineup slots had 0 RBI,bullpen_bb4plus,of_high_rbi_zero,0.25,0.42622950819672134,2.6844262295081966,7,0.0,0.48148148148148145,-0.48148148148148145,1.0,-4.857142857142857,4.142857142857143,9.0,12.142857142857142,4.761904761904761,0.8571428571428571,0.3535714285714286,3.0
pair,bullpen_er3plus AND of_rbi_lt3,bullpen allowed 3+ ER + outfielders combined for fewer than 3 RBI,bullpen_er3plus,of_rbi_lt3,0.08333333333333337,0.42622950819672134,2.5122950819672134,17,0.0,0.5909090909090909,-0.5909090909090909,1.0,-5.823529411764706,3.764705882352941,9.588235294117647,12.294117647058824,4.568627450980393,1.0,0.30294117647058827,3.235294117647059
pair,starter_short_lt5 AND team_runs_le3,starter failed to complete 5 innings + SSG scored 3 or fewer runs,starter_short_lt5,team_runs_le3,0.13043478260869568,0.42622950819672134,2.489665003563792,12,0.0,0.5306122448979592,-0.5306122448979592,1.0,-5.666666666666667,1.8333333333333333,7.5,10.583333333333334,5.055555555555556,0.5833333333333334,0.23726851851851852,3.1666666666666665
pair,team_runs_le3 AND opp_runs_ge6,SSG scored 3 or fewer runs + opponent scored 6+ runs,team_runs_le3,opp_runs_ge6,0.13043478260869568,0.42622950819672134,2.489665003563792,12,0.0,0.5306122448979592,-0.5306122448979592,1.0,-6.916666666666667,1.8333333333333333,8.75,11.833333333333334,4.555555555555555,0.5833333333333334,0.26643518518518516,3.25
pair,starter_disaster AND of_rbi_lt3,starter disaster: 5+ ER or fewer than 4 innings + outfielders combined for fewer than 3 RBI,starter_disaster,of_rbi_lt3,0.18333333333333335,0.3595628415300547,2.4800546448087433,15,0.06666666666666667,0.5434782608695652,-0.47681159420289854,0.9333333333333333,-5.2,4.066666666666666,9.266666666666667,10.733333333333333,5.088888888888889,0.8,0.2821957671957672,3.066666666666667
pair,of_rbi_lt3 AND opp_runs_ge6,outfielders combined for fewer than 3 RBI + opponent scored 6+ runs,of_rbi_lt3,opp_runs_ge6,0.10416666666666663,0.34289617486338797,2.470969945355191,24,0.08333333333333333,0.6486486486486487,-0.5653153153153153,0.9166666666666666,-5.0,3.8333333333333335,8.833333333333334,12.583333333333334,4.527777777777778,0.875,0.2774140211640212,3.375
pair,bullpen_er3plus AND replacement_slot_rbi_lt3,bullpen allowed 3+ ER + OF/DH replacement-relevant slots had fewer than 3 RBI,bullpen_er3plus,replacement_slot_rbi_lt3,0.08333333333333337,0.42622950819672134,2.4139344262295084,14,0.0,0.5531914893617021,-0.5531914893617021,1.0,-6.071428571428571,3.142857142857143,9.214285714285714,12.428571428571429,4.595238095238095,1.0,0.30357142857142855,3.357142857142857
pair,starter_er4plus AND team_runs_le3,starter allowed 4+ ER + SSG scored 3 or fewer runs,starter_er4plus,team_runs_le3,0.13043478260869568,0.42622950819672134,2.391304347826087,9,0.0,0.5,-0.5,1.0,-7.555555555555555,1.6666666666666667,9.222222222222221,11.777777777777779,4.62962962962963,0.5555555555555556,0.2274691358024691,3.111111111111111
pair,bullpen_er3plus AND of_top_obp_le_250,bullpen allowed 3+ ER + OF table-setter OBP was .250 or lower,bullpen_er3plus,of_top_obp_le_250,0.037878787878787956,0.3807749627421759,2.3580476900149034,22,0.045454545454545456,0.6410256410256411,-0.5955710955710957,0.9545454545454546,-4.2727272727272725,4.909090909090909,9.181818181818182,12.681818181818182,4.484848484848485,1.7272727272727273,0.3482954545454545,3.272727272727273
pair,bullpen_bb4plus AND of_top_obp_le_250,bullpen issued 4+ walks + OF table-setter OBP was .250 or lower,bullpen_bb4plus,of_top_obp_le_250,0.17307692307692313,0.34930643127364447,2.3426860025220684,13,0.07692307692307693,0.5208333333333334,-0.44391025641025644,0.9230769230769231,-5.230769230769231,4.0,9.23076923076923,12.384615384615385,4.6923076923076925,1.0769230769230769,0.3980769230769231,2.769230769230769
pair,starter_disaster AND team_runs_le3,starter disaster: 5+ ER or fewer than 4 innings + SSG scored 3 or fewer runs,starter_disaster,team_runs_le3,0.13043478260869568,0.42622950819672134,2.325730577334284,7,0.0,0.48148148148148145,-0.48148148148148145,1.0,-6.285714285714286,2.0,8.285714285714286,9.0,5.428571428571429,0.42857142857142855,0.26031746031746034,2.857142857142857
pair,bullpen_er3plus AND of_high_rbi_zero,bullpen allowed 3+ ER + high-leverage OF lineup slots had 0 RBI,bullpen_er3plus,of_high_rbi_zero,0.08333333333333337,0.42622950819672134,2.3155737704918034,11,0.0,0.52,-0.52,1.0,-5.0,4.363636363636363,9.363636363636363,12.727272727272727,4.454545454545454,1.1818181818181819,0.26818181818181813,2.909090909090909
pair,replacement_slot_rbi_lt3 AND opp_runs_ge6,OF/DH replacement-relevant slots had fewer than 3 RBI + opponent scored 6+ runs,replacement_slot_rbi_lt3,opp_runs_ge6,0.09226190476190477,0.3309914129586261,2.289275956284153,21,0.09523809523809523,0.6,-0.5047619047619047,0.9047619047619048,-5.0476190476190474,3.4285714285714284,8.476190476190476,12.714285714285714,4.53968253968254,0.8571428571428571,0.27418745275888134,3.4761904761904763
pair,starter_disaster AND replacement_slot_rbi_lt3,starter disaster: 5+ ER or fewer than 4 innings + OF/DH replacement-relevant slots had fewer than 3 RBI,starter_disaster,replacement_slot_rbi_lt3,0.16666666666666663,0.34289617486338797,2.2650273224043715,12,0.08333333333333333,0.5102040816326531,-0.42687074829931976,0.9166666666666666,-5.333333333333333,3.4166666666666665,8.75,10.5,5.25,0.75,0.277744708994709,3.1666666666666665
pair,bullpen_bb4plus AND of_rbi_lt3,bullpen issued 4+ walks + outfielders combined for fewer than 3 RBI,bullpen_bb4plus,of_rbi_lt3,0.16666666666666663,0.34289617486338797,2.2650273224043715,12,0.08333333333333333,0.5102040816326531,-0.42687074829931976,0.9166666666666666,-5.583333333333333,3.75,9.333333333333334,12.416666666666666,4.666666666666667,0.8333333333333334,0.38958333333333334,2.8333333333333335
